Date,FRC
2014-09-02,48.91
2014-09-03,48.799999
2014-09-04,49.27
2014-09-05,49.599998
2014-09-08,49.5
2014-09-09,48.91
2014-09-10,48.849998
2014-09-11,48.98
2014-09-12,48.869999
2014-09-15,48.310001
2014-09-16,47.919998
2014-09-17,48.330002
2014-09-18,48.599998
2014-09-19,48.23
2014-09-22,47.77
2014-09-23,47.59
2014-09-24,48.16
2014-09-25,48.139998999999996
2014-09-26,49.509997999999996
2014-09-29,49.580002
2014-09-30,49.380001
2014-10-01,49.25
2014-10-02,49.209998999999996
2014-10-03,49.66
2014-10-06,49.380001
2014-10-07,48.5
2014-10-08,49.18
2014-10-09,48.34
2014-10-10,47.52
2014-10-13,47.139998999999996
2014-10-14,47.080002
2014-10-15,46.360001000000004
2014-10-16,47.369999
2014-10-17,47.189999
2014-10-20,46.389998999999996
2014-10-21,47.509997999999996
2014-10-22,46.880001
2014-10-23,47.080002
2014-10-24,47.580002
2014-10-27,47.84
2014-10-28,48.459998999999996
2014-10-29,48.849998
2014-10-30,49.139998999999996
2014-10-31,50.93
2014-11-03,50.59
2014-11-04,50.689999
2014-11-05,51.110001000000004
2014-11-06,51.779999
2014-11-07,51.549999
2014-11-10,51.599998
2014-11-11,51.650002
2014-11-12,52.139998999999996
2014-11-13,51.639998999999996
2014-11-14,51.509997999999996
2014-11-17,51.5
2014-11-18,51.439999
2014-11-19,51.540001000000004
2014-11-20,51.330002
2014-11-21,51.130001
2014-11-24,51.470001
2014-11-25,51.810001
2014-11-26,52.599998
2014-11-28,51.529999
2014-12-01,50.360001000000004
2014-12-02,50.810001
2014-12-03,51.32
2014-12-04,51.310001
2014-12-05,51.810001
2014-12-08,52.0
2014-12-09,52.259997999999996
2014-12-10,50.700001
2014-12-11,51.0
2014-12-12,50.209998999999996
2014-12-15,50.549999
2014-12-16,50.34
2014-12-17,51.119999
2014-12-18,51.919998
2014-12-19,52.150002
2014-12-22,52.32
2014-12-23,52.91
2014-12-24,52.599998
2014-12-26,52.5
2014-12-29,52.860001000000004
2014-12-30,52.779999
2014-12-31,52.119999
2015-01-02,52.099998
2015-01-05,50.540001000000004
2015-01-06,49.16
2015-01-07,49.68
2015-01-08,50.630001
2015-01-09,49.73
2015-01-12,49.080002
2015-01-13,48.369999
2015-01-14,47.759997999999996
2015-01-15,47.619999
2015-01-16,48.400002
2015-01-20,48.099998
2015-01-21,48.84
2015-01-22,51.900002
2015-01-23,51.209998999999996
2015-01-26,51.669998
2015-01-27,51.529999
2015-01-28,50.27
2015-01-29,51.32
2015-01-30,50.919998
2015-02-02,52.029999
2015-02-03,52.849998
2015-02-04,52.529999
2015-02-05,54.619999
2015-02-06,55.23
2015-02-09,55.349998
2015-02-10,55.82
2015-02-11,55.68
2015-02-12,56.790001000000004
2015-02-13,56.41
2015-02-17,56.490002000000004
2015-02-18,55.790001000000004
2015-02-19,55.889998999999996
2015-02-20,56.630001
2015-02-23,56.580002
2015-02-24,56.209998999999996
2015-02-25,56.529999
2015-02-26,57.029999
2015-02-27,57.0
2015-03-02,57.459998999999996
2015-03-03,57.459998999999996
2015-03-04,57.330002
2015-03-05,57.700001
2015-03-06,57.900002
2015-03-09,57.98
2015-03-10,57.529999
2015-03-11,58.459998999999996
2015-03-12,59.669998
2015-03-13,57.040001000000004
2015-03-16,57.310001
2015-03-17,57.43
2015-03-18,57.240002000000004
2015-03-19,57.040001000000004
2015-03-20,57.540001000000004
2015-03-23,57.459998999999996
2015-03-24,57.290001000000004
2015-03-25,56.400002
2015-03-26,56.740002000000004
2015-03-27,56.549999
2015-03-30,57.360001000000004
2015-03-31,57.09
2015-04-01,56.75
2015-04-02,57.150002
2015-04-06,56.970001
2015-04-07,56.98
2015-04-08,57.02
2015-04-09,57.32
2015-04-10,57.0
2015-04-13,57.18
2015-04-14,57.130001
2015-04-15,57.290001000000004
2015-04-16,58.470001
2015-04-17,58.889998999999996
2015-04-20,59.009997999999996
2015-04-21,58.799999
2015-04-22,59.389998999999996
2015-04-23,59.369999
2015-04-24,58.810001
2015-04-27,58.529999
2015-04-28,59.110001000000004
2015-04-29,59.099998
2015-04-30,58.290001000000004
2015-05-01,58.119999
2015-05-04,58.419998
2015-05-05,58.380001
2015-05-06,58.580002
2015-05-07,58.419998
2015-05-08,59.310001
2015-05-11,59.290001000000004
2015-05-12,59.82
2015-05-13,60.369999
2015-05-14,61.040001000000004
2015-05-15,60.07
2015-05-18,60.939999
2015-05-19,61.830002
2015-05-20,61.139998999999996
2015-05-21,61.259997999999996
2015-05-22,61.02
2015-05-26,60.650002
2015-05-27,61.669998
2015-05-28,61.380001
2015-05-29,60.549999
2015-06-01,60.310001
2015-06-02,60.950001
2015-06-03,61.990002000000004
2015-06-04,61.799999
2015-06-05,62.91
2015-06-08,62.66
