Date,MXIM
1990-08-17,0.625
1990-08-20,0.617188
1990-08-21,0.570313
1990-08-22,0.570313
1990-08-23,0.546875
1990-08-24,0.5625
1990-08-27,0.601563
1990-08-28,0.585938
1990-08-29,0.59375
1990-08-30,0.585938
1990-08-31,0.578125
1990-09-04,0.578125
1990-09-05,0.601563
1990-09-06,0.585938
1990-09-07,0.578125
1990-09-10,0.578125
1990-09-11,0.578125
1990-09-12,0.578125
1990-09-13,0.585938
1990-09-14,0.570313
1990-09-17,0.570313
1990-09-18,0.554688
1990-09-19,0.554688
1990-09-20,0.554688
1990-09-21,0.53125
1990-09-24,0.484375
1990-09-25,0.484375
1990-09-26,0.476563
1990-09-27,0.46875
1990-09-28,0.515625
1990-10-01,0.523438
1990-10-02,0.53125
1990-10-03,0.515625
1990-10-04,0.515625
1990-10-05,0.507813
1990-10-08,0.515625
1990-10-09,0.515625
1990-10-10,0.523438
1990-10-11,0.515625
1990-10-12,0.507813
1990-10-15,0.523438
1990-10-16,0.515625
1990-10-17,0.515625
1990-10-18,0.546875
1990-10-19,0.5625
1990-10-22,0.554688
1990-10-23,0.570313
1990-10-24,0.546875
1990-10-25,0.554688
1990-10-26,0.546875
1990-10-29,0.554688
1990-10-30,0.5625
1990-10-31,0.5625
1990-11-01,0.570313
1990-11-02,0.570313
1990-11-05,0.578125
1990-11-06,0.578125
1990-11-07,0.578125
1990-11-08,0.578125
1990-11-09,0.578125
1990-11-12,0.59375
1990-11-13,0.585938
1990-11-14,0.609375
1990-11-15,0.601563
1990-11-16,0.601563
1990-11-19,0.640625
1990-11-20,0.640625
1990-11-21,0.632813
1990-11-23,0.625
1990-11-26,0.609375
1990-11-27,0.625
1990-11-28,0.632813
1990-11-29,0.640625
1990-11-30,0.632813
1990-12-03,0.640625
1990-12-04,0.65625
1990-12-05,0.671875
1990-12-06,0.695313
1990-12-07,0.671875
1990-12-10,0.679688
1990-12-11,0.6875
1990-12-12,0.664063
1990-12-13,0.664063
1990-12-14,0.671875
1990-12-17,0.65625
1990-12-18,0.679688
1990-12-19,0.6875
1990-12-20,0.695313
1990-12-21,0.679688
1990-12-24,0.679688
1990-12-26,0.6875
1990-12-27,0.695313
1990-12-28,0.6875
1990-12-31,0.710938
1991-01-02,0.710938
1991-01-03,0.710938
1991-01-04,0.703125
1991-01-07,0.703125
1991-01-08,0.679688
1991-01-09,0.6875
1991-01-10,0.703125
1991-01-11,0.710938
1991-01-14,0.695313
1991-01-15,0.6875
1991-01-16,0.71875
1991-01-17,0.75
1991-01-18,0.75
1991-01-21,0.75
1991-01-22,0.742188
1991-01-23,0.734375
1991-01-24,0.757813
1991-01-25,0.789063
1991-01-28,0.804688
1991-01-29,0.828125
1991-01-30,0.851563
1991-01-31,0.851563
1991-02-01,0.851563
1991-02-04,0.851563
1991-02-05,0.914063
1991-02-06,0.914063
1991-02-07,0.90625
1991-02-08,0.914063
1991-02-11,0.945313
1991-02-12,0.929688
1991-02-13,0.921875
1991-02-14,0.9375
1991-02-15,0.929688
1991-02-19,0.9375
1991-02-20,0.914063
1991-02-21,0.921875
1991-02-22,0.898438
1991-02-25,0.914063
1991-02-26,0.898438
1991-02-27,0.898438
1991-02-28,0.914063
1991-03-01,0.898438
1991-03-04,0.9375
1991-03-05,0.984375
1991-03-06,1.015625
1991-03-07,1.0234379999999998
1991-03-08,1.015625
1991-03-11,1.0078129999999998
1991-03-12,0.96875
1991-03-13,0.976563
1991-03-14,0.984375
1991-03-15,0.976563
1991-03-18,0.976563
1991-03-19,0.976563
1991-03-20,1.0078129999999998
1991-03-21,1.015625
1991-03-22,1.015625
1991-03-25,1.0078129999999998
1991-03-26,1.0625
1991-03-27,1.0546879999999998
1991-03-28,1.0625
1991-04-01,1.046875
1991-04-02,1.03125
1991-04-03,1.0546879999999998
1991-04-04,1.0859379999999998
1991-04-05,1.0703129999999998
1991-04-08,1.09375
1991-04-09,1.078125
1991-04-10,1.078125
1991-04-11,1.0703129999999998
1991-04-12,1.0703129999999998
1991-04-15,1.0390629999999998
1991-04-16,1.0546879999999998
1991-04-17,1.1015629999999998
1991-04-18,1.1171879999999998
1991-04-19,1.1015629999999998
1991-04-22,1.078125
1991-04-23,1.0859379999999998
1991-04-24,1.0859379999999998
1991-04-25,1.0859379999999998
1991-04-26,1.0859379999999998
1991-04-29,1.0078129999999998
1991-04-30,0.9375
1991-05-01,0.976563
1991-05-02,1.03125
1991-05-03,1.0625
1991-05-06,1.0625
1991-05-07,1.0546879999999998
1991-05-08,1.046875
1991-05-09,1.078125
1991-05-10,1.0546879999999998
1991-05-13,1.0703129999999998
1991-05-14,1.0546879999999998
1991-05-15,1.015625
1991-05-16,1.046875
1991-05-17,1.046875
1991-05-20,1.0625
1991-05-21,1.0625
1991-05-22,1.0625
1991-05-23,1.0546879999999998
1991-05-24,1.0625
1991-05-28,1.0625
1991-05-29,1.0625
1991-05-30,1.0625
1991-05-31,1.078125
1991-06-03,1.1875
1991-06-04,1.15625
1991-06-05,1.1796879999999998
1991-06-06,1.1328129999999998
1991-06-07,1.1328129999999998
1991-06-10,1.1328129999999998
1991-06-11,1.1328129999999998
1991-06-12,1.1015629999999998
1991-06-13,1.1171879999999998
1991-06-14,1.125
1991-06-17,1.125
1991-06-18,1.1328129999999998
1991-06-19,1.1171879999999998
1991-06-20,1.0703129999999998
1991-06-21,1.0703129999999998
1991-06-24,0.945313
1991-06-25,1.0
1991-06-26,1.0
1991-06-27,1.0234379999999998
1991-06-28,1.0078129999999998
1991-07-01,1.0078129999999998
1991-07-02,1.0078129999999998
1991-07-03,1.046875
1991-07-05,1.0625
1991-07-08,1.1015629999999998
1991-07-09,1.140625
1991-07-10,1.1171879999999998
1991-07-11,1.078125
1991-07-12,1.1015629999999998
1991-07-15,1.109375
1991-07-16,1.109375
1991-07-17,1.140625
1991-07-18,1.1640629999999998
1991-07-19,1.15625
1991-07-22,1.1171879999999998
