Date,LRCX
1987-06-10,1.8055560000000002
1987-06-11,1.8055560000000002
1987-06-12,1.916667
1987-06-15,2.0
1987-06-16,1.9722220000000001
1987-06-17,2.083333
1987-06-18,2.111111
1987-06-19,2.083333
1987-06-22,2.083333
1987-06-23,2.055556
1987-06-24,2.083333
1987-06-25,2.027778
1987-06-26,1.8055560000000002
1987-06-29,1.888889
1987-06-30,1.888889
1987-07-01,1.833333
1987-07-02,1.861111
1987-07-06,1.861111
1987-07-07,1.888889
1987-07-08,1.888889
1987-07-09,1.9722220000000001
1987-07-10,1.9722220000000001
1987-07-13,1.916667
1987-07-14,2.027778
1987-07-15,2.083333
1987-07-16,2.111111
1987-07-17,2.166667
1987-07-20,2.111111
1987-07-21,2.138889
1987-07-22,2.138889
1987-07-23,2.055556
1987-07-24,2.0
1987-07-27,1.9444439999999998
1987-07-28,1.9444439999999998
1987-07-29,2.0
1987-07-30,1.9444439999999998
1987-07-31,2.0
1987-08-03,1.916667
1987-08-04,1.861111
1987-08-05,2.0
1987-08-06,2.111111
1987-08-07,2.527778
1987-08-10,2.444444
1987-08-11,2.472222
1987-08-12,2.472222
1987-08-13,2.527778
1987-08-14,2.5
1987-08-17,2.444444
1987-08-18,2.444444
1987-08-19,2.472222
1987-08-20,2.638889
1987-08-21,2.694444
1987-08-24,2.694444
1987-08-25,2.638889
1987-08-26,2.555556
1987-08-27,2.527778
1987-08-28,2.583333
1987-08-31,2.527778
1987-09-01,2.5
1987-09-02,2.444444
1987-09-03,2.5
1987-09-04,2.444444
1987-09-08,2.444444
1987-09-09,2.416667
1987-09-10,2.444444
1987-09-11,2.444444
1987-09-14,2.416667
1987-09-15,2.416667
1987-09-16,2.472222
1987-09-17,2.444444
1987-09-18,2.444444
1987-09-21,2.444444
1987-09-22,2.444444
1987-09-23,2.444444
1987-09-24,2.444444
1987-09-25,2.444444
1987-09-28,2.5
1987-09-29,2.416667
1987-09-30,2.416667
1987-10-01,2.333333
1987-10-02,2.444444
1987-10-05,2.583333
1987-10-06,2.388889
1987-10-07,2.333333
1987-10-08,2.25
1987-10-09,2.305556
1987-10-12,2.222222
1987-10-13,2.305556
1987-10-14,2.277778
1987-10-15,2.222222
1987-10-16,2.194444
1987-10-19,1.888889
1987-10-20,1.527778
1987-10-21,1.555556
1987-10-22,1.444444
1987-10-23,1.166667
1987-10-26,0.8888889999999999
1987-10-27,0.8888889999999999
1987-10-28,0.9444440000000001
1987-10-29,1.305556
1987-10-30,1.444444
1987-11-02,1.25
1987-11-03,1.194444
1987-11-04,1.194444
1987-11-05,1.222222
1987-11-06,1.083333
1987-11-09,1.111111
1987-11-10,1.138889
1987-11-11,1.222222
1987-11-12,1.222222
1987-11-13,1.166667
1987-11-16,1.194444
1987-11-17,1.138889
1987-11-18,1.111111
1987-11-19,1.083333
1987-11-20,1.111111
1987-11-23,1.083333
1987-11-24,1.083333
1987-11-25,1.083333
1987-11-27,1.027778
1987-11-30,1.027778
1987-12-01,1.027778
1987-12-02,1.055556
1987-12-03,1.027778
1987-12-04,1.0
1987-12-07,1.0
1987-12-08,1.111111
1987-12-09,1.111111
1987-12-10,1.166667
1987-12-11,1.222222
1987-12-14,1.277778
1987-12-15,1.472222
1987-12-16,1.611111
1987-12-17,1.638889
1987-12-18,1.6944439999999998
1987-12-21,1.638889
1987-12-22,1.611111
1987-12-23,1.555556
1987-12-24,1.583333
1987-12-28,1.555556
1987-12-29,1.555556
1987-12-30,1.555556
1987-12-31,1.583333
1988-01-04,1.666667
1988-01-05,1.666667
1988-01-06,1.555556
1988-01-07,1.555556
1988-01-08,1.472222
1988-01-11,1.472222
1988-01-12,1.388889
1988-01-13,1.388889
1988-01-14,1.5
1988-01-15,1.5
1988-01-18,1.5
1988-01-19,1.555556
1988-01-20,1.527778
1988-01-21,1.527778
1988-01-22,1.555556
1988-01-25,1.388889
1988-01-26,1.305556
1988-01-27,1.305556
1988-01-28,1.333333
1988-01-29,1.333333
1988-02-01,1.222222
1988-02-02,1.277778
1988-02-03,1.194444
1988-02-04,1.305556
1988-02-05,1.305556
1988-02-08,1.333333
1988-02-09,1.333333
1988-02-10,1.333333
1988-02-11,1.333333
1988-02-12,1.333333
1988-02-16,1.361111
1988-02-17,1.388889
1988-02-18,1.5
1988-02-19,1.527778
1988-02-22,1.444444
1988-02-23,1.361111
