Date,NLSN
2018-06-26,30.309998999999998
2018-06-27,30.16
2018-06-28,30.700001
2018-06-29,30.93
2018-07-02,30.59
2018-07-03,30.540001
2018-07-05,30.75
2018-07-06,31.209999
2018-07-09,31.879998999999998
2018-07-10,31.549999
2018-07-11,31.209999
2018-07-12,31.139999
2018-07-13,31.08
2018-07-16,31.17
2018-07-17,30.65
2018-07-18,30.76
2018-07-19,30.559998999999998
2018-07-20,29.870001000000002
2018-07-23,29.5
2018-07-24,29.51
2018-07-25,29.57
2018-07-26,22.110001
2018-07-27,22.360001
2018-07-30,23.030001000000002
2018-07-31,23.559998999999998
2018-08-01,23.450001
2018-08-02,22.57
2018-08-03,21.99
2018-08-06,22.27
2018-08-07,21.77
2018-08-08,21.75
2018-08-09,22.15
2018-08-10,21.969998999999998
2018-08-13,24.620001000000002
2018-08-14,26.049999
2018-08-15,26.15
2018-08-16,26.610001
2018-08-17,26.15
2018-08-20,26.110001
2018-08-21,26.030001000000002
2018-08-22,25.959999
2018-08-23,26.709999
2018-08-24,26.469998999999998
2018-08-27,26.6
2018-08-28,26.719998999999998
2018-08-29,26.629998999999998
2018-08-30,26.110001
2018-08-31,26.0
2018-09-04,26.059998999999998
2018-09-05,26.370001000000002
2018-09-06,25.969998999999998
2018-09-07,26.18
2018-09-10,26.57
2018-09-11,26.379998999999998
2018-09-12,26.719998999999998
2018-09-13,26.540001
2018-09-14,27.35
2018-09-17,27.219998999999998
2018-09-18,27.43
2018-09-19,27.559998999999998
2018-09-20,27.209999
2018-09-21,27.24
2018-09-24,27.15
2018-09-25,27.200001
2018-09-26,27.959999
2018-09-27,27.959999
2018-09-28,27.66
2018-10-01,27.700001
2018-10-02,27.530001000000002
2018-10-03,27.309998999999998
2018-10-04,27.09
2018-10-05,26.959999
2018-10-08,26.889999
2018-10-09,26.889999
2018-10-10,26.309998999999998
2018-10-11,25.75
2018-10-12,26.15
2018-10-15,26.26
2018-10-16,27.139999
2018-10-17,27.049999
2018-10-18,26.959999
2018-10-19,26.950001
2018-10-22,26.969998999999998
2018-10-23,26.530001000000002
2018-10-24,25.57
2018-10-25,24.99
2018-10-26,24.6
2018-10-29,24.860001
2018-10-30,25.469998999999998
2018-10-31,25.98
2018-11-01,26.76
2018-11-02,26.299999
2018-11-05,26.76
2018-11-06,26.85
2018-11-07,26.559998999999998
2018-11-08,26.540001
2018-11-09,26.459999
2018-11-12,26.440001000000002
2018-11-13,26.540001
2018-11-14,25.950001
2018-11-15,25.790001
2018-11-16,25.719998999999998
2018-11-19,25.6
2018-11-20,24.950001
2018-11-21,25.18
2018-11-23,25.1
2018-11-26,25.459999
2018-11-27,25.68
2018-11-28,26.1
2018-11-29,27.15
2018-11-30,27.17
2018-12-03,28.190001000000002
2018-12-04,27.08
2018-12-06,27.200001
2018-12-07,26.43
2018-12-10,25.99
2018-12-11,26.049999
2018-12-12,26.07
2018-12-13,25.940001000000002
2018-12-14,25.719998999999998
2018-12-17,25.299999
2018-12-18,24.719998999999998
2018-12-19,24.299999
2018-12-20,23.620001000000002
2018-12-21,22.99
2018-12-24,22.110001
2018-12-26,23.530001000000002
2018-12-27,23.190001000000002
2018-12-28,23.26
2018-12-31,23.33
2019-01-02,23.530001000000002
2019-01-03,23.360001
2019-01-04,24.450001
2019-01-07,25.0
2019-01-08,25.41
2019-01-09,25.67
2019-01-10,25.610001
2019-01-11,25.68
2019-01-14,25.4
2019-01-15,25.059998999999998
2019-01-16,25.16
2019-01-17,25.27
2019-01-18,26.139999
2019-01-22,24.809998999999998
2019-01-23,25.49
2019-01-24,25.280001000000002
2019-01-25,25.68
2019-01-28,25.82
2019-01-29,25.48
2019-01-30,25.6
2019-01-31,25.68
2019-02-01,25.58
2019-02-04,25.690001000000002
2019-02-05,25.790001
2019-02-06,25.73
2019-02-07,25.549999
2019-02-08,26.299999
2019-02-11,26.120001000000002
2019-02-12,25.969998999999998
2019-02-13,26.049999
2019-02-14,26.08
2019-02-15,26.299999
2019-02-19,25.950001
2019-02-20,25.85
2019-02-21,25.870001000000002
2019-02-22,26.1
2019-02-25,25.67
2019-02-26,25.49
2019-02-27,25.35
2019-02-28,26.200001
2019-03-01,26.98
2019-03-04,27.18
2019-03-05,26.709999
2019-03-06,26.25
2019-03-07,26.129998999999998
2019-03-08,26.030001000000002
2019-03-11,26.65
2019-03-12,26.92
2019-03-13,27.07
2019-03-14,27.32
2019-03-15,26.950001
2019-03-18,27.26
2019-03-19,27.09
2019-03-20,26.91
2019-03-21,27.42
2019-03-22,26.860001
2019-03-25,26.530001000000002
2019-03-26,27.059998999999998
2019-03-27,26.629998999999998
2019-03-28,23.66
2019-03-29,23.67
2019-04-01,24.280001000000002
2019-04-02,24.25
2019-04-03,26.0
2019-04-04,26.25
2019-04-05,26.209999
2019-04-08,26.02
2019-04-09,26.26
2019-04-10,26.540001
2019-04-11,26.870001000000002
2019-04-12,26.639999
2019-04-15,26.5
2019-04-16,26.139999
2019-04-17,26.26
2019-04-18,26.23
2019-04-22,26.040001
2019-04-23,25.57
2019-04-24,25.6
2019-04-25,25.34
2019-04-26,25.389999
2019-04-29,25.35
2019-04-30,25.530001000000002
2019-05-01,24.860001
2019-05-02,24.450001
2019-05-03,24.75
2019-05-06,24.52
2019-05-07,24.16
2019-05-08,24.120001000000002
2019-05-09,24.27
2019-05-10,24.59
2019-05-13,23.75
2019-05-14,24.040001
2019-05-15,23.83
2019-05-16,23.68
2019-05-17,23.6
2019-05-20,23.690001000000002
