Date,JWN
1982-12-16,6.09375
1982-12-17,6.09375
1982-12-20,6.09375
1982-12-21,6.125
1982-12-22,6.0625
1982-12-23,6.09375
1982-12-27,6.09375
1982-12-28,6.0625
1982-12-29,6.0625
1982-12-30,6.0625
1982-12-31,6.0625
1983-01-03,6.0625
1983-01-04,6.0
1983-01-05,6.0
1983-01-06,6.0
1983-01-07,6.0
1983-01-10,5.9375
1983-01-11,5.84375
1983-01-12,5.875
1983-01-13,5.875
1983-01-14,5.875
1983-01-17,5.96875
1983-01-18,5.96875
1983-01-19,6.03125
1983-01-20,6.03125
1983-01-21,5.9375
1983-01-24,5.75
1983-01-25,5.75
1983-01-26,5.84375
1983-01-27,5.84375
1983-01-28,5.90625
1983-01-31,5.90625
1983-02-01,5.875
1983-02-02,5.875
1983-02-03,5.84375
1983-02-04,6.0
1983-02-07,6.0625
1983-02-08,6.109375
1983-02-09,6.09375
1983-02-10,6.09375
1983-02-11,6.09375
1983-02-14,6.109375
1983-02-15,6.09375
1983-02-16,6.09375
1983-02-17,6.125
1983-02-18,6.078125
1983-02-22,6.125
1983-02-23,6.0625
1983-02-24,6.109375
1983-02-25,6.125
1983-02-28,6.34375
1983-03-01,6.4375
1983-03-02,6.5625
1983-03-03,6.75
1983-03-04,7.03125
1983-03-07,6.96875
1983-03-08,6.90625
1983-03-09,6.96875
1983-03-10,7.125
1983-03-11,7.125
1983-03-14,7.1875
1983-03-15,7.28125
1983-03-16,7.25
1983-03-17,7.5
1983-03-18,7.78125
1983-03-21,7.75
1983-03-22,7.8125
1983-03-23,7.84375
1983-03-24,7.6875
1983-03-25,7.6875
1983-03-28,7.65625
1983-03-29,7.75
1983-03-30,7.8125
1983-03-31,7.8125
1983-04-04,7.875
1983-04-05,7.96875
1983-04-06,7.90625
1983-04-07,7.90625
1983-04-08,7.96875
1983-04-11,8.03125
1983-04-12,8.0
1983-04-13,8.03125
1983-04-14,8.09375
1983-04-15,8.25
1983-04-18,8.3125
1983-04-19,8.375
1983-04-20,8.4375
1983-04-21,8.5625
1983-04-22,8.59375
1983-04-25,8.6875
1983-04-26,8.71875
1983-04-27,8.625
1983-04-28,8.59375
1983-04-29,8.59375
1983-05-02,8.65625
1983-05-03,8.5625
1983-05-04,8.5625
1983-05-05,8.65625
1983-05-06,8.625
1983-05-09,8.6875
1983-05-10,8.75
1983-05-11,8.6875
1983-05-12,8.75
1983-05-13,8.6875
1983-05-16,8.6875
1983-05-17,8.78125
1983-05-18,9.4375
1983-05-19,9.28125
1983-05-20,9.28125
1983-05-23,9.375
1983-05-24,9.40625
1983-05-25,9.40625
1983-05-26,9.40625
1983-05-27,9.625
1983-05-31,9.5625
1983-06-01,9.59375
1983-06-02,9.53125
1983-06-03,9.65625
1983-06-06,9.6875
1983-06-07,9.734375
1983-06-08,9.78125
1983-06-09,9.8125
1983-06-10,9.90625
1983-06-13,9.9375
1983-06-14,10.0
1983-06-15,10.0625
1983-06-16,5.5
1983-06-17,5.75
1983-06-20,5.75
1983-06-21,5.71875
1983-06-22,5.6875
1983-06-23,5.375
1983-06-24,5.375
1983-06-27,5.3125
1983-06-28,5.09375
1983-06-29,5.0
