Date,MSCI
2011-07-01,37.91
2011-07-05,38.009997999999996
2011-07-06,38.599998
2011-07-07,38.75
2011-07-08,38.889998999999996
2011-07-11,37.709998999999996
2011-07-12,37.75
2011-07-13,37.889998999999996
2011-07-14,37.150002
2011-07-15,37.169998
2011-07-18,36.5
2011-07-19,37.400002
2011-07-20,37.5
2011-07-21,38.18
2011-07-22,37.93
2011-07-25,37.73
2011-07-26,37.119999
2011-07-27,35.450001
2011-07-28,35.900002
2011-07-29,35.490002000000004
2011-08-01,35.790001000000004
2011-08-02,34.41
2011-08-03,34.919998
2011-08-04,33.959998999999996
2011-08-05,32.970001
2011-08-08,30.360001
2011-08-09,33.689999
2011-08-10,32.310001
2011-08-11,33.689999
2011-08-12,33.630001
2011-08-15,35.130001
2011-08-16,34.630001
2011-08-17,34.049999
2011-08-18,32.23
2011-08-19,31.33
2011-08-22,31.43
2011-08-23,33.139998999999996
2011-08-24,32.849998
2011-08-25,32.66
2011-08-26,33.580002
2011-08-29,35.240002000000004
2011-08-30,34.459998999999996
2011-08-31,34.57
2011-09-01,33.84
2011-09-02,32.490002000000004
2011-09-06,31.67
2011-09-07,33.41
2011-09-08,32.439999
2011-09-09,31.690001000000002
2011-09-12,32.18
2011-09-13,32.400002
2011-09-14,33.139998999999996
2011-09-15,32.560001
2011-09-16,32.610001000000004
2011-09-19,31.33
2011-09-20,30.940001000000002
2011-09-21,29.67
2011-09-22,29.190001000000002
2011-09-23,29.67
2011-09-26,31.610001
2011-09-27,32.200001
2011-09-28,31.34
2011-09-29,31.889999
2011-09-30,30.33
2011-10-03,27.940001000000002
2011-10-04,28.85
2011-10-05,29.809998999999998
2011-10-06,30.42
2011-10-07,30.0
2011-10-10,30.629998999999998
2011-10-11,30.91
2011-10-12,32.27
2011-10-13,32.459998999999996
2011-10-14,32.84
2011-10-17,31.48
2011-10-18,32.310001
2011-10-19,31.809998999999998
2011-10-20,31.98
2011-10-21,32.59
2011-10-24,33.349998
2011-10-25,32.310001
2011-10-26,32.66
2011-10-27,34.380001
2011-10-28,34.060001
2011-10-31,33.389998999999996
2011-11-01,31.469998999999998
2011-11-02,32.939999
2011-11-03,34.099998
2011-11-04,34.049999
2011-11-07,34.529999
2011-11-08,34.970001
2011-11-09,33.59
2011-11-10,33.759997999999996
2011-11-11,34.419998
2011-11-14,33.740002000000004
2011-11-15,34.060001
2011-11-16,33.0
2011-11-17,32.799999
2011-11-18,32.599998
2011-11-21,32.0
2011-11-22,31.98
2011-11-23,31.4
2011-11-25,31.219998999999998
2011-11-28,32.439999
2011-11-29,32.18
2011-11-30,33.75
2011-12-01,33.799999
2011-12-02,33.900002
2011-12-05,33.970001
2011-12-06,34.0
2011-12-07,33.389998999999996
2011-12-08,32.259997999999996
2011-12-09,33.27
2011-12-12,33.139998999999996
2011-12-13,32.59
2011-12-14,31.83
2011-12-15,32.290001000000004
2011-12-16,32.509997999999996
2011-12-19,32.130001
2011-12-20,33.060001
2011-12-21,32.860001000000004
2011-12-22,32.799999
2011-12-23,33.41
2011-12-27,33.41
2011-12-28,32.369999
2011-12-29,32.77
2011-12-30,32.93
2012-01-03,32.810001
2012-01-04,32.349998
2012-01-05,32.720001
2012-01-06,33.099998
2012-01-09,32.970001
2012-01-10,33.52
2012-01-11,33.48
2012-01-12,33.439999
2012-01-13,32.689999
2012-01-17,32.380001
2012-01-18,32.18
2012-01-19,32.549999
2012-01-20,32.48
2012-01-23,32.389998999999996
2012-01-24,31.889999
2012-01-25,32.43
2012-01-26,32.650002
2012-01-27,32.860001000000004
2012-01-30,32.610001000000004
2012-01-31,32.580002
2012-02-01,33.560001
2012-02-02,33.02
2012-02-03,34.189999
2012-02-06,34.43
2012-02-07,34.73
2012-02-08,34.860001000000004
2012-02-09,35.330002
2012-02-10,34.84
2012-02-13,34.740002000000004
2012-02-14,34.869999
2012-02-15,34.16
2012-02-16,34.639998999999996
2012-02-17,34.099998
2012-02-21,34.540001000000004
2012-02-22,34.610001000000004
2012-02-23,34.02
2012-02-24,34.43
2012-02-27,35.310001
2012-02-28,35.209998999999996
2012-02-29,35.380001
2012-03-01,35.529999
2012-03-02,35.080002
2012-03-05,35.080002
2012-03-06,34.330002
2012-03-07,34.799999
2012-03-08,36.25
2012-03-09,36.599998
2012-03-12,36.52
2012-03-13,37.689999
2012-03-14,37.389998999999996
2012-03-15,37.810001
2012-03-16,37.77
2012-03-19,37.709998999999996
2012-03-20,37.779999
2012-03-21,37.610001000000004
2012-03-22,37.009997999999996
2012-03-23,37.200001
2012-03-26,37.66
2012-03-27,37.369999
2012-03-28,37.060001
2012-03-29,37.130001
2012-03-30,36.810001
2012-04-02,37.299999
2012-04-03,37.740002000000004
2012-04-04,37.02
2012-04-05,37.119999
2012-04-09,36.759997999999996
2012-04-10,35.650002
2012-04-11,35.689999
2012-04-12,36.419998
2012-04-13,35.709998999999996
2012-04-16,35.779999
2012-04-17,36.290001000000004
2012-04-18,35.709998999999996
2012-04-19,35.5
2012-04-20,35.419998
2012-04-23,35.139998999999996
2012-04-24,35.59
2012-04-25,36.09
2012-04-26,36.810001
2012-04-27,36.830002
2012-04-30,36.59
2012-05-01,36.720001
2012-05-02,35.200001
2012-05-03,36.220001
2012-05-04,35.02
2012-05-07,34.34
2012-05-08,34.360001000000004
2012-05-09,34.18
2012-05-10,33.919998
2012-05-11,33.880001
2012-05-14,32.970001
2012-05-15,32.84
2012-05-16,32.900002
2012-05-17,32.380001
2012-05-18,32.799999
2012-05-21,33.349998
2012-05-22,34.07
2012-05-23,33.810001
2012-05-24,33.689999
2012-05-25,34.099998
2012-05-29,34.650002
2012-05-30,34.200001
