Date,EQR
1995-09-14,15.25
1995-09-15,15.375
1995-09-18,15.25
1995-09-19,15.5625
1995-09-20,15.4375
1995-09-21,15.5625
1995-09-22,15.5625
1995-09-25,15.5625
1995-09-26,15.625
1995-09-27,15.1875
1995-09-28,15.25
1995-09-29,15.0625
1995-10-02,14.8125
1995-10-03,14.75
1995-10-04,14.8125
1995-10-05,15.0625
1995-10-06,15.125
1995-10-09,14.875
1995-10-10,14.625
1995-10-11,14.625
1995-10-12,14.625
1995-10-13,14.625
1995-10-16,14.5
1995-10-17,14.625
1995-10-18,14.4375
1995-10-19,14.4375
1995-10-20,14.3125
1995-10-23,14.125
1995-10-24,14.1875
1995-10-25,14.1875
1995-10-26,14.1875
1995-10-27,14.1875
1995-10-30,14.0625
1995-10-31,14.0625
1995-11-01,14.125
1995-11-02,14.1875
1995-11-03,14.1875
1995-11-06,14.0
1995-11-07,14.0
1995-11-08,14.0
1995-11-09,14.0
1995-11-10,14.0
1995-11-13,14.125
1995-11-14,14.4375
1995-11-15,14.625
1995-11-16,14.5625
1995-11-17,14.875
1995-11-20,14.8125
1995-11-21,14.8125
1995-11-22,14.9375
1995-11-24,14.875
1995-11-27,15.3125
1995-11-28,15.3125
1995-11-29,15.125
1995-11-30,15.5
1995-12-01,15.4375
1995-12-04,15.5
1995-12-05,15.5
1995-12-06,15.75
1995-12-07,15.6875
1995-12-08,15.6875
1995-12-11,15.9375
1995-12-12,15.8125
1995-12-13,15.75
1995-12-14,15.75
1995-12-15,15.625
1995-12-18,15.5
1995-12-19,15.6875
1995-12-20,15.75
1995-12-21,15.4375
1995-12-22,15.5625
1995-12-26,15.5625
1995-12-27,15.3125
1995-12-28,15.375
1995-12-29,15.3125
1996-01-02,15.3125
1996-01-03,15.0625
1996-01-04,14.75
1996-01-05,14.625
1996-01-08,14.5
1996-01-09,14.5625
1996-01-10,14.5
1996-01-11,14.875
1996-01-12,15.0
1996-01-15,15.1875
1996-01-16,14.75
1996-01-17,14.625
1996-01-18,14.875
1996-01-19,15.125
1996-01-22,15.0625
1996-01-23,15.0
1996-01-24,14.875
1996-01-25,15.0
1996-01-26,15.0625
1996-01-29,15.0625
1996-01-30,15.25
1996-01-31,15.375
1996-02-01,15.1875
1996-02-02,15.125
1996-02-05,15.375
1996-02-06,15.3125
1996-02-07,15.4375
1996-02-08,15.4375
1996-02-09,15.5
1996-02-12,15.625
1996-02-13,15.8125
1996-02-14,16.125
1996-02-15,16.0
1996-02-16,16.0625
1996-02-20,15.9375
1996-02-21,15.875
1996-02-22,15.6875
1996-02-23,15.625
1996-02-26,15.1875
1996-02-27,15.75
1996-02-28,15.875
1996-02-29,15.875
1996-03-01,16.0
1996-03-04,16.0
1996-03-05,16.1875
1996-03-06,16.4375
1996-03-07,16.6875
1996-03-08,16.75
1996-03-11,16.75
1996-03-12,16.625
1996-03-13,16.375
1996-03-14,15.8125
1996-03-15,15.5
1996-03-18,15.875
1996-03-19,16.0
1996-03-20,16.0
1996-03-21,16.25
1996-03-22,16.1875
1996-03-25,16.375
1996-03-26,16.3125
1996-03-27,15.9375
1996-03-28,15.9375
1996-03-29,15.625
1996-04-01,15.75
1996-04-02,15.75
1996-04-03,15.8125
1996-04-04,15.75
1996-04-08,15.625
1996-04-09,15.75
1996-04-10,15.75
1996-04-11,15.8125
1996-04-12,16.125
1996-04-15,16.1875
1996-04-16,16.4375
1996-04-17,16.1875
1996-04-18,16.3125
1996-04-19,16.375
1996-04-22,16.5
1996-04-23,16.25
1996-04-24,16.1875
1996-04-25,16.25
1996-04-26,16.1875
1996-04-29,16.25
1996-04-30,16.125
1996-05-01,16.25
1996-05-02,16.1875
1996-05-03,16.1875
1996-05-06,16.125
1996-05-07,15.875
1996-05-08,16.0
1996-05-09,16.25
1996-05-10,16.375
1996-05-13,16.375
1996-05-14,16.0
1996-05-15,16.0
1996-05-16,15.625
1996-05-17,15.75
1996-05-20,15.6875
1996-05-21,15.5625
1996-05-22,15.75
1996-05-23,15.75
1996-05-24,15.625
1996-05-28,15.5625
1996-05-29,15.5
1996-05-30,15.5625
1996-05-31,15.5
1996-06-03,15.5
1996-06-04,15.5
1996-06-05,15.9375
1996-06-06,15.9375
1996-06-07,15.875
1996-06-10,16.0
1996-06-11,16.125
1996-06-12,16.0
1996-06-13,16.0625
1996-06-14,16.375
1996-06-17,16.4375
1996-06-18,16.4375
1996-06-19,16.5
1996-06-20,16.4375
1996-06-21,16.375
1996-06-24,16.5625
1996-06-25,16.6875
