Date,CMG
2008-08-11,76.699997
2008-08-12,75.760002
2008-08-13,72.190002
2008-08-14,75.839996
2008-08-15,76.120003
2008-08-18,73.959999
2008-08-19,72.019997
2008-08-20,70.059998
2008-08-21,70.529999
2008-08-22,72.0
2008-08-25,70.129997
2008-08-26,70.370003
2008-08-27,69.239998
2008-08-28,70.239998
2008-08-29,69.32
2008-09-02,73.599998
2008-09-03,71.660004
2008-09-04,68.699997
2008-09-05,69.970001
2008-09-08,70.099998
2008-09-09,67.279999
2008-09-10,67.879997
2008-09-11,71.150002
2008-09-12,56.700001
2008-09-15,56.110001000000004
2008-09-16,57.189999
2008-09-17,58.0
2008-09-18,60.200001
2008-09-19,60.310001
2008-09-22,57.900002
2008-09-23,56.950001
2008-09-24,56.830002
2008-09-25,57.41
2008-09-26,58.82
2008-09-29,56.5
2008-09-30,55.490002000000004
2008-10-01,57.509997999999996
2008-10-02,54.549999
2008-10-03,50.549999
2008-10-06,48.950001
2008-10-07,48.0
2008-10-08,51.279999
2008-10-09,49.400002
2008-10-10,48.349998
2008-10-13,51.0
2008-10-14,45.5
2008-10-15,40.77
2008-10-16,44.689999
2008-10-17,44.25
2008-10-20,45.849998
2008-10-21,43.34
2008-10-22,41.080002
2008-10-23,44.290001000000004
2008-10-24,44.77
2008-10-27,47.459998999999996
2008-10-28,51.5
2008-10-29,54.68
2008-10-30,50.84
2008-10-31,50.75
2008-11-03,49.02
2008-11-04,50.610001000000004
2008-11-05,48.59
2008-11-06,48.650002
2008-11-07,48.57
2008-11-10,45.43
2008-11-11,44.68
2008-11-12,42.200001
2008-11-13,44.84
2008-11-14,44.32
2008-11-17,44.139998999999996
2008-11-18,43.889998999999996
2008-11-19,40.700001
2008-11-20,38.689999
2008-11-21,39.299999
2008-11-24,42.610001000000004
2008-11-25,44.799999
2008-11-26,48.080002
2008-11-28,49.580002
2008-12-01,45.630001
2008-12-02,45.919998
2008-12-03,49.119999
2008-12-04,50.759997999999996
2008-12-05,53.099998
2008-12-08,56.889998999999996
2008-12-09,53.400002
2008-12-10,58.91
2008-12-11,55.049999
2008-12-12,57.470001
2008-12-15,56.59
2008-12-16,60.93
2008-12-17,64.629997
2008-12-18,64.08000200000001
2008-12-19,63.759997999999996
2008-12-22,63.310001
2008-12-23,59.189999
2008-12-24,58.740002000000004
2008-12-26,58.279999
2008-12-29,57.34
2008-12-30,60.59
2008-12-31,61.98
2009-01-02,64.139999
2009-01-05,62.549999
2009-01-06,60.380001
2009-01-07,58.509997999999996
2009-01-08,57.259997999999996
2009-01-09,53.41
2009-01-12,54.279999
2009-01-13,52.259997999999996
2009-01-14,49.970001
2009-01-15,51.48
2009-01-16,53.049999
2009-01-20,49.599998
2009-01-21,50.299999
2009-01-22,49.119999
2009-01-23,48.950001
2009-01-26,48.59
2009-01-27,48.09
2009-01-28,50.380001
2009-01-29,48.959998999999996
2009-01-30,47.759997999999996
2009-02-02,48.099998
2009-02-03,49.110001000000004
2009-02-04,49.169998
2009-02-05,51.529999
2009-02-06,51.310001
2009-02-09,50.380001
2009-02-10,48.110001000000004
2009-02-11,47.419998
2009-02-12,53.25
2009-02-13,55.049999
2009-02-17,53.360001000000004
