Date,ULTA
2011-06-30,64.58000200000001
2011-07-01,65.18
2011-07-05,66.82
2011-07-06,67.089996
2011-07-07,66.690002
2011-07-08,68.699997
2011-07-11,64.959999
2011-07-12,64.290001
2011-07-13,64.870003
2011-07-14,63.330002
2011-07-15,64.309998
2011-07-18,63.73
2011-07-19,65.75
2011-07-20,65.309998
2011-07-21,65.720001
2011-07-22,66.019997
2011-07-25,65.089996
2011-07-26,64.940002
2011-07-27,62.080002
2011-07-28,62.779999
2011-07-29,63.029999
2011-08-01,63.23
2011-08-02,61.43
2011-08-03,62.080002
2011-08-04,57.119999
2011-08-05,56.389998999999996
2011-08-08,50.490002000000004
2011-08-09,55.48
2011-08-10,53.080002
2011-08-11,57.16
2011-08-12,59.389998999999996
2011-08-15,57.709998999999996
2011-08-16,55.560001
2011-08-17,53.310001
2011-08-18,50.080002
2011-08-19,49.599998
2011-08-22,48.889998999999996
2011-08-23,52.689999
2011-08-24,54.259997999999996
2011-08-25,53.48
2011-08-26,56.48
2011-08-29,58.970001
2011-08-30,57.59
2011-08-31,59.080002
2011-09-01,57.599998
2011-09-02,55.330002
2011-09-06,55.369999
2011-09-07,56.799999
2011-09-08,59.759997999999996
2011-09-09,68.449997
2011-09-12,70.93
2011-09-13,69.959999
2011-09-14,69.949997
2011-09-15,70.199997
2011-09-16,70.459999
2011-09-19,72.860001
2011-09-20,70.18
2011-09-21,68.059998
2011-09-22,66.879997
2011-09-23,66.959999
2011-09-26,69.120003
2011-09-27,70.019997
2011-09-28,67.339996
2011-09-29,66.120003
2011-09-30,62.23
2011-10-03,61.32
2011-10-04,62.93
2011-10-05,66.68
2011-10-06,66.610001
2011-10-07,65.58000200000001
2011-10-10,69.239998
2011-10-11,68.349998
2011-10-12,67.769997
2011-10-13,67.959999
2011-10-14,68.900002
2011-10-17,67.480003
2011-10-18,68.75
2011-10-19,68.699997
2011-10-20,67.879997
2011-10-21,68.0
2011-10-24,70.93
2011-10-25,68.599998
2011-10-26,67.599998
2011-10-27,68.41999799999999
2011-10-28,67.529999
2011-10-31,67.290001
2011-11-01,70.33000200000001
2011-11-02,71.029999
2011-11-03,71.260002
2011-11-04,74.239998
2011-11-07,74.0
2011-11-08,73.400002
2011-11-09,71.129997
2011-11-10,72.150002
2011-11-11,72.349998
2011-11-14,71.779999
2011-11-15,72.510002
2011-11-16,71.550003
2011-11-17,69.019997
2011-11-18,67.540001
2011-11-21,66.260002
2011-11-22,66.489998
2011-11-23,65.970001
2011-11-25,64.599998
2011-11-28,68.449997
2011-11-29,68.370003
2011-11-30,69.629997
2011-12-01,68.489998
2011-12-02,74.190002
2011-12-05,73.900002
2011-12-06,72.93
2011-12-07,73.129997
2011-12-08,72.129997
2011-12-09,74.059998
2011-12-12,72.760002
2011-12-13,70.620003
