Date,AZUL
2020-04-03,7.92
2020-04-06,8.87
2020-04-07,8.91
2020-04-08,9.71
2020-04-09,9.77
2020-04-13,9.37
2020-04-14,9.48
2020-04-15,9.45
2020-04-16,9.3
2020-04-17,9.34
2020-04-20,9.41
2020-04-21,8.51
2020-04-22,8.95
2020-04-23,8.83
2020-04-24,7.3
2020-04-27,7.42
2020-04-28,8.74
2020-04-29,9.74
2020-04-30,9.56
2020-05-01,8.64
2020-05-04,8.26
2020-05-05,8.12
2020-05-06,7.79
2020-05-07,7.12
2020-05-08,7.3
