Date,MAXR
2011-09-09,48.470001
2011-09-12,47.279999
2011-09-13,47.279999
2011-09-14,47.279999
2011-09-15,47.279999
2011-09-16,48.639998999999996
2011-09-19,48.639998999999996
2011-09-20,48.639998999999996
2011-09-21,47.560001
2011-09-22,47.560001
2011-09-23,47.560001
2011-09-26,47.560001
2011-09-27,47.34
2011-09-28,47.939999
2011-09-29,47.939999
2011-09-30,47.939999
2011-10-03,47.939999
2011-10-04,47.939999
2011-10-05,42.18
2011-10-06,42.18
2011-10-07,42.18
2011-10-10,42.18
2011-10-11,42.18
2011-10-12,42.18
2011-10-13,42.18
2011-10-14,42.18
2011-10-17,42.18
2011-10-18,42.18
2011-10-19,42.18
2011-10-20,42.18
2011-10-21,42.18
2011-10-24,42.18
2011-10-25,42.18
2011-10-26,42.810001
2011-10-27,42.810001
2011-10-28,43.369999
2011-10-31,43.369999
2011-11-01,43.720001
2011-11-02,43.720001
2011-11-03,43.720001
2011-11-04,45.880001
2011-11-07,45.880001
2011-11-08,45.880001
2011-11-09,47.0
2011-11-10,47.0
2011-11-11,47.0
2011-11-14,47.0
2011-11-15,46.849998
2011-11-16,46.849998
2011-11-17,46.849998
2011-11-18,48.52
2011-11-21,48.52
2011-11-22,48.52
2011-11-23,48.52
2011-11-25,48.52
2011-11-28,48.52
2011-11-29,48.52
2011-11-30,48.52
2011-12-01,48.52
2011-12-02,48.52
2011-12-05,47.669998
2011-12-06,47.669998
2011-12-07,47.669998
2011-12-08,47.5
2011-12-09,47.5
2011-12-12,47.5
2011-12-13,47.5
2011-12-14,47.5
2011-12-15,47.5
2011-12-16,47.5
2011-12-19,47.5
2011-12-20,47.5
2011-12-21,47.5
2011-12-22,46.509997999999996
2011-12-23,46.5
2011-12-27,46.5
2011-12-28,46.5
2011-12-29,46.5
2011-12-30,46.27
2012-01-03,46.27
2012-01-04,46.27
2012-01-05,46.279999
2012-01-06,46.279999
2012-01-09,46.279999
2012-01-10,46.279999
2012-01-11,46.279999
2012-01-12,46.279999
2012-01-13,46.389998999999996
2012-01-17,44.849998
2012-01-18,44.849998
2012-01-19,44.02
2012-01-20,43.34
2012-01-23,43.77
2012-01-24,43.599998
2012-01-25,43.599998
2012-01-26,43.09
2012-01-27,43.09
2012-01-30,43.09
2012-01-31,43.09
2012-02-01,43.09
2012-02-02,43.09
2012-02-03,45.0
