Date,MON
2014-12-16,116.599998
2014-12-17,118.400002
2014-12-18,119.589996
2014-12-19,121.120003
2014-12-22,122.040001
2014-12-23,122.66999799999999
2014-12-24,120.970001
2014-12-26,121.440002
2014-12-29,121.449997
2014-12-30,121.110001
2014-12-31,119.470001
2015-01-02,119.739998
2015-01-05,117.309998
2015-01-06,116.25
2015-01-07,117.209999
2015-01-08,119.190002
2015-01-09,119.040001
2015-01-12,119.559998
2015-01-13,117.860001
2015-01-14,117.510002
2015-01-15,117.32
2015-01-16,117.589996
2015-01-20,117.57
2015-01-21,118.279999
2015-01-22,120.0
2015-01-23,118.449997
2015-01-26,119.110001
2015-01-27,118.620003
2015-01-28,117.349998
2015-01-29,118.489998
2015-01-30,117.980003
2015-02-02,118.879997
2015-02-03,120.349998
2015-02-04,119.059998
2015-02-05,120.860001
2015-02-06,120.220001
2015-02-09,121.25
2015-02-10,121.470001
2015-02-11,122.480003
2015-02-12,122.769997
2015-02-13,124.769997
2015-02-17,124.660004
2015-02-18,124.559998
2015-02-19,125.459999
2015-02-20,124.910004
2015-02-23,124.559998
2015-02-24,124.940002
2015-02-25,124.230003
2015-02-26,119.970001
2015-02-27,120.43
2015-03-02,121.300003
2015-03-03,120.199997
2015-03-04,119.860001
2015-03-05,119.269997
2015-03-06,118.16999799999999
2015-03-09,118.379997
2015-03-10,117.040001
2015-03-11,116.910004
2015-03-12,118.440002
2015-03-13,116.870003
2015-03-16,117.910004
2015-03-17,116.839996
2015-03-18,117.160004
2015-03-19,115.379997
2015-03-20,115.75
2015-03-23,113.489998
2015-03-24,113.58000200000001
2015-03-25,112.43
2015-03-26,112.25
2015-03-27,112.730003
2015-03-30,113.379997
2015-03-31,112.540001
2015-04-01,116.959999
2015-04-02,116.300003
2015-04-06,117.089996
2015-04-07,117.849998
2015-04-08,117.139999
2015-04-09,119.32
2015-04-10,120.139999
2015-04-13,119.489998
2015-04-14,119.08000200000001
2015-04-15,119.360001
2015-04-16,118.93
2015-04-17,116.699997
2015-04-20,117.370003
2015-04-21,117.279999
2015-04-22,116.870003
2015-04-23,117.489998
2015-04-24,118.459999
2015-04-27,117.699997
2015-04-28,115.0
2015-04-29,115.0
2015-04-30,113.959999
2015-05-01,118.440002
2015-05-04,115.91999799999999
2015-05-05,116.650002
2015-05-06,116.300003
2015-05-07,119.129997
2015-05-08,120.790001
2015-05-11,118.0
2015-05-12,116.059998
2015-05-13,118.25
2015-05-14,120.720001
2015-05-15,120.82
2015-05-18,120.32
2015-05-19,119.910004
2015-05-20,118.769997
2015-05-21,120.0
2015-05-22,120.290001
2015-05-26,117.93
2015-05-27,118.559998
2015-05-28,118.599998
2015-05-29,116.980003
2015-06-01,116.610001
2015-06-02,116.58000200000001
2015-06-03,115.75
2015-06-04,113.58000200000001
2015-06-05,113.800003
2015-06-08,113.91999799999999
2015-06-09,113.540001
2015-06-10,114.489998
2015-06-11,115.08000200000001
2015-06-12,114.120003
2015-06-15,112.489998
2015-06-16,112.849998
2015-06-17,113.139999
2015-06-18,114.449997
2015-06-19,112.629997
2015-06-22,114.339996
2015-06-23,112.779999
2015-06-24,106.32
2015-06-25,107.300003
2015-06-26,105.209999
2015-06-29,103.279999
2015-06-30,106.589996
2015-07-01,107.660004
2015-07-02,108.349998
2015-07-06,107.699997
2015-07-07,107.800003
2015-07-08,105.980003
2015-07-09,106.510002
2015-07-10,108.809998
2015-07-13,108.68
2015-07-14,107.800003
2015-07-15,107.32
2015-07-16,107.82
2015-07-17,107.08000200000001
2015-07-20,107.0
2015-07-21,106.370003
2015-07-22,105.349998
2015-07-23,104.050003
2015-07-24,102.860001
2015-07-27,101.459999
2015-07-28,101.620003
2015-07-29,102.0
2015-07-30,103.019997
2015-07-31,101.889999
2015-08-03,102.279999
2015-08-04,102.379997
2015-08-05,102.760002
2015-08-06,102.18
2015-08-07,101.25
2015-08-10,103.190002
2015-08-11,102.529999
2015-08-12,103.25
2015-08-13,103.32
2015-08-14,103.16999799999999
2015-08-17,103.449997
2015-08-18,102.809998
2015-08-19,102.349998
2015-08-20,100.150002
2015-08-21,97.470001
2015-08-24,93.550003
2015-08-25,89.41999799999999
2015-08-26,97.08000200000001
2015-08-27,98.400002
2015-08-28,98.379997
2015-08-31,97.650002
2015-09-01,95.800003
2015-09-02,97.209999
2015-09-03,96.970001
2015-09-04,95.75
2015-09-08,95.25
2015-09-09,93.239998
2015-09-10,93.760002
2015-09-11,92.489998
2015-09-14,90.139999
2015-09-15,90.879997
2015-09-16,90.389999
2015-09-17,90.099998
2015-09-18,88.099998
2015-09-21,87.66999799999999
2015-09-22,86.5
2015-09-23,84.379997
2015-09-24,83.949997
2015-09-25,84.510002
2015-09-28,83.110001
2015-09-29,83.599998
2015-09-30,85.339996
2015-10-01,85.779999
2015-10-02,87.010002
2015-10-05,87.709999
2015-10-06,88.08000200000001
2015-10-07,88.059998
2015-10-08,89.25
2015-10-09,89.699997
2015-10-12,89.540001
2015-10-13,89.18
2015-10-14,90.239998
2015-10-15,90.690002
2015-10-16,89.970001
2015-10-19,90.83000200000001
2015-10-20,91.199997
2015-10-21,91.620003
2015-10-22,91.279999
2015-10-23,91.360001
2015-10-26,91.339996
2015-10-27,91.410004
2015-10-28,92.510002
2015-10-29,93.730003
2015-10-30,93.220001
2015-11-02,93.150002
2015-11-03,95.650002
2015-11-04,94.900002
2015-11-05,93.959999
2015-11-06,93.489998
2015-11-09,94.269997
2015-11-10,92.860001
2015-11-11,93.529999
2015-11-12,92.879997
2015-11-13,93.779999
2015-11-16,95.339996
2015-11-17,94.410004
2015-11-18,96.129997
2015-11-19,95.83000200000001
2015-11-20,96.089996
2015-11-23,95.269997
2015-11-24,95.559998
2015-11-25,95.599998
2015-11-27,95.43
2015-11-30,95.160004
2015-12-01,97.309998
2015-12-02,97.110001
2015-12-03,96.550003
2015-12-04,97.849998
2015-12-07,97.66999799999999
2015-12-08,96.760002
2015-12-09,96.610001
2015-12-10,96.089996
2015-12-11,93.629997
2015-12-14,93.75
2015-12-15,95.620003
2015-12-16,97.089996
2015-12-17,95.739998
2015-12-18,94.839996
2015-12-21,95.43
2015-12-22,97.309998
2015-12-23,99.57
2015-12-24,99.269997
2015-12-28,98.860001
2015-12-29,99.279999
2015-12-30,98.889999
2015-12-31,98.519997
2016-01-04,97.790001
2016-01-05,97.279999
2016-01-06,95.209999
2016-01-07,93.58000200000001
2016-01-08,92.790001
2016-01-11,92.279999
2016-01-12,92.519997
2016-01-13,91.190002
2016-01-14,92.150002
2016-01-15,90.870003
2016-01-19,90.860001
2016-01-20,89.809998
2016-01-21,91.129997
2016-01-22,91.870003
2016-01-25,87.32
2016-01-26,88.5
2016-01-27,87.610001
2016-01-28,87.800003
2016-01-29,90.599998
2016-02-01,90.129997
2016-02-02,87.360001
2016-02-03,89.5
2016-02-04,95.32
2016-02-05,94.58000200000001
2016-02-08,91.25
2016-02-09,91.699997
2016-02-10,87.58000200000001
2016-02-11,85.690002
2016-02-12,87.029999
2016-02-16,87.940002
2016-02-17,89.639999
2016-02-18,89.91999799999999
2016-02-19,88.519997
2016-02-22,89.470001
2016-02-23,87.959999
2016-02-24,88.57
2016-02-25,89.839996
2016-02-26,90.58000200000001
2016-02-29,89.989998
2016-03-01,92.489998
2016-03-02,85.300003
2016-03-03,84.940002
2016-03-04,85.889999
2016-03-07,88.480003
2016-03-08,88.870003
2016-03-09,88.720001
2016-03-10,88.989998
2016-03-11,90.949997
2016-03-14,89.900002
2016-03-15,89.16999799999999
2016-03-16,90.709999
2016-03-17,92.91999799999999
2016-03-18,93.010002
2016-03-21,91.309998
2016-03-22,90.379997
2016-03-23,90.07
2016-03-24,90.099998
2016-03-28,90.629997
2016-03-29,90.660004
2016-03-30,91.089996
2016-03-31,87.739998
2016-04-01,87.870003
2016-04-04,87.199997
2016-04-05,86.639999
2016-04-06,87.0
2016-04-07,86.099998
2016-04-08,86.629997
2016-04-11,86.769997
2016-04-12,87.41999799999999
2016-04-13,89.739998
2016-04-14,88.949997
2016-04-15,88.370003
2016-04-18,88.959999
2016-04-19,93.269997
2016-04-20,93.400002
2016-04-21,94.110001
2016-04-22,94.08000200000001
2016-04-25,94.08000200000001
2016-04-26,93.900002
2016-04-27,94.0
2016-04-28,94.269997
2016-04-29,93.68
2016-05-02,95.650002
2016-05-03,93.870003
2016-05-04,91.650002
2016-05-05,89.660004
2016-05-06,89.75
2016-05-09,89.029999
2016-05-10,91.18
2016-05-11,90.339996
2016-05-12,97.91999799999999
2016-05-13,99.940002
2016-05-16,98.279999
2016-05-17,97.720001
2016-05-18,97.129997
2016-05-19,100.550003
2016-05-20,101.519997
2016-05-23,106.0
2016-05-24,109.300003
2016-05-25,111.68
2016-05-26,109.620003
2016-05-27,109.489998
2016-05-31,112.470001
2016-06-01,110.980003
2016-06-02,110.360001
2016-06-03,111.0
2016-06-06,108.760002
2016-06-07,107.400002
2016-06-08,108.260002
2016-06-09,109.989998
2016-06-10,109.199997
2016-06-13,107.050003
2016-06-14,106.75
2016-06-15,107.639999
2016-06-16,108.900002
2016-06-17,109.349998
2016-06-20,108.709999
2016-06-21,107.68
2016-06-22,107.160004
2016-06-23,109.150002
2016-06-24,104.07
2016-06-27,99.980003
2016-06-28,101.089996
2016-06-29,103.519997
2016-06-30,103.410004
2016-07-01,101.32
2016-07-05,100.25
