Date,RTH
2003-07-15,28.07
2003-07-16,28.133333
2003-07-17,27.799999
2003-07-18,27.866667
2003-07-21,27.516665999999997
2003-07-22,27.75
2003-07-23,27.896666999999997
2003-07-24,27.573334000000003
2003-07-25,27.966666999999998
2003-07-28,27.99
2003-07-29,27.700001
2003-07-30,27.703333
2003-07-31,27.9
2003-08-01,27.633333
2003-08-04,27.766665999999997
2003-08-05,27.139999
2003-08-06,27.343334000000002
2003-08-07,27.84
2003-08-08,28.233334000000003
2003-08-11,28.299999
2003-08-12,28.833334000000004
2003-08-13,28.790001
2003-08-14,28.776667
2003-08-15,28.916665999999996
2003-08-18,29.403334
2003-08-19,29.266665999999997
2003-08-20,29.389999
2003-08-21,29.636667
2003-08-22,29.34
2003-08-25,29.393333000000002
2003-08-26,29.48
2003-08-27,29.606666999999998
2003-08-28,29.956667
2003-08-29,30.013334000000004
2003-09-02,30.336665999999997
2003-09-03,30.283333000000002
2003-09-04,30.363333
2003-09-05,29.896666999999997
2003-09-08,29.85
2003-09-09,28.956667
2003-09-10,28.733334000000003
2003-09-11,29.066668
2003-09-12,28.983334000000003
2003-09-15,29.203333
2003-09-16,29.486665999999996
2003-09-17,29.356666999999998
2003-09-18,29.613333
2003-09-19,29.566668
2003-09-22,29.066668
2003-09-23,29.450001
2003-09-24,28.903334
2003-09-25,28.916665999999996
2003-09-26,28.75
2003-09-29,28.663334000000003
2003-09-30,28.290001
2003-10-01,29.083334000000004
2003-10-02,29.1
2003-10-03,29.65
2003-10-06,29.933332
2003-10-07,30.346666
2003-10-08,30.183332
2003-10-09,30.700001
2003-10-10,30.473333
2003-10-13,30.883333
2003-10-14,31.053333000000002
2003-10-15,31.003334000000002
2003-10-16,31.013334000000004
2003-10-17,30.596666
2003-10-20,30.693333000000003
2003-10-21,30.65
2003-10-22,30.216666999999998
2003-10-23,30.456667
2003-10-24,30.17
2003-10-27,30.456667
2003-10-28,31.17
2003-10-29,31.233334000000003
2003-10-30,31.116667
2003-10-31,31.16
2003-11-03,31.503334000000002
2003-11-04,31.24
2003-11-05,31.016665999999997
2003-11-06,31.326665999999996
2003-11-07,31.299999
2003-11-10,31.113333
2003-11-11,31.219998999999998
2003-11-12,31.326665999999996
2003-11-13,30.833334000000004
2003-11-14,30.653334
2003-11-17,30.35
2003-11-18,30.133333
2003-11-19,30.333334000000004
2003-11-20,30.333334000000004
2003-11-21,30.393333000000002
2003-11-24,31.120001000000002
2003-11-25,31.223333
2003-11-26,31.040001
2003-11-28,31.120001000000002
2003-12-01,31.139999
2003-12-02,30.453333
2003-12-03,30.200001
2003-12-04,30.046667
2003-12-05,29.793333
2003-12-08,29.823334000000003
2003-12-09,29.483334000000003
2003-12-10,29.266665999999997
2003-12-11,29.65
2003-12-12,29.42
2003-12-15,28.893333000000002
2003-12-16,28.916665999999996
2003-12-17,29.416665999999996
2003-12-18,29.633333
2003-12-19,29.483334000000003
2003-12-22,29.543333
2003-12-23,29.58
2003-12-24,29.493334
2003-12-26,29.66
2003-12-29,29.983334000000003
2003-12-30,30.063334
2003-12-31,30.106666999999998
2004-01-02,29.533333000000002
2004-01-05,29.636667
2004-01-06,30.066668
2004-01-07,30.08
2004-01-08,29.666665999999996
2004-01-09,29.573334000000003
2004-01-12,29.49
2004-01-13,29.700001
2004-01-14,29.933332
2004-01-15,30.15
2004-01-16,30.1
2004-01-20,29.803333000000002
2004-01-21,30.166665999999996
2004-01-22,30.193333000000003
2004-01-23,30.423334000000004
2004-01-26,30.506666
2004-01-27,30.283333000000002
2004-01-28,29.533333000000002
2004-01-29,29.799999
2004-01-30,29.786666999999998
2004-02-02,29.889999
2004-02-03,29.846666
2004-02-04,29.966666999999998
2004-02-05,30.280001000000002
2004-02-06,30.723333
2004-02-09,30.666665999999996
2004-02-10,30.883333
2004-02-11,31.133333
2004-02-12,31.129998999999998
2004-02-13,30.843334000000002
2004-02-17,31.166665999999996
2004-02-18,31.1
2004-02-19,31.166665999999996
2004-02-20,31.493334
2004-02-23,31.333334000000004
2004-02-24,31.296667
2004-02-25,31.57
2004-02-26,31.620001000000002
2004-02-27,31.690001000000002
2004-03-01,32.0
2004-03-02,31.633333
2004-03-03,31.793333
2004-03-04,31.873333000000002
2004-03-05,31.833334000000004
2004-03-08,31.643333000000002
2004-03-09,31.360001
2004-03-10,30.673334000000004
2004-03-11,30.5
2004-03-12,30.783333000000002
2004-03-15,30.343334000000002
2004-03-16,30.373333000000002
2004-03-17,30.753334000000002
2004-03-18,30.923334000000004
2004-03-19,30.666665999999996
2004-03-22,30.206667
2004-03-23,30.113333
2004-03-24,30.196666999999998
2004-03-25,30.886667
2004-03-26,30.776667
2004-03-29,31.156665999999998
2004-03-30,31.209999
2004-03-31,31.25
2004-04-01,30.983334000000003
2004-04-02,31.023333
2004-04-05,31.306666999999997
2004-04-06,31.440001000000002
2004-04-07,31.09
2004-04-08,30.633333
2004-04-12,30.883333
2004-04-13,30.396666999999997
2004-04-14,30.469998999999998
2004-04-15,30.59
2004-04-16,30.799999
2004-04-19,30.706667
2004-04-20,30.583334000000004
2004-04-21,30.693333000000003
2004-04-22,31.25
2004-04-23,31.276667
2004-04-26,30.933332
2004-04-27,31.23
2004-04-28,30.933332
2004-04-29,30.59
2004-04-30,30.416665999999996
2004-05-03,30.583334000000004
2004-05-04,30.41
2004-05-05,30.486665999999996
2004-05-06,29.893333000000002
2004-05-07,29.273333
2004-05-10,29.549999
2004-05-11,29.549999
2004-05-12,29.663334000000003
2004-05-13,29.506666
2004-05-14,29.486665999999996
2004-05-17,29.123333000000002
2004-05-18,29.703333
2004-05-19,29.533333000000002
2004-05-20,29.516665999999997
2004-05-21,29.66
2004-05-24,29.799999
2004-05-25,30.433332
2004-05-26,30.370001000000002
2004-05-27,30.866667
2004-05-28,30.716666999999998
2004-06-01,30.733334000000003
2004-06-02,30.943333000000003
2004-06-03,30.883333
2004-06-04,30.879998999999998
2004-06-07,31.376666999999998
2004-06-08,31.543333
2004-06-09,31.216666999999998
2004-06-10,31.303333000000002
2004-06-14,30.98
2004-06-15,31.226667
2004-06-16,31.233334000000003
2004-06-17,31.083334000000004
2004-06-18,30.953333
2004-06-21,31.006666
2004-06-22,30.783333000000002
2004-06-23,31.1
2004-06-24,30.98
2004-06-25,30.793333
2004-06-28,30.75
2004-06-29,30.346666
2004-06-30,30.443333000000003
2004-07-01,30.08
2004-07-02,30.0
2004-07-06,29.959999
2004-07-07,30.083334000000004
2004-07-08,29.57
2004-07-09,29.67
2004-07-12,29.860001
2004-07-13,30.186666
2004-07-14,29.889999
2004-07-15,29.706667
2004-07-16,29.483334000000003
2004-07-19,29.299999
2004-07-20,29.653334
2004-07-21,29.416665999999996
2004-07-22,29.4
2004-07-23,29.123333000000002
2004-07-26,28.873333000000002
2004-07-27,29.5
2004-07-28,29.41
