Date,H
2013-05-24,40.91
2013-05-28,41.75
2013-05-29,40.98
2013-05-30,41.48
2013-05-31,41.119999
2013-06-03,40.790001000000004
2013-06-04,40.549999
2013-06-05,40.040001000000004
2013-06-06,41.009997999999996
2013-06-07,41.790001000000004
2013-06-10,41.919998
2013-06-11,40.759997999999996
2013-06-12,40.59
2013-06-13,40.619999
2013-06-14,40.560001
2013-06-17,39.990002000000004
2013-06-18,40.669998
2013-06-19,40.349998
2013-06-20,38.810001
2013-06-21,39.200001
2013-06-24,38.75
2013-06-25,39.25
2013-06-26,39.639998999999996
2013-06-27,40.610001000000004
2013-06-28,40.360001000000004
2013-07-01,40.779999
2013-07-02,40.779999
2013-07-03,40.48
2013-07-05,41.439999
2013-07-08,41.330002
2013-07-09,41.419998
2013-07-10,41.560001
2013-07-11,41.959998999999996
2013-07-12,41.82
2013-07-15,42.139998999999996
2013-07-16,42.16
2013-07-17,42.16
2013-07-18,42.84
2013-07-19,42.52
2013-07-22,42.400002
2013-07-23,42.18
2013-07-24,41.529999
2013-07-25,41.849998
2013-07-26,41.91
2013-07-29,42.02
2013-07-30,42.689999
2013-07-31,45.25
2013-08-01,46.580002
2013-08-02,46.360001000000004
2013-08-05,45.880001
2013-08-06,44.790001000000004
2013-08-07,44.34
2013-08-08,45.709998999999996
2013-08-09,45.790001000000004
2013-08-12,45.060001
2013-08-13,45.310001
2013-08-14,45.580002
2013-08-15,45.029999
2013-08-16,44.57
2013-08-19,43.98
2013-08-20,44.16
2013-08-21,44.209998999999996
2013-08-22,44.830002
2013-08-23,44.5
2013-08-26,44.73
2013-08-27,43.610001000000004
2013-08-28,43.470001
2013-08-29,43.889998999999996
2013-08-30,43.400002
2013-09-03,44.02
2013-09-04,44.400002
2013-09-05,44.380001
2013-09-06,44.75
2013-09-09,45.43
2013-09-10,45.799999
2013-09-11,45.959998999999996
2013-09-12,45.119999
2013-09-13,45.5
2013-09-16,45.400002
2013-09-17,44.970001
2013-09-18,45.860001000000004
2013-09-19,46.080002
2013-09-20,45.599998
2013-09-23,45.099998
2013-09-24,45.049999
2013-09-25,44.900002
2013-09-26,43.599998
2013-09-27,43.950001
2013-09-30,42.959998999999996
2013-10-01,43.529999
2013-10-02,43.84
2013-10-03,43.700001
2013-10-04,44.220001
2013-10-07,44.200001
2013-10-08,43.919998
2013-10-09,43.549999
2013-10-10,43.34
2013-10-11,43.990002000000004
2013-10-14,44.119999
2013-10-15,44.009997999999996
2013-10-16,43.98
2013-10-17,44.529999
2013-10-18,45.209998999999996
2013-10-21,45.689999
2013-10-22,45.919998
2013-10-23,45.299999
2013-10-24,46.759997999999996
2013-10-25,47.189999
2013-10-28,46.43
2013-10-29,46.790001000000004
2013-10-30,46.619999
2013-10-31,47.599998
2013-11-01,48.209998999999996
2013-11-04,48.849998
2013-11-05,48.900002
2013-11-06,48.02
2013-11-07,47.400002
2013-11-08,48.150002
2013-11-11,48.060001
2013-11-12,48.310001
2013-11-13,48.330002
2013-11-14,48.669998
2013-11-15,49.32
2013-11-18,48.849998
2013-11-19,48.290001000000004
2013-11-20,48.099998
2013-11-21,48.610001000000004
2013-11-22,48.889998999999996
2013-11-25,48.349998
2013-11-26,48.52
2013-11-27,48.299999
2013-11-29,48.369999
2013-12-02,48.040001000000004
2013-12-03,47.650002
2013-12-04,47.099998
2013-12-05,47.02
2013-12-06,47.119999
2013-12-09,47.330002
2013-12-10,47.25
2013-12-11,46.639998999999996
2013-12-12,46.900002
2013-12-13,46.830002
2013-12-16,47.990002000000004
2013-12-17,47.400002
2013-12-18,48.509997999999996
2013-12-19,48.950001
2013-12-20,49.5
2013-12-23,49.849998
2013-12-24,49.830002
2013-12-26,49.709998999999996
2013-12-27,49.549999
2013-12-30,49.799999
2013-12-31,49.459998999999996
2014-01-02,49.880001
2014-01-03,49.799999
2014-01-06,49.450001
2014-01-07,49.650002
2014-01-08,49.950001
2014-01-09,50.07
2014-01-10,50.0
2014-01-13,49.25
2014-01-14,49.900002
2014-01-15,50.169998
2014-01-16,50.0
2014-01-17,50.189999
2014-01-21,50.209998999999996
2014-01-22,50.34
2014-01-23,49.950001
2014-01-24,48.57
2014-01-27,47.73
2014-01-28,48.48
2014-01-29,47.580002
2014-01-30,47.619999
2014-01-31,47.790001000000004
2014-02-03,45.880001
2014-02-04,46.389998999999996
2014-02-05,46.490002000000004
2014-02-06,47.43
2014-02-07,48.299999
2014-02-10,48.5
2014-02-11,49.200001
2014-02-12,49.48
2014-02-13,49.389998999999996
2014-02-14,52.849998
2014-02-18,51.439999
2014-02-19,51.240002000000004
2014-02-20,50.900002
2014-02-21,52.18
2014-02-24,52.43
2014-02-25,52.09
2014-02-26,52.189999
2014-02-27,52.900002
2014-02-28,52.16
2014-03-03,51.669998
2014-03-04,53.119999
2014-03-05,52.98
2014-03-06,52.919998
2014-03-07,53.25
2014-03-10,52.75
2014-03-11,52.369999
2014-03-12,52.68
2014-03-13,52.099998
2014-03-14,53.049999
2014-03-17,53.799999
2014-03-18,54.049999
2014-03-19,54.130001
2014-03-20,53.939999
2014-03-21,54.84
2014-03-24,54.279999
2014-03-25,53.759997999999996
2014-03-26,53.189999
2014-03-27,53.189999
2014-03-28,53.619999
2014-03-31,53.810001
2014-04-01,55.0
2014-04-02,55.279999
2014-04-03,55.200001
2014-04-04,53.91
2014-04-07,53.450001
2014-04-08,53.360001000000004
2014-04-09,54.25
2014-04-10,52.77
2014-04-11,52.060001
2014-04-14,53.25
2014-04-15,53.669998
2014-04-16,53.740002000000004
2014-04-17,54.200001
2014-04-21,53.990002000000004
2014-04-22,54.639998999999996
2014-04-23,54.490002000000004
2014-04-24,54.490002000000004
2014-04-25,53.93
2014-04-28,53.240002000000004
2014-04-29,54.02
2014-04-30,56.279999
2014-05-01,57.82
2014-05-02,57.990002000000004
2014-05-05,57.830002
