Date,CX
2002-07-01,9.791541
2002-07-02,9.605361
2002-07-03,9.783942
2002-07-05,10.038514
2002-07-08,10.224694
2002-07-09,10.106907000000001
2002-07-10,9.897929
2002-07-11,10.038514
2002-07-12,9.98912
2002-07-15,9.742146
2002-07-16,9.529369
2002-07-17,9.871332
2002-07-18,9.734548
2002-07-19,9.548368
2002-07-22,9.308993
2002-07-23,9.073419
2002-07-24,9.396383
2002-07-25,9.168408
2002-07-26,9.233002
2002-07-29,10.023316000000001
2002-07-30,9.479975
2002-07-31,9.214004
2002-08-01,8.811247
2002-08-02,8.69346
2002-08-05,8.397092
2002-08-06,8.974629
2002-08-07,9.270997
2002-08-08,9.119014
2002-08-09,8.967031
2002-08-12,8.917636
2002-08-13,8.856842
2002-08-14,8.818846
2002-08-15,8.948032000000001
2002-08-16,9.233002
2002-08-19,9.289995
2002-08-20,9.289995
2002-08-21,9.270997
2002-08-22,9.251999
2002-08-23,8.986028
2002-08-26,9.138012
2002-08-27,8.97083
2002-08-28,8.894838
2002-08-29,8.982228
2002-08-30,8.948032000000001
2002-09-03,8.758053
2002-09-04,8.834044
2002-09-05,8.628867
2002-09-06,8.537677
2002-09-09,8.590871
2002-09-10,8.754253
2002-09-11,8.682061000000001
2002-09-12,8.621267
2002-09-13,8.465485000000001
2002-09-16,8.50348
2002-09-17,8.419889
2002-09-18,8.389493
2002-09-19,7.933542
2002-09-20,7.823353999999999
2002-09-23,7.789157
2002-09-24,7.618175999999999
2002-09-25,7.610577
2002-09-26,7.998135
2002-09-27,7.808155999999999
2002-09-30,7.922142999999999
2002-10-01,8.275505
2002-10-02,7.872748
2002-10-03,7.796757
2002-10-04,7.67517
2002-10-07,7.705566
2002-10-08,7.781559
2002-10-09,7.572581
2002-10-10,7.333207000000001
2002-10-11,7.599178
2002-10-14,7.633374000000001
2002-10-15,7.903144999999999
2002-10-16,7.728364
2002-10-17,8.055128999999999
2002-10-18,8.058928
2002-10-21,7.880348
2002-10-22,7.865149000000001
2002-10-23,8.123522
2002-10-24,7.937342
2002-10-25,7.960139
2002-10-28,7.735963000000001
2002-10-29,7.409199
2002-10-30,7.591578999999999
2002-10-31,7.701767
2002-11-01,8.112123
2002-11-04,8.317300999999999
2002-11-05,8.309700999999999
2002-11-06,8.476883
2002-11-07,8.442687
2002-11-08,8.347697
2002-11-11,8.085526
2002-11-12,7.998135
2002-11-13,7.941141
2002-11-14,8.169116
2002-11-15,7.963939
2002-11-18,7.922142999999999
2002-11-19,7.9069449999999994
2002-11-20,8.142519
2002-11-21,8.499680999999999
2002-11-22,8.549075
2002-11-25,8.621267
2002-11-26,8.530077
2002-11-27,8.739055
2002-11-29,8.837844
2002-12-02,9.050621000000001
2002-12-03,9.069619
2002-12-04,8.929034
2002-12-05,8.891038
2002-12-06,8.727656
2002-12-09,8.522478
2002-12-10,8.602269
2002-12-11,8.739055
2002-12-12,8.701058999999999
2002-12-13,8.552875
2002-12-16,8.51108
2002-12-17,8.488282
2002-12-18,8.260306
2002-12-19,8.233709
2002-12-20,8.359096000000001
2002-12-23,8.442687
2002-12-24,8.389493
2002-12-26,8.351497
2002-12-27,8.222311
2002-12-30,8.22611
2002-12-31,8.172916
2003-01-02,8.450286
2003-01-03,8.473083
2003-01-06,8.518678999999999
2003-01-07,8.457885000000001
2003-01-08,8.530077
2003-01-09,8.602269
2003-01-10,8.659264
2003-01-13,8.723857
2003-01-14,8.704858999999999
2003-01-15,8.541476
2003-01-16,8.393292
2003-01-17,8.237509
2003-01-21,7.599178
2003-01-22,7.614377
2003-01-23,7.58018
2003-01-24,7.431996000000001
2003-01-27,7.276213
2003-01-28,7.329407000000001
2003-01-29,7.162225
2003-01-30,7.071035
2003-01-31,7.143228
2003-02-03,7.1470270000000005
2003-02-04,6.945649
2003-02-05,7.014041000000001
2003-02-06,6.991244
2003-02-07,6.744271
2003-02-10,6.706275
2003-02-11,6.6112850000000005
2003-02-12,6.527694
2003-02-13,6.482099
2003-02-14,6.687277000000001
2003-02-18,6.896253999999999
2003-02-19,6.820262
2003-02-20,6.774667
2003-02-21,6.808864
2003-02-24,6.668278999999999
2003-02-25,6.6188839999999995
2003-02-26,6.6112850000000005
2003-02-27,6.774667
2003-02-28,6.820262
2003-03-03,6.778467
2003-03-04,6.683477000000001
2003-03-05,6.596087
2003-03-06,6.523894
2003-03-07,6.440303
2003-03-10,6.387109
2003-03-11,6.326316
2003-03-12,6.250324
2003-03-13,6.444103
2003-03-14,6.535293
2003-03-17,6.725273
2003-03-18,6.744271
2003-03-19,6.83926
2003-03-20,6.877256
2003-03-21,6.896253999999999
2003-03-24,6.732872
2003-03-25,6.827862
2003-03-26,6.793665
2003-03-27,6.789865
2003-03-28,6.801264
2003-03-31,6.626483
2003-04-01,6.763267999999999
2003-04-02,6.8354610000000005
2003-04-03,6.83926
2003-04-04,6.957047
2003-04-07,7.219219
2003-04-08,7.086233999999999
2003-04-09,7.036839
2003-04-10,7.021641000000001
2003-04-11,7.002642999999999
2003-04-14,7.124229
2003-04-15,7.431996000000001
2003-04-16,7.599178
2003-04-17,7.800555999999999
2003-04-21,7.6979679999999995
2003-04-22,7.648573
2003-04-23,7.789157
2003-04-24,7.9867360000000005
2003-04-25,8.131121
2003-04-28,8.332499
2003-04-29,8.590871
2003-04-30,8.682061000000001
2003-05-01,8.564274000000001
2003-05-02,8.419889
2003-05-05,8.579473
2003-05-06,8.644065
2003-05-07,8.191914
2003-05-08,7.8879470000000005
2003-05-09,8.017133
2003-05-12,8.036131
2003-05-13,8.112123
2003-05-14,8.100724000000001
2003-05-15,8.062728
2003-05-16,8.119721
2003-05-19,7.922142999999999
2003-05-20,7.944941
2003-05-21,8.03993
2003-05-22,8.176716
2003-05-23,8.381893
2003-05-27,8.416089999999999
2003-05-28,8.609869
2003-05-29,8.248908
2003-05-30,8.427488
2003-06-02,8.435088
2003-06-03,8.340098
2003-06-04,8.347697
2003-06-05,8.480682
2003-06-06,8.530077
2003-06-09,8.499680999999999
2003-06-10,8.609869
2003-06-11,8.530077
2003-06-12,8.51108
2003-06-13,8.378094
2003-06-16,8.370495
2003-06-17,8.492082
2003-06-18,8.378094
2003-06-19,8.533877
2003-06-20,8.518678999999999
2003-06-23,8.397092
2003-06-24,8.336298
2003-06-25,8.370495
2003-06-26,8.450286
2003-06-27,8.495880999999999
2003-06-30,8.469284
2003-07-01,8.560474000000001
2003-07-02,8.533877
2003-07-03,8.564274000000001
2003-07-07,8.594669999999999
2003-07-08,8.716257
2003-07-09,8.754253
2003-07-10,8.712458
2003-07-11,8.666862
2003-07-14,8.796049
2003-07-15,8.712458
2003-07-16,8.701058999999999
2003-07-17,8.754253
2003-07-18,8.913836
2003-07-21,8.868241000000001
2003-07-22,8.948032000000001
2003-07-23,8.864441000000001
2003-07-24,8.986028
2003-07-25,8.982228
2003-07-28,8.883439
2003-07-29,8.834044
2003-07-30,8.883439
2003-07-31,8.967031
2003-08-01,8.917636
2003-08-04,8.758053
2003-08-05,8.796049
2003-08-06,8.834044
2003-08-07,8.818846
2003-08-08,8.799849
2003-08-11,8.830245
2003-08-12,8.860641000000001
2003-08-13,8.906236999999999
2003-08-14,8.955631
2003-08-15,9.012626
2003-08-18,9.179807
2003-08-19,9.495173
2003-08-20,9.464775999999999
2003-08-21,9.517971000000001
2003-08-22,9.548368
2003-08-25,9.464775999999999
2003-08-26,9.33559
