Date,ISBC
2007-12-21,5.7787370000000005
2007-12-24,5.829737000000001
2007-12-26,5.853276
2007-12-27,5.692429
2007-12-28,5.566889
2007-12-31,5.547274
2008-01-02,5.398194999999999
2008-01-03,5.347195
2008-01-04,5.272656
2008-01-07,5.398194999999999
2008-01-08,5.2138089999999995
2008-01-09,5.166732
2008-01-10,5.3393489999999995
2008-01-11,5.276579
2008-01-14,5.2922720000000005
2008-01-15,5.25304
2008-01-16,5.31581
2008-01-17,5.205963
2008-01-18,5.249117
2008-01-22,5.406042
2008-01-23,5.880738
2008-01-24,5.861122
2008-01-25,5.688505
2008-01-28,5.8768139999999995
2008-01-29,5.912122
2008-01-30,5.71989
2008-01-31,5.9827379999999994
2008-02-01,6.104355
2008-02-04,5.904276
2008-02-05,5.829737000000001
2008-02-06,5.837584
2008-02-07,5.9552760000000005
2008-02-08,5.967046
2008-02-11,5.908199
2008-02-12,5.9238919999999995
2008-02-13,5.970969
2008-02-14,5.83366
2008-02-15,5.853276
2008-02-19,5.786583
2008-02-20,5.931738
2008-02-21,5.78266
2008-02-22,5.814045
2008-02-25,5.853276
2008-02-26,5.9552760000000005
2008-02-27,5.963123
2008-02-28,5.845429
2008-02-29,5.688505
2008-03-03,5.621812
2008-03-04,5.621812
2008-03-05,5.617889
2008-03-06,5.421734
2008-03-07,5.55512
2008-03-10,5.54335
2008-03-11,5.865044999999999
2008-03-12,5.7591209999999995
2008-03-13,5.947430000000001
2008-03-14,5.814045
2008-03-17,5.912122
2008-03-18,5.935661
2008-03-19,5.888584
2008-03-20,6.002354
2008-03-24,6.096508999999999
2008-03-25,6.116124
2008-03-26,6.057277
2008-03-27,5.986661
2008-03-28,5.939584
2008-03-31,6.021969
2008-04-01,6.1788940000000006
2008-04-02,6.135739
2008-04-03,5.9827379999999994
2008-04-04,5.802275
2008-04-07,5.735582
2008-04-08,5.751275
2008-04-09,5.743429
2008-04-10,5.692429
2008-04-11,5.586504
2008-04-14,5.531581
2008-04-15,5.629658999999999
2008-04-16,5.766967
2008-04-17,5.841506
2008-04-18,5.888584
2008-04-21,5.7591209999999995
2008-04-22,5.633582
2008-04-23,5.566889
2008-04-24,5.766967
2008-04-25,5.790506
2008-04-28,5.723813
2008-04-29,5.715967
2008-04-30,5.755198
2008-05-01,5.8768139999999995
2008-05-02,5.723813
2008-05-05,5.755198
2008-05-06,5.766967
2008-05-07,5.590427
2008-05-08,5.55512
2008-05-09,5.610043
2008-05-12,5.774814
2008-05-13,5.774814
2008-05-14,5.735582
2008-05-15,5.66889
2008-05-16,5.661044
2008-05-19,5.629658999999999
2008-05-20,5.610043
2008-05-21,5.547274
