Date,RH
2015-12-03,88.459999
2015-12-04,92.379997
2015-12-07,93.16999799999999
2015-12-08,92.339996
2015-12-09,88.199997
2015-12-10,87.589996
2015-12-11,83.809998
2015-12-14,78.650002
2015-12-15,79.559998
2015-12-16,80.809998
2015-12-17,83.07
2015-12-18,80.16999799999999
2015-12-21,79.540001
2015-12-22,79.160004
2015-12-23,80.129997
2015-12-24,79.989998
2015-12-28,79.709999
2015-12-29,80.540001
2015-12-30,79.739998
2015-12-31,79.449997
2016-01-04,78.050003
2016-01-05,77.980003
2016-01-06,75.239998
2016-01-07,72.660004
2016-01-08,69.720001
2016-01-11,69.089996
2016-01-12,68.83000200000001
2016-01-13,66.239998
2016-01-14,62.990002000000004
2016-01-15,64.199997
2016-01-19,62.799999
2016-01-20,61.5
2016-01-21,61.549999
2016-01-22,63.740002000000004
2016-01-25,61.080002
2016-01-26,61.799999
2016-01-27,61.990002000000004
2016-01-28,60.220001
2016-01-29,61.619999
2016-02-01,59.490002000000004
2016-02-02,56.349998
2016-02-03,55.41
2016-02-04,56.080002
2016-02-05,51.709998999999996
2016-02-08,51.209998999999996
2016-02-09,50.810001
2016-02-10,49.43
2016-02-11,47.200001
2016-02-12,47.220001
2016-02-16,51.93
2016-02-17,54.299999
2016-02-18,51.830002
2016-02-19,51.529999
2016-02-22,51.290001000000004
2016-02-23,51.259997999999996
2016-02-24,51.919998
2016-02-25,38.490002000000004
2016-02-26,40.43
2016-02-29,37.990002000000004
2016-03-01,37.099998
2016-03-02,38.970001
2016-03-03,39.119999
2016-03-04,39.41
2016-03-07,38.970001
2016-03-08,38.299999
2016-03-09,38.040001000000004
2016-03-10,38.709998999999996
2016-03-11,40.029999
2016-03-14,40.25
2016-03-15,39.619999
2016-03-16,38.849998
2016-03-17,36.650002
2016-03-18,37.240002000000004
2016-03-21,38.529999
2016-03-22,37.919998
2016-03-23,36.799999
2016-03-24,37.130001
2016-03-28,38.59
2016-03-29,39.009997999999996
2016-03-30,40.560001
2016-03-31,41.900002
2016-04-01,43.77
2016-04-04,42.049999
2016-04-05,43.360001000000004
2016-04-06,43.57
2016-04-07,41.900002
2016-04-08,41.509997999999996
2016-04-11,41.689999
2016-04-12,43.639998999999996
2016-04-13,45.779999
2016-04-14,44.040001000000004
2016-04-15,43.990002000000004
2016-04-18,44.299999
2016-04-19,44.16
2016-04-20,44.310001
2016-04-21,44.52
2016-04-22,44.889998999999996
2016-04-25,43.299999
2016-04-26,45.580002
2016-04-27,46.130001
2016-04-28,44.060001
2016-04-29,43.27
2016-05-02,42.77
2016-05-03,41.419998
2016-05-04,39.419998
2016-05-05,38.639998999999996
2016-05-06,38.040001000000004
2016-05-09,37.400002
2016-05-10,37.25
2016-05-11,34.599998
2016-05-12,35.040001000000004
2016-05-13,33.09
2016-05-16,33.060001
2016-05-17,32.75
2016-05-18,31.83
2016-05-19,31.01
2016-05-20,31.92
2016-05-23,31.6
2016-05-24,32.150002
2016-05-25,33.02
2016-05-26,32.779999
2016-05-27,33.540001000000004
2016-05-31,33.259997999999996
2016-06-01,34.060001
2016-06-02,34.560001
2016-06-03,34.029999
2016-06-06,35.080002
2016-06-07,35.380001
2016-06-08,36.07
2016-06-09,28.41
2016-06-10,26.559998999999998
2016-06-13,25.68
2016-06-14,25.879998999999998
2016-06-15,26.25
2016-06-16,25.969998999999998
2016-06-17,25.99
2016-06-20,26.120001000000002
2016-06-21,25.77
2016-06-22,27.620001000000002
2016-06-23,27.92
2016-06-24,27.559998999999998
2016-06-27,25.389999
2016-06-28,25.82
2016-06-29,28.049999
2016-06-30,28.68
2016-07-01,30.0
2016-07-05,29.549999
2016-07-06,29.76
2016-07-07,28.84
2016-07-08,29.620001000000002
2016-07-11,30.27
2016-07-12,30.709999
2016-07-13,28.77
2016-07-14,28.639999
2016-07-15,27.5
2016-07-18,29.5
2016-07-19,29.01
2016-07-20,30.51
2016-07-21,30.620001000000002
2016-07-22,30.42
2016-07-25,30.559998999999998
2016-07-26,29.719998999999998
2016-07-27,29.559998999999998
2016-07-28,29.84
2016-07-29,30.809998999999998
2016-08-01,30.73
2016-08-02,28.74
2016-08-03,28.93
2016-08-04,28.129998999999998
2016-08-05,29.52
2016-08-08,30.469998999999998
2016-08-09,30.35
2016-08-10,29.209999
2016-08-11,30.51
2016-08-12,31.4
2016-08-15,31.719998999999998
2016-08-16,31.49
2016-08-17,30.110001
2016-08-18,30.77
2016-08-19,34.220001
2016-08-22,34.029999
2016-08-23,35.549999
2016-08-24,34.080002
2016-08-25,34.650002
2016-08-26,32.59
2016-08-29,33.73
2016-08-30,33.959998999999996
2016-08-31,33.73
2016-09-01,33.419998
2016-09-02,33.880001
2016-09-06,33.560001
2016-09-07,34.880001
2016-09-08,35.290001000000004
2016-09-09,36.380001
2016-09-12,36.18
2016-09-13,35.759997999999996
2016-09-14,35.439999
2016-09-15,35.009997999999996
2016-09-16,35.029999
2016-09-19,34.259997999999996
2016-09-20,33.150002
2016-09-21,33.400002
2016-09-22,33.240002000000004
2016-09-23,32.880001
2016-09-26,31.469998999999998
2016-09-27,32.549999
2016-09-28,31.74
2016-09-29,33.060001
2016-09-30,34.580002
2016-10-03,33.669998
2016-10-04,33.970001
2016-10-05,34.68
2016-10-06,34.209998999999996
2016-10-07,33.669998
2016-10-10,33.52
2016-10-11,31.870001000000002
2016-10-12,31.719998999999998
2016-10-13,31.15
2016-10-14,30.049999
2016-10-17,29.780001000000002
2016-10-18,30.0
2016-10-19,30.219998999999998
2016-10-20,29.82
2016-10-21,29.48
2016-10-24,29.83
2016-10-25,29.09
2016-10-26,28.91
2016-10-27,28.18
2016-10-28,29.02
2016-10-31,28.969998999999998
2016-11-01,29.030001000000002
2016-11-02,29.459999
2016-11-03,27.950001
2016-11-04,28.49
2016-11-07,28.780001000000002
2016-11-08,28.6
2016-11-09,29.6
2016-11-10,31.49
2016-11-11,32.049999
2016-11-14,34.689999
2016-11-15,33.310001
2016-11-16,34.169998
2016-11-17,34.380001
2016-11-18,34.509997999999996
2016-11-21,35.009997999999996
2016-11-22,37.25
2016-11-23,36.57
2016-11-25,36.48
2016-11-28,35.669998
2016-11-29,36.790001000000004
2016-11-30,36.049999
2016-12-01,35.169998
2016-12-02,35.23
