Date,BMC
2016-04-25,841.0
2016-04-26,841.0
2016-04-27,841.0
2016-04-28,841.0
2016-04-29,841.0
2016-05-02,841.0
2016-05-03,841.0
2016-05-04,841.0
2016-05-05,841.0
2016-05-06,841.0
2016-05-09,841.0
2016-05-10,841.0
2016-05-11,841.0
2016-05-12,841.0
2016-05-13,841.0
2016-05-16,841.0
2016-05-17,841.0
2016-05-18,841.0
2016-05-19,841.0
2016-05-20,841.0
2016-05-23,841.0
2016-05-24,841.0
2016-05-25,841.0
2016-05-26,841.0
2016-05-27,841.0
2016-05-31,841.0
2016-06-01,841.0
2016-06-02,841.0
2016-06-03,841.0
2016-06-06,841.0
2016-06-07,841.0
2016-06-08,841.0
2016-06-09,841.0
2016-06-10,841.0
2016-06-13,841.0
2016-06-14,841.0
2016-06-15,841.0
2016-06-16,841.0
2016-06-17,841.0
2016-06-20,841.0
2016-06-21,841.0
2016-06-22,841.0
2016-06-23,841.0
2016-06-24,841.0
2016-06-27,841.0
2016-06-28,841.0
2016-06-29,841.0
2016-06-30,841.0
2016-07-01,841.0
2016-07-05,841.0
2016-07-06,841.0
2016-07-07,841.0
2016-07-08,841.0
2016-07-11,841.0
2016-07-12,841.0
2016-07-13,841.0
2016-07-14,841.0
2016-07-15,841.0
2016-07-18,841.0
2016-07-19,841.0
2016-07-20,841.0
2016-07-21,841.0
2016-07-22,841.0
2016-07-25,841.0
2016-07-26,841.0
2016-07-27,841.0
2016-07-28,841.0
2016-07-29,841.0
2016-08-01,841.0
2016-08-02,841.0
2016-08-03,841.0
2016-08-04,841.0
2016-08-05,841.0
2016-08-08,841.0
2016-08-09,841.0
2016-08-10,841.0
2016-08-11,841.0
2016-08-12,841.0
2016-08-15,841.0
2016-08-16,841.0
2016-08-17,841.0
2016-08-18,841.0
2016-08-19,841.0
2016-08-22,841.0
2016-08-23,841.0
2016-08-24,841.0
2016-08-25,841.0
2016-08-26,841.0
2016-08-29,841.0
2016-08-30,841.0
2016-08-31,841.0
2016-09-01,841.0
2016-09-02,841.0
2016-09-06,841.0
2016-09-07,841.0
2016-09-08,841.0
2016-09-09,841.0
2016-09-12,841.0
2016-09-13,841.0
2016-09-14,841.0
2016-09-15,841.0
2016-09-16,841.0
2016-09-19,841.0
2016-09-20,841.0
2016-09-21,841.0
2016-09-22,841.0
2016-09-23,841.0
2016-09-26,841.0
2016-09-27,841.0
2016-09-28,841.0
2016-09-29,841.0
2016-09-30,841.0
2016-10-03,841.0
2016-10-04,841.0
2016-10-05,841.0
2016-10-06,841.0
2016-10-07,841.0
2016-10-10,841.0
2016-10-11,841.0
2016-10-12,841.0
2016-10-13,841.0
2016-10-14,841.0
2016-10-17,841.0
2016-10-18,841.0
2016-10-19,841.0
2016-10-20,841.0
2016-10-21,841.0
2016-10-24,841.0
2016-10-25,841.0
2016-10-26,841.0
2016-10-27,841.0
2016-10-28,841.0
2016-10-31,788.0
2016-11-01,788.0
2016-11-02,780.0
2016-11-03,780.0
2016-11-04,780.0
2016-11-07,780.0
2016-11-08,780.0
2016-11-09,775.0
2016-11-10,775.0
2016-11-11,775.0
2016-11-14,775.0
2016-11-15,775.0
2016-11-16,775.0
2016-11-17,775.0
2016-11-18,775.0
2016-11-21,775.0
2016-11-22,785.0
2016-11-23,785.0
2016-11-25,785.0
2016-11-28,785.0
2016-11-29,785.0
2016-11-30,785.0
2016-12-01,785.0
2016-12-02,785.0
2016-12-05,785.0
2016-12-06,785.0
2016-12-07,785.0
2016-12-08,785.0
2016-12-09,785.0
2016-12-12,785.0
2016-12-13,785.0
2016-12-14,785.0
2016-12-15,785.0
2016-12-16,785.0
2016-12-19,785.0
2016-12-20,785.0
2016-12-21,785.0
2016-12-22,785.0
2016-12-23,785.0
2016-12-27,785.0
2016-12-28,785.0
2016-12-29,785.0
2016-12-30,785.0
2017-01-03,785.0
2017-01-04,785.0
2017-01-05,785.0
2017-01-06,785.0
2017-01-09,785.0
2017-01-10,785.0
2017-01-11,785.0
2017-01-12,785.0
2017-01-13,785.0
2017-01-17,785.0
2017-01-18,785.0
2017-01-19,785.0
2017-01-20,785.0
2017-01-23,785.0
2017-01-24,785.0
2017-01-25,785.0
2017-01-26,785.0
2017-01-27,785.0
2017-01-30,785.0
2017-01-31,785.0
2017-02-01,785.0
2017-02-02,785.0
2017-02-03,785.0
2017-02-06,785.0
2017-02-07,785.0
2017-02-08,785.0
2017-02-09,785.0
2017-02-10,785.0
2017-02-13,785.0
2017-02-14,785.0
2017-02-15,785.0
2017-02-16,785.0
2017-02-17,785.0
2017-02-21,785.0
2017-02-22,785.0
2017-02-23,785.0
2017-02-24,785.0
2017-02-27,785.0
2017-02-28,785.0
2017-03-01,785.0
2017-03-02,785.0
2017-03-03,785.0
2017-03-06,785.0
2017-03-07,785.0
2017-03-08,785.0
2017-03-09,785.0
2017-03-10,785.0
2017-03-13,785.0
2017-03-14,785.0
2017-03-15,785.0
2017-03-16,785.0
2017-03-17,785.0
2017-03-20,785.0
2017-03-21,785.0
2017-03-22,785.0
2017-03-23,785.0
2017-03-24,785.0
2017-03-27,785.0
2017-03-28,785.0
2017-03-29,785.0
2017-03-30,785.0
2017-03-31,785.0
2017-04-03,785.0
2017-04-04,785.0
2017-04-05,785.0
2017-04-06,785.0
2017-04-07,785.0
2017-04-10,785.0
2017-04-11,785.0
2017-04-12,785.0
2017-04-13,785.0
2017-04-17,785.0
2017-04-18,785.0
2017-04-19,785.0
2017-04-20,742.0
2017-04-21,742.0
2017-04-24,742.0
2017-04-25,742.0
2017-04-26,742.0
2017-04-27,742.0
2017-04-28,742.0
2017-05-01,742.0
2017-05-02,742.0
2017-05-03,742.0
2017-05-04,742.0
2017-05-05,742.0
2017-05-08,742.0
2017-05-09,742.0
2017-05-10,742.0
2017-05-11,742.0
2017-05-12,742.0
2017-05-15,742.0
2017-05-16,742.0
