Date,ADBE
1990-06-28,2.328125
1990-06-29,2.296875
1990-07-02,2.375
1990-07-03,2.375
1990-07-05,2.34375
1990-07-06,2.390625
1990-07-09,2.421875
1990-07-10,2.421875
1990-07-11,2.390625
1990-07-12,2.34375
1990-07-13,2.375
1990-07-16,2.40625
1990-07-17,2.34375
1990-07-18,2.359375
1990-07-19,2.296875
1990-07-20,2.25
1990-07-23,2.1875
1990-07-24,2.3125
1990-07-25,2.296875
1990-07-26,2.28125
1990-07-27,2.257813
1990-07-30,2.25
1990-07-31,2.195313
1990-08-01,2.21875
1990-08-02,2.109375
1990-08-03,2.015625
1990-08-06,1.875
1990-08-07,1.828125
1990-08-08,1.875
1990-08-09,1.875
1990-08-10,1.828125
1990-08-13,1.828125
1990-08-14,1.828125
1990-08-15,1.84375
1990-08-16,1.8125
1990-08-17,1.703125
1990-08-20,1.625
1990-08-21,1.59375
1990-08-22,1.59375
1990-08-23,1.53125
1990-08-24,1.625
1990-08-27,1.75
1990-08-28,1.703125
1990-08-29,1.59375
1990-08-30,1.5078129999999998
1990-08-31,1.5625
1990-09-04,1.757813
1990-09-05,1.78125
1990-09-06,1.796875
1990-09-07,1.703125
1990-09-10,1.71875
1990-09-11,1.710938
1990-09-12,1.765625
1990-09-13,1.765625
1990-09-14,1.679688
1990-09-17,1.640625
1990-09-18,1.5625
1990-09-19,1.5
1990-09-20,1.40625
1990-09-21,1.375
1990-09-24,1.359375
1990-09-25,1.296875
1990-09-26,1.265625
1990-09-27,1.15625
1990-09-28,1.1875
1990-10-01,1.390625
1990-10-02,1.28125
1990-10-03,1.3125
1990-10-04,1.296875
1990-10-05,1.2265629999999998
1990-10-08,1.21875
1990-10-09,1.171875
1990-10-10,1.1484379999999998
1990-10-11,1.109375
1990-10-12,1.171875
1990-10-15,1.203125
1990-10-16,1.203125
1990-10-17,1.328125
1990-10-18,1.53125
1990-10-19,1.5
1990-10-22,1.6015629999999998
1990-10-23,1.6015629999999998
1990-10-24,1.5546879999999998
1990-10-25,1.515625
1990-10-26,1.453125
1990-10-29,1.40625
1990-10-30,1.4453129999999998
1990-10-31,1.5
1990-11-01,1.5078129999999998
1990-11-02,1.5625
1990-11-05,1.6015629999999998
1990-11-06,1.546875
1990-11-07,1.515625
1990-11-08,1.53125
1990-11-09,1.625
1990-11-12,1.75
1990-11-13,1.765625
1990-11-14,1.828125
1990-11-15,1.851563
1990-11-16,1.625
1990-11-19,1.71875
1990-11-20,1.6328129999999998
1990-11-21,1.609375
1990-11-23,1.59375
1990-11-26,1.59375
1990-11-27,1.6875
1990-11-28,1.648438
1990-11-29,1.609375
1990-11-30,1.578125
1990-12-03,1.625
1990-12-04,1.695313
1990-12-05,1.75
1990-12-06,1.6875
1990-12-07,1.71875
1990-12-10,1.765625
1990-12-11,1.765625
1990-12-12,1.765625
