Date,INTU
1997-01-16,5.7916669999999995
1997-01-17,5.8333330000000005
1997-01-20,5.75
1997-01-21,5.75
1997-01-22,5.6666669999999995
1997-01-23,5.25
1997-01-24,5.3125
1997-01-27,5.0833330000000005
1997-01-28,4.6666669999999995
1997-01-29,4.8541669999999995
1997-01-30,4.75
1997-01-31,4.875
1997-02-03,4.7291669999999995
1997-02-04,4.6875
1997-02-05,4.3541669999999995
1997-02-06,4.4583330000000005
1997-02-07,4.4791669999999995
1997-02-10,4.6041669999999995
1997-02-11,4.3541669999999995
1997-02-12,4.625
1997-02-13,4.7708330000000005
1997-02-14,4.6666669999999995
1997-02-18,4.4583330000000005
1997-02-19,4.3958330000000005
1997-02-20,4.3333330000000005
1997-02-21,4.125
1997-02-24,4.2083330000000005
1997-02-25,4.2708330000000005
1997-02-26,4.25
1997-02-27,4.2291669999999995
1997-02-28,3.770833
1997-03-03,3.697917
1997-03-04,3.666667
1997-03-05,3.75
1997-03-06,3.666667
1997-03-07,3.645833
1997-03-10,3.770833
1997-03-11,3.6875
1997-03-12,3.625
1997-03-13,3.75
1997-03-14,3.75
1997-03-17,3.833333
1997-03-18,3.854167
1997-03-19,3.916667
1997-03-20,4.1354169999999995
1997-03-21,4.3333330000000005
1997-03-24,4.2083330000000005
1997-03-25,4.1041669999999995
1997-03-26,4.25
1997-03-27,3.958333
1997-03-31,3.875
1997-04-01,3.697917
1997-04-02,3.854167
1997-04-03,3.895833
1997-04-04,3.958333
1997-04-07,4.0
1997-04-08,4.125
1997-04-09,3.833333
1997-04-10,3.791667
1997-04-11,3.697917
1997-04-14,3.791667
1997-04-15,3.729167
1997-04-16,3.697917
1997-04-17,3.791667
1997-04-18,3.708333
1997-04-21,3.625
1997-04-22,3.708333
1997-04-23,3.625
1997-04-24,3.75
1997-04-25,3.583333
1997-04-28,3.645833
1997-04-29,3.75
1997-04-30,3.6875
1997-05-01,3.6875
1997-05-02,3.729167
1997-05-05,4.0
1997-05-06,3.895833
1997-05-07,3.875
1997-05-08,3.854167
1997-05-09,3.958333
1997-05-12,4.1666669999999995
1997-05-13,4.0
1997-05-14,3.989583
1997-05-15,4.5208330000000005
1997-05-16,4.625
1997-05-19,4.3333330000000005
1997-05-20,4.7083330000000005
1997-05-21,4.75
1997-05-22,4.5833330000000005
1997-05-23,4.5208330000000005
1997-05-27,4.7291669999999995
1997-05-28,4.7291669999999995
1997-05-29,4.5208330000000005
1997-05-30,4.5208330000000005
1997-06-02,4.5625
1997-06-03,4.3541669999999995
1997-06-04,4.2916669999999995
1997-06-05,4.4583330000000005
