Date,MAR
1996-04-15,10.29959
1996-04-16,10.29959
1996-04-17,10.16888
1996-04-18,10.14273
1996-04-19,9.88136
1996-04-22,10.14273
1996-04-23,10.03819
1996-04-24,10.116589999999999
1996-04-25,10.273439999999999
1996-04-26,10.22119
1996-04-29,10.195030000000001
1996-04-30,10.195030000000001
1996-05-01,10.16888
1996-05-02,9.8029
1996-05-03,9.8029
1996-05-06,9.6722
1996-05-07,9.5415
1996-05-08,9.6722
1996-05-09,9.5938
1996-05-10,9.8029
1996-05-13,9.95973
1996-05-14,10.14273
1996-05-15,9.88136
1996-05-16,9.77675
1996-05-17,9.90749
1996-05-20,9.98588
1996-05-21,9.98588
1996-05-22,10.195030000000001
1996-05-23,9.90749
1996-05-24,10.03819
1996-05-28,9.8552
1996-05-29,9.8029
1996-05-30,9.98588
1996-05-31,9.9336
1996-06-03,9.750639999999999
1996-06-04,10.06435
1996-06-05,10.16888
1996-06-06,10.09044
1996-06-07,10.22119
1996-06-10,10.06435
1996-06-11,10.06435
1996-06-12,10.03819
1996-06-13,10.03819
1996-06-14,10.16888
1996-06-17,10.24729
1996-06-18,10.29959
1996-06-19,10.29959
1996-06-20,10.35188
1996-06-21,10.378039999999999
1996-06-24,10.456430000000001
1996-06-25,10.482560000000001
1996-06-26,10.499360000000001
1996-06-27,10.787360000000001
1996-06-28,11.25863
1996-07-01,11.101519999999999
1996-07-02,11.101519999999999
1996-07-03,10.94443
1996-07-05,10.68264
1996-07-08,10.5517
1996-07-09,10.499360000000001
1996-07-10,10.57789
1996-07-11,10.44697
1996-07-12,10.5517
1996-07-15,10.36843
1996-07-16,10.47316
1996-07-17,10.5517
1996-07-18,10.499360000000001
1996-07-19,10.787360000000001
1996-07-22,10.57789
1996-07-23,10.420760000000001
1996-07-24,10.31602
1996-07-25,10.5255
1996-07-26,10.70877
1996-07-29,10.68264
1996-07-30,10.65644
1996-07-31,10.76118
1996-08-01,11.311
1996-08-02,11.62519
1996-08-05,11.20626
1996-08-06,11.25863
1996-08-07,11.44192
1996-08-08,11.49425
1996-08-09,11.80845
1996-08-12,11.80845
1996-08-13,11.80845
1996-08-14,11.70372
1996-08-15,11.75613
1996-08-16,11.80845
1996-08-19,11.80845
1996-08-20,11.65138
1996-08-21,11.468119999999999
1996-08-22,11.62519
1996-08-23,11.52046
1996-08-26,11.44192
1996-08-27,11.67758
1996-08-28,11.65138
1996-08-29,11.65138
1996-08-30,11.49425
1996-09-03,11.38958
1996-09-04,11.1539
1996-09-05,11.25863
1996-09-06,11.25863
1996-09-09,11.468119999999999
1996-09-10,11.284839999999999
1996-09-11,11.38958
1996-09-12,11.52046
1996-09-13,11.70372
1996-09-16,11.49425
1996-09-17,11.70372
1996-09-18,11.80845
1996-09-19,11.65138
1996-09-20,11.67758
1996-09-23,11.66812
1996-09-24,11.66812
1996-09-25,11.7468
1996-09-26,11.48456
1996-09-27,11.563239999999999
1996-09-30,11.563239999999999
1996-10-01,11.3797
1996-10-02,11.641919999999999
1996-10-03,11.82543
1996-10-04,12.008989999999999
1996-10-07,11.95653
1996-10-08,11.877880000000001
1996-10-09,11.773010000000001
1996-10-10,11.95653
1996-10-11,12.06142
1996-10-14,12.21873
1996-10-15,12.3761
1996-10-16,12.5596
1996-10-17,12.53341
1996-10-18,12.27122
1996-10-21,12.45472
1996-10-22,12.34985
1996-10-23,12.008989999999999
1996-10-24,12.27122
1996-10-25,12.11385
1996-10-28,12.16629
1996-10-29,12.11385
1996-10-30,11.95653
1996-10-31,11.93031
1996-11-01,11.72057
1996-11-04,11.6157
1996-11-05,11.537
1996-11-06,11.43213
1996-11-07,11.58944
1996-11-08,11.69435
1996-11-11,11.6157
1996-11-12,11.6157
1996-11-13,11.48456
1996-11-14,11.537
1996-11-15,11.563239999999999
1996-11-18,11.58944
1996-11-19,11.66812
1996-11-20,11.69435
1996-11-21,11.563239999999999
1996-11-22,11.69435
1996-11-25,11.641919999999999
1996-11-26,11.6157
1996-11-27,11.563239999999999
1996-11-29,11.69435
1996-12-02,11.537
1996-12-03,11.537
1996-12-04,11.563239999999999
1996-12-05,11.537
1996-12-06,11.43213
1996-12-09,11.43213
1996-12-10,11.43213
1996-12-11,11.32726
1996-12-12,11.169939999999999
1996-12-13,11.222380000000001
1996-12-16,11.14369
1996-12-17,11.06507
1996-12-18,10.88151
1996-12-19,11.09127
1996-12-20,11.27482
1996-12-23,11.3797
1996-12-24,11.42276
1996-12-26,11.449
1996-12-27,11.6066
1996-12-30,11.6066
1996-12-31,11.6066
1997-01-02,11.50153
1997-01-03,11.58031
1997-01-06,11.6066
1997-01-07,11.6066
1997-01-08,11.55406
1997-01-09,11.34399
1997-01-10,11.16015
1997-01-13,11.13391
1997-01-14,11.107669999999999
1997-01-15,11.081389999999999
1997-01-16,10.89759
1997-01-17,10.8713
1997-01-20,11.02886
1997-01-21,11.18644
1997-01-22,11.3965
1997-01-23,11.29146
1997-01-24,11.26521
1997-01-27,11.107669999999999
1997-01-28,11.23893
1997-01-29,11.3965
1997-01-30,11.26521
1997-01-31,11.16015
1997-02-03,11.26521
1997-02-04,11.42276
1997-02-05,11.23893
1997-02-06,11.449
1997-02-07,11.47529
1997-02-10,11.42276
1997-02-11,11.31775
1997-02-12,11.42276
1997-02-13,11.47529
1997-02-14,11.6066
1997-02-18,11.81667
1997-02-19,11.92168
1997-02-20,11.7379
1997-02-21,11.52781
1997-02-24,11.47529
1997-02-25,11.34399
1997-02-26,11.16015
1997-02-27,11.107669999999999
1997-02-28,11.13391
1997-03-03,11.0026
1997-03-04,10.66123
1997-03-05,10.84507
1997-03-06,10.81878
1997-03-07,10.84507
1997-03-10,10.92384
1997-03-11,10.89759
1997-03-12,10.8713
1997-03-13,10.60869
1997-03-14,10.63499
1997-03-17,10.68752
1997-03-18,10.68752
1997-03-19,10.66123
1997-03-20,10.68752
1997-03-21,10.60869
1997-03-24,10.71376
1997-03-25,10.54647
1997-03-26,10.651689999999999
1997-03-27,10.57282
1997-03-31,10.46761
1997-04-01,10.62539
1997-04-02,10.57282
1997-04-03,10.67801
1997-04-04,10.5991
1997-04-07,10.62539
1997-04-08,10.9147
1997-04-09,10.8095
1997-04-10,10.78321
1997-04-11,10.651689999999999
1997-04-14,10.73058
1997-04-15,10.88842
1997-04-16,11.04619
1997-04-17,11.0199
1997-04-18,11.25659
1997-04-21,11.28293
1997-04-22,11.3355
1997-04-23,11.28293
1997-04-24,11.12509
1997-04-25,11.12509
1997-04-28,11.07249
1997-04-29,11.3355
1997-04-30,11.624830000000001
1997-05-01,11.57221
1997-05-02,11.57221
1997-05-05,11.887789999999999
1997-05-06,11.99301
1997-05-07,11.80893
1997-05-08,11.91414
1997-05-09,11.756310000000001
1997-05-12,11.96671
1997-05-13,12.04562
1997-05-14,12.09825
1997-05-15,12.0719
1997-05-16,12.17713
1997-05-19,12.22973
1997-05-20,12.38751
1997-05-21,12.413860000000001
1997-05-22,12.25602
1997-05-23,12.36122
1997-05-27,12.33492
1997-05-28,12.20345
1997-05-29,12.12454
1997-05-30,12.150830000000001
1997-06-02,12.0719
1997-06-03,12.22973
1997-06-04,12.04562
1997-06-05,12.150830000000001
1997-06-06,12.25602
1997-06-09,12.150830000000001
1997-06-10,12.25602
1997-06-11,12.51905
1997-06-12,12.78203
1997-06-13,13.09762
1997-06-16,13.15024
1997-06-17,13.04505
1997-06-18,13.01877
1997-06-19,13.360660000000001
1997-06-20,13.41322
1997-06-23,12.96615
1997-06-24,12.95299
1997-06-25,12.68223
1997-06-26,12.8271
1997-06-27,13.22216
1997-06-30,12.93244
1997-07-01,13.288020000000001
1997-07-02,13.6041
1997-07-03,13.74896
1997-07-07,13.78845
1997-07-08,13.906970000000001
1997-07-09,13.76211
1997-07-10,13.906970000000001
1997-07-11,13.66991
1997-07-14,13.80163
1997-07-15,14.22304
1997-07-16,14.157229999999998
1997-07-17,13.80163
1997-07-18,13.51189
1997-07-21,13.827979999999998
1997-07-22,14.420589999999999
1997-07-23,14.5391
1997-07-24,14.71031
1997-07-25,14.86837
1997-07-28,14.82884
1997-07-29,14.6445
1997-07-30,14.51278
1997-07-31,14.48645
1997-08-01,14.40745
1997-08-04,14.44692
1997-08-05,14.6445
1997-08-06,14.749820000000001
1997-08-07,14.73664
1997-08-08,14.2099
1997-08-11,14.11769
1997-08-12,14.157229999999998
1997-08-13,14.104510000000001
1997-08-14,14.13085
1997-08-15,13.85431
1997-08-18,13.827979999999998
1997-08-19,14.144029999999999
1997-08-20,14.22304
1997-08-21,14.09138
1997-08-22,14.078170000000002
1997-08-25,14.170370000000002
1997-08-26,14.22304
1997-08-27,14.22304
1997-08-28,14.11769
1997-08-29,14.02551
1997-09-02,14.631310000000001
1997-09-03,14.249360000000001
1997-09-04,14.275720000000002
1997-09-05,14.2099
1997-09-08,14.697170000000002
1997-09-09,14.697170000000002
1997-09-10,14.315220000000002
1997-09-11,14.40745
1997-09-12,14.2099
1997-09-15,14.13085
1997-09-16,14.328439999999999
1997-09-17,14.5523
1997-09-18,14.776179999999998
1997-09-19,14.68396
1997-09-22,14.776179999999998
1997-09-23,14.58419
1997-09-24,14.557789999999999
1997-09-25,14.425939999999999
