Date,WDAY
2016-04-04,78.91999799999999
2016-04-05,78.129997
2016-04-06,79.010002
2016-04-07,77.980003
2016-04-08,78.290001
2016-04-11,77.029999
2016-04-12,76.410004
2016-04-13,78.870003
2016-04-14,77.66999799999999
2016-04-15,76.800003
2016-04-18,77.660004
2016-04-19,75.379997
2016-04-20,76.260002
2016-04-21,77.440002
2016-04-22,76.949997
2016-04-25,76.230003
2016-04-26,76.260002
2016-04-27,75.93
2016-04-28,75.16999799999999
2016-04-29,74.980003
2016-05-02,75.449997
2016-05-03,72.400002
2016-05-04,71.269997
2016-05-05,71.519997
2016-05-06,70.970001
2016-05-09,70.230003
2016-05-10,72.610001
2016-05-11,71.610001
2016-05-12,71.050003
2016-05-13,70.650002
2016-05-16,72.410004
2016-05-17,71.83000200000001
2016-05-18,72.720001
2016-05-19,73.58000200000001
2016-05-20,75.260002
2016-05-23,75.190002
2016-05-24,76.940002
2016-05-25,77.82
2016-05-26,78.0
2016-05-27,76.029999
2016-05-31,75.839996
2016-06-01,77.379997
2016-06-02,78.18
2016-06-03,80.139999
2016-06-06,81.839996
2016-06-07,81.32
2016-06-08,80.459999
2016-06-09,79.889999
2016-06-10,77.629997
2016-06-13,78.889999
2016-06-14,80.849998
2016-06-15,80.230003
2016-06-16,79.300003
2016-06-17,78.599998
2016-06-20,79.33000200000001
2016-06-21,79.410004
2016-06-22,78.209999
2016-06-23,80.33000200000001
2016-06-24,74.029999
2016-06-27,69.459999
2016-06-28,70.720001
2016-06-29,73.889999
2016-06-30,74.66999799999999
2016-07-01,74.339996
2016-07-05,72.650002
2016-07-06,72.599998
2016-07-07,73.790001
2016-07-08,75.709999
2016-07-11,77.57
2016-07-12,80.480003
2016-07-13,79.730003
2016-07-14,79.940002
2016-07-15,78.849998
2016-07-18,78.410004
2016-07-19,78.959999
2016-07-20,79.82
2016-07-21,78.18
2016-07-22,79.970001
2016-07-25,80.029999
2016-07-26,80.099998
2016-07-27,81.239998
2016-07-28,83.089996
2016-07-29,83.339996
2016-08-01,82.739998
2016-08-02,80.389999
2016-08-03,82.029999
2016-08-04,82.339996
2016-08-05,83.089996
2016-08-08,82.620003
