,Mkt-RF,SMB,HML,RMW,CMA,RF,R_ME,R_IA,R_ROE,R_EG,rSP500,HiTec,NASDQ
197205,1.25,-3.15,-2.69,2.33,-1.85,0.3,-2.5167,-1.4978,2.0885,1.2908,0.017275017,3.71,
197206,-2.43,-0.35,-2.51,1.75,-0.36,0.29,0.4544,-0.0442,3.5904,1.5981,-0.021820506,-2.55,
197207,-0.8,-2.74,0.78,1.08,-0.59,0.31,-1.9601,-0.3813,2.1009,3.2245,0.002333396,0.95,
197208,3.26,-3.53,4.69,-2.02,2.95,0.29,-3.503,3.5751,-1.5003,0.5274,0.034453832,2.86,
197209,-1.14,-2.25,0.47,1.67,-1.98,0.34,-1.0618,-1.1171,2.1073,0.4777,-0.004860861,-1.16,
197210,0.52,-2.53,1.37,-0.12,-0.05,0.4,-3.0778,-0.4564,-0.4273,0.6831,0.009317042,-3.3,
197211,4.6,-0.53,4.76,-1.98,3.35,0.37,-0.9411,2.6856,-4.0002,0.7227,0.045617458,2.5,
197212,0.62,-1.82,-2.27,2.6,-2.2,0.37,-1.7259,-1.4356,2.9658,1.826,0.011828277,1.99,
197301,-3.29,-2.79,2.68,0.4,0.92,0.44,-2.379,0.3819,-0.4243,3.3714,-0.017111427,1.92,
197302,-4.85,-4.01,1.7,-0.34,-0.01,0.41,-4.4754,0.0895,-1.0202,1.4968,-0.037490296,-3.03,
197303,-1.3,-2.31,2.78,-1.07,0.73,0.46,-1.6619,0.5769,-1.9084,3.2346,-0.001432692,-1.23,
197304,-5.68,-3,5.69,-1.63,2.71,0.52,-2.918,3.1285,-0.4763,4.0611,-0.040799822,-6.7,
197305,-2.94,-5.98,0.21,2.02,-1.79,0.51,-5.7174,-0.4296,1.5506,1.5935,-0.018883836,-2.59,
197306,-1.56,-2.54,1.44,-0.27,0.22,0.51,-1.2292,0.4198,-0.2085,2.8674,-0.006574512,-0.09,
197307,5.05,7.25,-5.31,-0.1,-3.45,0.64,7.9566,-5.7598,1.1344,-4.0992,0.037981958,4.98,
197308,-3.82,-1.75,1.14,-1.36,1.2,0.7,-1.941,1.6852,1.4658,1.5273,-0.03668454,-3.68,
197309,4.75,3.54,2.18,-2.3,1.82,0.68,5.7177,2.1917,-1.298,-1.5706,0.040095923,-2.8,
197310,-0.83,-0.26,1.74,-1.94,2.59,0.65,-1.1937,2.6122,0.4963,4.157,-0.001291146,3.85,
197311,-12.75,-7.25,4.04,-2.71,1.49,0.56,-7.4069,1.9803,-1.1485,2.1201,-0.113860946,-11.46,
197312,0.61,-4.6,4.09,-2.8,2.3,0.64,-4.5565,2.5209,3.6897,4.5754,0.016569446,-4.32,
197401,-0.17,10.41,5.99,-3.01,4.47,0.63,11.5318,2.0989,-4.7769,-0.5303,-0.010046161,1.25,
197402,-0.47,0.16,2.54,-1.93,2.67,0.58,-0.494,2.1141,-1.0424,1.4956,-0.003624304,-0.6,
197403,-2.81,2.64,-0.11,2.82,0.36,0.56,1.8302,-0.0561,1.822,1.1659,-0.023279962,-2.76,
197404,-5.29,-0.63,1.06,2.86,1.85,0.75,-0.4711,2.3695,2.2048,2.5009,-0.039050914,-3.68,
197405,-4.68,-3.17,-2.04,5.08,0,0.75,-4.0803,-0.3267,2.2504,0.403,-0.033551091,-4.26,
197406,-2.83,-0.02,0.79,0.62,3.06,0.6,0.2569,1.5964,1.5679,2.1942,-0.014665433,-2.95,
197407,-8.05,1.99,5.14,-3.26,4.58,0.7,3.5312,4.4291,2.5754,5.7334,-0.077790721,-8.45,
197408,-9.35,0.3,2.5,-0.26,2.55,0.6,2.2084,3.1493,2.971,4.9026,-0.090278605,-4.9,
197409,-11.77,1.46,5.49,-4.28,5.91,0.81,2.0542,4.8696,-2.3265,3.4019,-0.11933473,-16.88,
197410,16.1,-6.85,-9.99,-0.03,-2.94,0.51,-6.1756,-1.866,8.4657,0.7406,0.163046913,14.83,
197411,-4.51,-1.44,-0.16,-3.39,2.95,0.54,-0.8272,2.5433,1.7198,1.375,-0.053179985,-4.92,
197412,-3.45,-4.36,0,-0.65,3.23,0.7,-3.8523,2.1589,0.4904,1.9947,-0.020151536,-5.3,
197501,13.66,12.79,8.44,-0.89,-0.86,0.58,12.4554,-0.5409,-11.6678,-5.4121,0.122812212,15.29,
197502,5.56,-0.65,-4.56,1.15,-2.14,0.43,-1.3678,-1.6715,3.5775,0.6185,0.059885591,13.21,
197503,2.66,3.98,2.49,1.23,-1.25,0.41,3.3142,-0.6368,-1.7323,-1.7972,0.021693897,1,
197504,4.23,-0.59,-1.11,1.37,-1.35,0.44,-1.3525,-0.0429,3.3383,2.2828,0.047264899,5.54,
197505,5.19,2.89,-4.02,-1.05,-0.61,0.44,3.2779,-0.1207,-0.2728,-0.01,0.044100789,5.86,
197506,4.83,1.32,1.32,-2.62,1.06,0.41,1.6136,0.3474,-1.5739,-0.6553,0.044322544,2.27,
197507,-6.59,3.42,1.7,0.43,1.19,0.48,2.9714,1.4388,-1.3878,1.7376,-0.067654185,-9.4,
197508,-2.85,-2.79,-0.9,1.03,-0.89,0.48,-3.215,-0.1715,0.713,1.373,-0.021070456,-2.97,
197509,-4.26,0.02,0.34,0.53,0.5,0.53,0.6399,1.3497,1.6701,3.2938,-0.03464542,-0.84,
197510,5.31,-4.23,0.3,-0.46,2.27,0.56,-4.6539,2.9666,2.4021,2.5945,0.061642993,8.38,
197511,2.64,-1.07,1.99,-0.62,1.71,0.41,-0.4698,1.579,0.6747,1.5925,0.024707962,5.02,
197512,-1.6,-0.03,1.76,-0.12,0.6,0.48,0.2833,-0.0444,-2.2549,0.4867,-0.011508067,-1.25,
197601,12.16,6.35,8.58,-1.9,2.36,0.47,6.7636,1.4911,-2.6485,0.9416,0.118305785,18.31,
197602,0.32,7.97,5.78,-2.58,3.84,0.34,6.9406,2.1535,-3.7705,0.8377,-0.011401963,1.2,
197603,2.32,-1.34,-0.04,-0.38,1.09,0.4,-0.4251,1.6998,2.4445,1.6319,0.030688978,2.97,
197604,-1.49,0.14,-0.06,0.39,-1.1,0.42,-0.5911,-0.7454,-0.282,0.0682,-0.010995408,-3.4,
197605,-1.34,-1.12,-1.32,2.47,-1.42,0.37,-1.2445,-0.9753,0.4638,0.4006,-0.014364414,0.53,
197606,4.05,-1.13,0.68,-0.59,0.93,0.43,0.04,1.342,-0.0402,0.9974,0.040926323,8.21,
197607,-1.07,0.62,1.74,-1.09,0.29,0.47,1.1583,0.9213,0.7522,1.602,-0.008055207,-2.21,
197608,-0.56,-2.03,0.79,-0.46,-0.59,0.42,-2.0533,-0.5975,0.0019,0.6296,-0.005123724,-0.84,
197609,2.07,0.12,-0.29,0.99,-1.14,0.44,-0.2218,-1.4154,1.1099,0.9664,0.022641084,2.89,
197610,-2.42,0.16,-0.13,-0.22,-0.31,0.41,0.7091,-1.1258,0.298,-0.4814,-0.022234854,-4.5,
197611,0.36,2.65,1.51,-1.39,0.08,0.4,3.4747,-0.2677,-0.5127,0.0745,-0.007774577,1.66,
197612,5.65,3.61,2.22,-0.62,2.23,0.4,3.3003,1.8146,-1.0926,1.0778,0.052497562,3.84,
197701,-4.05,5.9,4.26,-0.53,1.93,0.36,6.0477,0.9953,-2.1494,1.6548,-0.05053043,-3.88,
197702,-1.94,1.11,0.5,-0.13,-0.19,0.35,1.0733,0.121,1.251,0.3944,-0.021660286,-0.65,
197703,-1.37,1.29,1.02,-0.32,-0.09,0.38,1.4505,-0.1567,0.2845,-0.3464,-0.014025265,-0.04,
197704,0.15,0.59,3.45,-2.03,1.16,0.38,1.2282,1.2277,0.3708,0.7455,0.000203251,-3.45,
