Date,FANG
2016-05-25,89.739998
2016-05-26,91.910004
2016-05-27,92.860001
2016-05-31,90.949997
2016-06-01,91.529999
2016-06-02,92.41999799999999
2016-06-03,90.110001
2016-06-06,90.870003
2016-06-07,94.589996
2016-06-08,93.129997
2016-06-09,92.18
2016-06-10,89.339996
2016-06-13,88.760002
2016-06-14,89.860001
2016-06-15,89.129997
2016-06-16,87.25
2016-06-17,87.510002
2016-06-20,89.010002
2016-06-21,90.91999799999999
2016-06-22,90.790001
2016-06-23,91.410004
2016-06-24,87.279999
2016-06-27,83.769997
2016-06-28,88.610001
2016-06-29,90.790001
2016-06-30,91.209999
2016-07-01,90.540001
2016-07-05,89.529999
2016-07-06,90.5
2016-07-07,88.589996
2016-07-08,89.160004
2016-07-11,89.699997
2016-07-12,91.959999
2016-07-13,91.040001
2016-07-14,92.230003
2016-07-15,90.93
2016-07-18,90.57
2016-07-19,89.41999799999999
2016-07-20,89.480003
2016-07-21,88.18
2016-07-22,88.230003
2016-07-25,85.349998
2016-07-26,85.889999
2016-07-27,85.360001
2016-07-28,85.93
2016-07-29,87.790001
2016-08-01,85.949997
2016-08-02,85.849998
2016-08-03,87.339996
2016-08-04,88.910004
2016-08-05,92.949997
2016-08-08,93.699997
2016-08-09,94.279999
2016-08-10,93.290001
2016-08-11,94.160004
2016-08-12,94.58000200000001
2016-08-15,96.449997
2016-08-16,95.010002
2016-08-17,95.300003
2016-08-18,98.550003
2016-08-19,98.589996
2016-08-22,96.489998
2016-08-23,96.589996
2016-08-24,96.190002
2016-08-25,96.260002
2016-08-26,96.33000200000001
2016-08-29,97.360001
2016-08-30,96.5
2016-08-31,95.25
2016-09-01,95.269997
2016-09-02,96.379997
2016-09-06,97.150002
2016-09-07,98.559998
2016-09-08,98.339996
2016-09-09,96.050003
2016-09-12,95.629997
2016-09-13,90.900002
2016-09-14,88.559998
2016-09-15,89.879997
2016-09-16,89.690002
2016-09-19,89.290001
2016-09-20,88.349998
2016-09-21,89.389999
2016-09-22,91.0
2016-09-23,88.91999799999999
2016-09-26,90.309998
2016-09-27,88.529999
2016-09-28,93.379997
2016-09-29,95.529999
2016-09-30,96.540001
2016-10-03,92.529999
2016-10-04,91.589996
2016-10-05,94.699997
2016-10-06,95.040001
2016-10-07,94.699997
2016-10-10,105.209999
2016-10-11,104.839996
2016-10-12,104.540001
2016-10-13,103.529999
2016-10-14,100.900002
2016-10-17,100.470001
2016-10-18,99.709999
2016-10-19,103.199997
2016-10-20,102.25
2016-10-21,102.239998
2016-10-24,99.599998
2016-10-25,97.440002
2016-10-26,96.050003
2016-10-27,96.779999
2016-10-28,93.989998
2016-10-31,91.290001
2016-11-01,91.809998
2016-11-02,91.279999
2016-11-03,92.559998
2016-11-04,91.690002
2016-11-07,93.959999
2016-11-08,93.739998
2016-11-09,98.160004
2016-11-10,97.370003
2016-11-11,95.489998
2016-11-14,94.32
2016-11-15,96.660004
2016-11-16,97.589996
2016-11-17,97.91999799999999
2016-11-18,97.099998
2016-11-21,100.459999
2016-11-22,99.199997
2016-11-23,100.769997
2016-11-25,99.440002
2016-11-28,96.75
2016-11-29,95.400002
2016-11-30,107.849998
2016-12-01,110.0
2016-12-02,108.139999
2016-12-05,106.93
2016-12-06,106.290001
2016-12-07,105.389999
2016-12-08,107.260002
2016-12-09,106.040001
2016-12-12,104.989998
2016-12-13,105.279999
2016-12-14,101.510002
2016-12-15,101.18
2016-12-16,101.949997
2016-12-19,105.25
2016-12-20,102.660004
2016-12-21,101.449997
2016-12-22,102.730003
2016-12-23,102.93
2016-12-27,103.849998
2016-12-28,102.940002
2016-12-29,102.050003
2016-12-30,101.059998
2017-01-03,103.25
2017-01-04,103.57
2017-01-05,103.66999799999999
2017-01-06,103.660004
2017-01-09,101.43
2017-01-10,102.709999
2017-01-11,103.910004
2017-01-12,103.57
2017-01-13,101.360001
2017-01-17,100.440002
2017-01-18,100.519997
2017-01-19,102.260002
2017-01-20,103.110001
2017-01-23,102.190002
2017-01-24,103.739998
2017-01-25,105.120003
2017-01-26,106.699997
2017-01-27,106.68
2017-01-30,102.5
2017-01-31,105.16999799999999
2017-02-01,105.760002
2017-02-02,104.629997
2017-02-03,104.41999799999999
2017-02-06,105.440002
2017-02-07,100.120003
2017-02-08,100.559998
2017-02-09,103.93
2017-02-10,104.790001
2017-02-13,104.300003
2017-02-14,107.68
2017-02-15,111.839996
2017-02-16,109.010002
2017-02-17,107.629997
2017-02-21,106.839996
2017-02-22,102.029999
2017-02-23,100.959999
2017-02-24,100.410004
2017-02-27,101.650002
2017-02-28,100.860001
2017-03-01,105.709999
2017-03-02,103.82
2017-03-03,103.58000200000001
2017-03-06,103.959999
2017-03-07,104.58000200000001
2017-03-08,99.760002
2017-03-09,101.480003
2017-03-10,101.459999
2017-03-13,101.260002
2017-03-14,98.349998
2017-03-15,102.91999799999999
2017-03-16,103.440002
2017-03-17,104.690002
2017-03-20,103.709999
2017-03-21,102.120003
2017-03-22,101.16999799999999
2017-03-23,99.599998
2017-03-24,99.730003
2017-03-27,98.940002
2017-03-28,101.230003
2017-03-29,103.160004
2017-03-30,102.66999799999999
2017-03-31,103.720001
2017-04-03,104.08000200000001
2017-04-04,106.769997
2017-04-05,102.940002
2017-04-06,104.66999799999999
2017-04-07,104.379997
2017-04-10,104.620003
2017-04-11,105.959999
2017-04-12,106.32
2017-04-13,105.040001
2017-04-17,105.139999
2017-04-18,103.160004
2017-04-19,100.550003
2017-04-20,100.269997
2017-04-21,101.269997
2017-04-24,101.760002
2017-04-25,103.970001
2017-04-26,103.209999
2017-04-27,100.449997
2017-04-28,99.839996
2017-05-01,98.959999
2017-05-02,98.379997
2017-05-03,100.279999
2017-05-04,95.209999
2017-05-05,99.650002
