Date,PGH
2017-01-19,6.55
2017-01-20,6.55
2017-01-23,6.5
2017-01-24,6.48
2017-01-25,6.45
2017-01-26,6.49
2017-01-27,6.49
2017-01-30,6.49
2017-01-31,6.55
2017-02-01,6.41
2017-02-02,6.54
2017-02-03,6.54
2017-02-06,6.9
2017-02-07,7.1
2017-02-08,7.64
2017-02-09,7.61
2017-02-10,7.55
2017-02-13,7.54
2017-02-14,7.37
2017-02-15,7.3
2017-02-16,7.3
2017-02-17,7.18
2017-02-21,7.29
2017-02-22,7.29
2017-02-23,7.38
2017-02-24,7.29
2017-02-27,7.37
2017-02-28,7.36
2017-03-01,7.36
2017-03-02,7.34
2017-03-03,7.28
2017-03-06,7.2
2017-03-07,7.22
2017-03-08,7.29
2017-03-09,7.2
2017-03-10,7.18
2017-03-13,7.16
2017-03-14,6.96
2017-03-15,6.96
2017-03-16,7.15
2017-03-17,7.16
2017-03-20,7.16
2017-03-21,7.12
2017-03-22,7.14
2017-03-23,7.15
2017-03-24,7.14
2017-03-27,7.14
2017-03-28,7.21
2017-03-29,7.35
2017-03-30,7.48
2017-03-31,7.48
2017-04-03,7.48
2017-04-04,7.58
2017-04-05,7.74
2017-04-06,7.95
2017-04-07,7.95
2017-04-10,7.95
2017-04-11,7.95
2017-04-12,7.9
2017-04-13,7.95
2017-04-17,7.84
2017-04-18,7.83
2017-04-19,7.85
2017-04-20,7.8
2017-04-21,7.83
2017-04-24,7.6
2017-04-25,7.74
2017-04-26,7.8
2017-04-27,7.57
2017-04-28,7.7
2017-05-01,7.7
2017-05-02,7.9
2017-05-03,7.95
2017-05-04,7.95
2017-05-05,7.95
2017-05-08,7.95
2017-05-09,7.95
2017-05-10,7.95
2017-05-11,7.85
2017-05-12,7.95
2017-05-15,7.93
2017-05-16,7.92
2017-05-17,7.92
2017-05-18,7.95
2017-05-19,7.95
2017-05-22,7.95
2017-05-23,7.95
2017-05-24,7.95
2017-05-25,7.95
2017-05-26,7.95
2017-05-30,7.9
2017-05-31,7.92
2017-06-01,7.95
2017-06-02,7.95
2017-06-05,8.3
2017-06-06,8.5
2017-06-07,8.39
2017-06-08,8.4
2017-06-09,8.49
2017-06-12,8.44
2017-06-13,8.44
2017-06-14,8.45
2017-06-15,8.45
2017-06-16,8.38
2017-06-19,8.35
2017-06-20,8.38
2017-06-21,8.38
2017-06-22,8.3
2017-06-23,8.22
2017-06-26,8.22
2017-06-27,8.22
2017-06-28,7.93
2017-06-29,8.1
2017-06-30,8.25
2017-07-03,8.24
