Date,TTD
2019-07-23,245.42999300000002
2019-07-24,248.38000499999998
2019-07-25,255.22000099999997
2019-07-26,278.549988
2019-07-29,260.359985
2019-07-30,265.130005
2019-07-31,263.309998
2019-08-01,264.640015
2019-08-02,260.980011
2019-08-05,249.77999900000003
2019-08-06,251.86999500000002
2019-08-07,257.230011
2019-08-08,273.670013
2019-08-09,271.940002
2019-08-12,255.080002
2019-08-13,264.640015
2019-08-14,250.38999900000002
2019-08-15,243.520004
2019-08-16,248.61999500000002
2019-08-19,242.919998
2019-08-20,250.11999500000002
2019-08-21,260.109985
2019-08-22,259.839996
2019-08-23,246.42999300000002
2019-08-26,250.86000099999998
2019-08-27,246.11000099999998
2019-08-28,248.38999900000002
2019-08-29,250.07000699999998
2019-08-30,245.770004
2019-09-03,234.979996
2019-09-04,240.190002
2019-09-05,243.710007
2019-09-06,233.13000499999998
2019-09-09,213.669998
2019-09-10,210.059998
2019-09-11,211.710007
2019-09-12,213.88999900000002
2019-09-13,207.490005
2019-09-16,210.850006
2019-09-17,213.25
2019-09-18,208.119995
2019-09-19,210.38000499999998
2019-09-20,207.050003
2019-09-23,202.919998
2019-09-24,192.610001
2019-09-25,194.580002
2019-09-26,194.399994
2019-09-27,184.759995
2019-09-30,187.550003
2019-10-01,183.58999599999999
2019-10-02,183.990005
2019-10-03,189.58999599999999
2019-10-04,187.75
2019-10-07,194.03999299999998
2019-10-08,190.440002
2019-10-09,191.029999
2019-10-10,185.649994
2019-10-11,198.429993
2019-10-14,201.28999299999998
2019-10-15,212.0
2019-10-16,195.83999599999999
2019-10-17,201.490005
2019-10-18,194.809998
2019-10-21,200.83999599999999
2019-10-22,189.809998
2019-10-23,192.110001
2019-10-24,196.970001
2019-10-25,202.619995
2019-10-28,209.97000099999997
2019-10-29,207.309998
2019-10-30,209.66000400000001
2019-10-31,200.800003
2019-11-01,203.100006
2019-11-04,202.889999
2019-11-05,199.529999
2019-11-06,194.419998
2019-11-07,192.75
2019-11-08,195.529999
2019-11-11,217.00999500000003
2019-11-12,223.850006
2019-11-13,228.850006
2019-11-14,228.080002
2019-11-15,229.149994
2019-11-18,231.75
2019-11-19,236.47000099999997
2019-11-20,240.47000099999997
2019-11-21,240.07000699999998
2019-11-22,243.710007
2019-11-25,256.890015
2019-11-26,263.299988
2019-11-27,265.170013
2019-11-29,263.339996
2019-12-02,227.38999900000002
2019-12-03,237.50999500000003
2019-12-04,244.13999900000002
2019-12-05,240.419998
2019-12-06,247.350006
2019-12-09,249.49000499999997
2019-12-10,250.07000699999998
2019-12-11,250.479996
2019-12-12,246.399994
2019-12-13,252.44999700000002
2019-12-16,253.83999599999999
2019-12-17,250.02999900000003
2019-12-18,253.11999500000002
2019-12-19,262.709991
2019-12-20,263.75
2019-12-23,268.649994
2019-12-24,268.0
2019-12-26,273.51001
2019-12-27,272.350006
2019-12-30,252.72000099999997
2019-12-31,259.77999900000003
2020-01-02,271.450012
2020-01-03,271.910004
2020-01-06,277.910004
2020-01-07,280.27999900000003
2020-01-08,285.200012
2020-01-09,286.640015
2020-01-10,277.76001
2020-01-13,288.170013
2020-01-14,284.160004
2020-01-15,284.799988
2020-01-16,281.0
2020-01-17,280.950012
2020-01-21,280.019989
2020-01-22,282.225006
2020-01-23,280.390015
2020-01-24,280.170013
2020-01-27,273.230011
2020-01-28,281.790009
2020-01-29,281.02999900000003
2020-01-30,277.640015
2020-01-31,269.179993
2020-02-03,274.019989
2020-02-04,303.130005
2020-02-05,287.519989
2020-02-06,288.709991
2020-02-07,291.329987
2020-02-10,298.109985
2020-02-11,296.399994
2020-02-12,304.790009
2020-02-13,306.570007
2020-02-14,305.299988
2020-02-18,308.440002
2020-02-19,315.429993
2020-02-20,311.450012
2020-02-21,301.899994
2020-02-24,283.209991
2020-02-25,273.51001
2020-02-26,266.899994
2020-02-27,250.00999500000003
2020-02-28,287.25
2020-03-02,288.109985
2020-03-03,277.670013
2020-03-04,274.97000099999997
2020-03-05,271.170013
2020-03-06,252.940002
2020-03-09,216.539993
2020-03-10,235.69999700000002
2020-03-11,223.940002
2020-03-12,192.649994
2020-03-13,200.0
2020-03-16,160.490005
2020-03-17,170.0
2020-03-18,144.389999
2020-03-19,167.440002
2020-03-20,170.0
2020-03-23,176.669998
2020-03-24,194.0
2020-03-25,196.940002
2020-03-26,209.050003
2020-03-27,199.690002
2020-03-30,197.509995
2020-03-31,193.0
2020-04-01,172.300003
2020-04-02,164.779999
2020-04-03,160.389999
2020-04-06,190.050003
2020-04-07,191.33999599999999
2020-04-08,207.350006
2020-04-09,213.75999500000003
2020-04-13,218.61999500000002
2020-04-14,233.41000400000001
2020-04-15,226.559998
2020-04-16,220.729996
2020-04-17,228.520004
2020-04-20,233.0
2020-04-21,216.149994
2020-04-22,244.190002
2020-04-23,253.97000099999997
2020-04-24,256.630005
2020-04-27,263.170013
2020-04-28,257.940002
2020-04-29,294.190002
2020-04-30,292.579987
2020-05-01,278.899994
2020-05-04,290.519989
2020-05-05,303.640015
2020-05-06,312.23999
2020-05-07,322.5
2020-05-08,315.5
