Date,UNP
1982-07-07,2.647575
1982-07-08,2.658081
1982-07-09,2.752637
1982-07-12,2.60555
1982-07-13,2.5950439999999997
1982-07-14,2.637069
1982-07-15,2.616056
1982-07-16,2.60555
1982-07-19,2.60555
1982-07-20,2.658081
1982-07-21,2.60555
1982-07-22,2.626563
1982-07-23,2.616056
1982-07-26,2.616056
1982-07-27,2.626563
1982-07-28,2.5950439999999997
1982-07-29,2.60555
1982-07-30,2.5950439999999997
1982-08-02,2.6896
1982-08-03,2.637069
1982-08-04,2.626563
1982-08-05,2.637069
1982-08-06,2.626563
1982-08-09,2.5845380000000002
1982-08-10,2.574031
1982-08-11,2.542512
1982-08-12,2.5215
1982-08-13,2.5004880000000003
1982-08-16,2.5109939999999997
1982-08-17,2.742131
1982-08-18,2.668587
1982-08-19,2.658081
1982-08-20,2.77365
1982-08-23,2.983775
1982-08-24,3.046813
1982-08-25,3.088837
1982-08-26,3.235925
1982-08-27,3.172888
1982-08-30,3.151875
1982-08-31,3.214912
1982-09-01,3.1939
1982-09-02,3.2989629999999996
1982-09-03,3.340987
1982-09-07,3.3935190000000004
1982-09-08,3.519594
1982-09-09,3.7297190000000002
1982-09-10,3.61415
1982-09-13,3.708706
1982-09-14,3.624656
1982-09-15,3.4985809999999997
1982-09-16,3.456556
1982-09-17,3.3935190000000004
1982-09-20,3.3725059999999996
1982-09-21,3.4670620000000003
1982-09-22,3.425037
1982-09-23,3.4985809999999997
1982-09-24,3.5616190000000003
1982-09-27,3.572125
1982-09-28,3.61415
1982-09-29,3.5301
1982-09-30,3.4145309999999998
1982-10-01,3.425037
1982-10-04,3.3725059999999996
1982-10-05,3.3830129999999996
1982-10-06,3.5301
1982-10-07,3.78225
1982-10-08,3.803262
1982-10-11,3.908325
1982-10-12,3.9398440000000003
1982-10-13,4.107944
1982-10-14,4.044906
1982-10-15,3.992375
1982-10-18,4.013388
1982-10-19,4.097437
1982-10-20,4.181488
1982-10-21,4.107944
1982-10-22,4.1499690000000005
1982-10-25,3.9398440000000003
1982-10-26,3.9713629999999998
1982-10-27,3.95035
1982-10-28,3.813769
1982-10-29,3.792756
1982-11-01,3.792756
1982-11-02,3.8452879999999996
1982-11-03,4.076425
1982-11-04,3.992375
1982-11-05,4.023894
1982-11-08,3.981869
1982-11-09,4.11845
1982-11-10,4.1499690000000005
1982-11-11,4.1499690000000005
1982-11-12,3.78225
1982-11-15,3.803262
1982-11-16,3.7612370000000004
1982-11-17,3.8557940000000004
1982-11-18,3.8347809999999996
1982-11-19,3.740225
1982-11-22,3.624656
1982-11-23,3.519594
1982-11-24,3.5090879999999998
1982-11-26,3.5301
1982-11-29,3.5931379999999997
1982-11-30,3.7297190000000002
1982-12-01,3.5826309999999997
1982-12-02,3.5931379999999997
1982-12-03,3.61415
1982-12-06,3.719213
1982-12-07,3.824275
1982-12-08,3.656175
1982-12-09,3.603644
1982-12-10,3.824275
1982-12-13,3.803262
1982-12-14,3.792756
1982-12-15,3.6666809999999996
1982-12-16,3.6666809999999996
1982-12-17,3.740225
1982-12-20,3.6982
1982-12-21,3.7507309999999996
1982-12-22,3.78225
1982-12-23,3.78225
1982-12-27,3.95035
1982-12-28,3.8663
1982-12-29,3.887312
1982-12-30,3.908325
1982-12-31,3.95035
1983-01-03,3.8768059999999998
1983-01-04,4.191994
1983-01-05,4.265537
1983-01-06,4.5387
1983-01-07,4.5176870000000005
1983-01-10,4.591231
1983-01-11,4.6122440000000005
1983-01-12,4.507181
1983-01-13,4.276044000000001
1983-01-14,4.307562
1983-01-17,4.360094
1983-01-18,4.318069
1983-01-19,4.223513
1983-01-20,4.2970559999999995
1983-01-21,4.139462
1983-01-24,3.992375
1983-01-25,3.9293379999999996
1983-01-26,3.887312
1983-01-27,3.918831
1983-01-28,3.908325
1983-01-31,3.908325
1983-02-01,3.803262
1983-02-02,3.78225
1983-02-03,3.8663
1983-02-04,3.992375
1983-02-07,4.023894
1983-02-08,3.9713629999999998
1983-02-09,4.013388
1983-02-10,4.160475
1983-02-11,4.244525
1983-02-14,4.318069
1983-02-15,4.223513
1983-02-16,4.265537
1983-02-17,4.28655
1983-02-18,4.339081
1983-02-22,4.086931
1983-02-23,4.139462
1983-02-24,4.223513
1983-02-25,4.11845
1983-02-28,3.95035
1983-03-01,3.908325
1983-03-02,4.0344
1983-03-03,4.076425
1983-03-04,4.181488
1983-03-07,4.244525
1983-03-08,4.160475
1983-03-09,4.1499690000000005
1983-03-10,4.0344
1983-03-11,4.013388
1983-03-14,4.013388
1983-03-15,4.023894
1983-03-16,3.897819
1983-03-17,3.813769
1983-03-18,3.8452879999999996
1983-03-21,3.9713629999999998
1983-03-22,3.897819
1983-03-23,3.908325
1983-03-24,3.897819
1983-03-25,3.887312
1983-03-28,3.897819
1983-03-29,3.8347809999999996
1983-03-30,3.95035
1983-03-31,4.160475
1983-04-04,4.255031
1983-04-05,4.2025
1983-04-06,4.1499690000000005
1983-04-07,4.160475
1983-04-08,4.307562
1983-04-11,4.402119
1983-04-12,4.423131
1983-04-13,4.307562
1983-04-14,4.3706
1983-04-15,4.3495870000000005
1983-04-18,4.3495870000000005
1983-04-19,4.328575
1983-04-20,4.191994
1983-04-21,4.244525
1983-04-22,4.244525
1983-04-25,4.244525
1983-04-26,4.433637999999999
1983-04-27,4.360094
1983-04-28,4.433637999999999
1983-04-29,4.62275
1983-05-02,4.559712
1983-05-03,4.559712
1983-05-04,4.8118620000000005
1983-05-05,4.864394
1983-05-06,4.8749
1983-05-09,4.8538879999999995
1983-05-10,4.8538879999999995
1983-05-11,4.8749
1983-05-12,4.8538879999999995
1983-05-13,4.832875
1983-05-16,4.79085
1983-05-17,4.738319000000001
1983-05-18,4.654269
1983-05-19,4.580725
1983-05-20,4.643763
1983-05-23,4.7068
1983-05-24,4.969456
1983-05-25,4.937938
1983-05-26,4.916925
1983-05-27,4.780344
1983-05-31,4.664775
1983-06-01,4.696294
1983-06-02,4.7068
1983-06-03,4.685788
1983-06-06,4.675281
1983-06-07,4.601737
1983-06-08,4.496675
1983-06-09,4.591231
1983-06-10,4.643763
1983-06-13,4.664775
1983-06-14,4.717306
1983-06-15,4.822369
1983-06-16,5.000975
1983-06-17,4.990469
1983-06-20,4.95895
1983-06-21,5.148063
1983-06-22,5.106038
1983-06-23,5.043
1983-06-24,5.021987
1983-06-27,4.990469
1983-06-28,4.95895
1983-06-29,4.9274309999999995
1983-06-30,4.864394
1983-07-01,4.8538879999999995
1983-07-05,4.717306
1983-07-06,4.8118620000000005
1983-07-07,4.916925
1983-07-08,4.8749
1983-07-11,4.916925
1983-07-12,4.864394
1983-07-13,4.885406
1983-07-14,4.822369
1983-07-15,4.780344
1983-07-18,4.748825
1983-07-19,4.780344
1983-07-20,4.864394
1983-07-21,4.864394
1983-07-22,4.8538879999999995
1983-07-25,4.832875
1983-07-26,4.8118620000000005
1983-07-27,4.748825
1983-07-28,4.685788
1983-07-29,4.62275
1983-08-01,4.654269
1983-08-02,4.654269
1983-08-03,4.685788
1983-08-04,4.528194
1983-08-05,4.475663
1983-08-08,4.28655
1983-08-09,4.318069
1983-08-10,4.307562
1983-08-11,4.433637999999999
1983-08-12,4.496675
1983-08-15,4.5176870000000005
1983-08-16,4.559712
1983-08-17,4.643763
1983-08-18,4.62275
1983-08-19,4.675281
1983-08-22,4.696294
1983-08-23,4.685788
1983-08-24,4.685788
1983-08-25,4.633255999999999
1983-08-26,4.664775
1983-08-29,4.643763
1983-08-30,4.696294
