Date,SPG
1997-07-03,28.424381
1997-07-07,28.714426
1997-07-08,28.714426
1997-07-09,27.9023
1997-07-10,28.076328000000004
1997-07-11,28.482389
1997-07-14,28.656418
1997-07-15,28.714426
1997-07-16,28.772434000000004
1997-07-17,29.004471000000002
1997-07-18,29.294515999999998
1997-07-21,29.410534000000002
1997-07-22,29.584559999999996
1997-07-23,29.932613
1997-07-24,30.106640000000002
1997-07-25,30.396684999999998
1997-07-28,29.584559999999996
1997-07-29,29.352524
1997-07-30,29.932613
1997-07-31,29.700578999999998
1997-08-01,29.874605
1997-08-04,30.106640000000002
1997-08-05,29.52655
1997-08-06,29.352524
1997-08-07,29.468542
1997-08-08,29.178496999999997
1997-08-11,28.946463
1997-08-12,28.5404
1997-08-13,28.076328000000004
1997-08-14,27.612257
1997-08-15,27.670265
1997-08-18,27.786283
1997-08-19,28.482389
1997-08-20,28.830444
1997-08-21,28.598408000000003
1997-08-22,28.830444
1997-08-25,28.830444
1997-08-26,29.062478999999996
1997-08-27,28.888453000000002
1997-08-28,29.236506
1997-08-29,29.410534000000002
1997-09-02,29.584559999999996
1997-09-03,29.642569
1997-09-04,29.468542
1997-09-05,29.642569
1997-09-08,30.396684999999998
1997-09-09,30.686728999999996
1997-09-10,30.918765999999998
1997-09-11,30.976774
1997-09-12,30.918765999999998
1997-09-15,31.7889
1997-09-16,30.628721000000002
1997-09-17,29.990623
1997-09-18,30.106640000000002
1997-09-19,29.758587
1997-09-22,30.048632
1997-09-23,30.16465
1997-09-24,30.396684999999998
1997-09-25,30.396684999999998
1997-09-26,30.338676
1997-09-29,30.686728999999996
1997-09-30,30.628721000000002
1997-10-01,30.860756
1997-10-02,30.918765999999998
1997-10-03,30.744740000000004
1997-10-06,30.744740000000004
1997-10-07,31.034784000000002
1997-10-08,30.976774
1997-10-09,30.976774
1997-10-10,30.628721000000002
1997-10-13,30.396684999999998
1997-10-14,30.802747999999998
1997-10-15,30.918765999999998
1997-10-16,30.802747999999998
1997-10-17,29.468542
1997-10-20,29.874605
1997-10-21,30.16465
1997-10-22,30.222658000000003
1997-10-23,29.932613
1997-10-24,29.932613
1997-10-27,29.062478999999996
1997-10-28,29.642569
1997-10-29,29.294515999999998
1997-10-30,28.714426
1997-10-31,28.714426
1997-11-03,28.714426
1997-11-04,28.714426
1997-11-05,28.772434000000004
1997-11-06,28.714426
1997-11-07,28.424381
1997-11-10,28.018318
1997-11-11,27.670265
1997-11-12,27.728272999999998
1997-11-13,27.786283
1997-11-14,28.134335999999998
1997-11-17,29.004471000000002
