Date,MGA
1988-03-11,2.4375
1988-03-14,2.4375
1988-03-15,2.4375
1988-03-16,2.46875
1988-03-17,2.46875
1988-03-18,2.53125
1988-03-21,2.5625
1988-03-22,2.53125
1988-03-23,2.625
1988-03-24,2.5625
1988-03-25,2.5
1988-03-28,2.5
1988-03-29,2.5
1988-03-30,2.40625
1988-03-31,2.4375
1988-04-04,2.375
1988-04-05,2.40625
1988-04-06,2.40625
1988-04-07,2.46875
1988-04-08,2.46875
1988-04-11,2.46875
1988-04-12,2.53125
1988-04-13,2.53125
1988-04-14,2.53125
1988-04-15,2.53125
1988-04-18,2.59375
1988-04-19,2.59375
1988-04-20,2.75
1988-04-21,2.8125
1988-04-22,2.78125
1988-04-25,2.84375
1988-04-26,2.8125
1988-04-27,2.8125
1988-04-28,2.875
1988-04-29,2.84375
1988-05-02,2.875
1988-05-03,2.9375
1988-05-04,2.90625
1988-05-05,2.84375
1988-05-06,2.8125
1988-05-09,2.78125
1988-05-10,2.78125
1988-05-11,2.625
1988-05-12,2.625
1988-05-13,2.65625
1988-05-16,2.6875
1988-05-17,2.65625
1988-05-18,2.5
1988-05-19,2.5625
1988-05-20,2.5
1988-05-23,2.53125
1988-05-24,2.5
1988-05-25,2.5
1988-05-26,2.4375
1988-05-27,2.46875
1988-05-31,2.5625
1988-06-01,2.5625
1988-06-02,2.53125
1988-06-03,2.5625
1988-06-06,2.5625
1988-06-07,2.5625
1988-06-08,2.625
1988-06-09,2.625
1988-06-10,2.59375
1988-06-13,2.59375
1988-06-14,2.6875
1988-06-15,2.6875
1988-06-16,2.625
1988-06-17,2.59375
1988-06-20,2.625
1988-06-21,2.59375
1988-06-22,2.625
1988-06-23,2.59375
1988-06-24,2.59375
1988-06-27,2.59375
1988-06-28,2.625
1988-06-29,2.625
1988-06-30,2.65625
1988-07-01,2.71875
1988-07-05,2.71875
1988-07-06,2.78125
1988-07-07,2.8125
1988-07-08,2.84375
1988-07-11,2.90625
1988-07-12,2.9375
1988-07-13,2.9375
1988-07-14,2.9375
1988-07-15,2.90625
1988-07-18,2.875
1988-07-19,2.84375
1988-07-20,2.84375
1988-07-21,2.84375
1988-07-22,2.84375
1988-07-25,2.84375
1988-07-26,2.84375
1988-07-27,2.8125
1988-07-28,2.8125
1988-07-29,2.84375
1988-08-01,2.8125
1988-08-02,2.71875
1988-08-03,2.71875
1988-08-04,2.71875
1988-08-05,2.6875
1988-08-08,2.65625
1988-08-09,2.59375
1988-08-10,2.53125
1988-08-11,2.59375
1988-08-12,2.5625
1988-08-15,2.5625
1988-08-16,2.53125
1988-08-17,2.5625
1988-08-18,2.5625
1988-08-19,2.5625
1988-08-22,2.53125
1988-08-23,2.5625
1988-08-24,2.53125
1988-08-25,2.59375
1988-08-26,2.5625
1988-08-29,2.5625
1988-08-30,2.5625
1988-08-31,2.59375
1988-09-01,2.53125
1988-09-02,2.53125
1988-09-06,2.53125
1988-09-07,2.5
1988-09-08,2.46875
1988-09-09,2.4375
1988-09-12,2.40625
1988-09-13,2.40625
1988-09-14,2.34375
1988-09-15,2.3125
1988-09-16,2.28125
1988-09-19,2.28125
1988-09-20,2.34375
1988-09-21,2.34375
1988-09-22,2.3125
1988-09-23,2.3125
1988-09-26,2.34375
1988-09-27,2.28125
1988-09-28,2.28125
1988-09-29,2.28125
1988-09-30,2.3125
1988-10-03,2.3125
1988-10-04,2.3125
1988-10-05,2.21875
1988-10-06,2.28125
1988-10-07,2.3125
1988-10-10,2.34375
1988-10-11,2.28125
1988-10-12,2.3125
1988-10-13,2.28125
1988-10-14,2.3125
1988-10-17,2.28125
1988-10-18,2.40625
1988-10-19,2.46875
1988-10-20,2.5
1988-10-21,2.53125
1988-10-24,2.5625
1988-10-25,2.625
1988-10-26,2.71875
1988-10-27,2.65625
1988-10-28,2.71875
1988-10-31,2.71875
1988-11-01,2.75
1988-11-02,2.6875
1988-11-03,2.6875
1988-11-04,2.59375
1988-11-07,2.4375
1988-11-08,2.46875
1988-11-09,2.375
1988-11-10,2.375
1988-11-11,2.3125
1988-11-14,2.34375
1988-11-15,2.3125
1988-11-16,2.3125
1988-11-17,2.3125
1988-11-18,2.34375
1988-11-21,2.40625
1988-11-22,2.46875
1988-11-23,2.46875
1988-11-25,2.5
1988-11-28,2.5625
1988-11-29,2.5625
