Date,LORL
2014-09-10,74.91999799999999
2014-09-11,74.989998
2014-09-12,74.57
2014-09-15,74.529999
2014-09-16,74.209999
2014-09-17,74.019997
2014-09-18,74.139999
2014-09-19,73.629997
2014-09-22,73.5
2014-09-23,73.199997
2014-09-24,73.08000200000001
2014-09-25,72.040001
2014-09-26,72.620003
2014-09-29,72.129997
2014-09-30,71.809998
2014-10-01,71.349998
2014-10-02,71.349998
2014-10-03,71.639999
2014-10-06,71.08000200000001
2014-10-07,70.559998
2014-10-08,71.970001
2014-10-09,69.58000200000001
2014-10-10,67.629997
2014-10-13,66.980003
2014-10-14,66.389999
2014-10-15,66.389999
2014-10-16,67.150002
2014-10-17,68.639999
2014-10-20,68.309998
2014-10-21,69.370003
2014-10-22,68.309998
2014-10-23,70.099998
2014-10-24,70.989998
2014-10-27,70.349998
2014-10-28,74.230003
2014-10-29,74.489998
2014-10-30,75.949997
2014-10-31,76.5
2014-11-03,76.660004
2014-11-04,76.790001
2014-11-05,77.279999
2014-11-06,78.139999
2014-11-07,77.949997
2014-11-10,77.08000200000001
2014-11-11,76.199997
2014-11-12,76.400002
2014-11-13,75.709999
2014-11-14,75.459999
2014-11-17,74.889999
2014-11-18,74.260002
2014-11-19,73.410004
2014-11-20,74.379997
2014-11-21,73.209999
2014-11-24,78.5
2014-11-25,78.309998
2014-11-26,79.540001
2014-11-28,78.489998
2014-12-01,78.639999
2014-12-02,79.18
2014-12-03,79.75
2014-12-04,79.510002
2014-12-05,79.68
2014-12-08,79.389999
2014-12-09,81.16999799999999
2014-12-10,80.449997
2014-12-11,80.400002
2014-12-12,79.599998
2014-12-15,79.32
2014-12-16,78.639999
2014-12-17,79.760002
2014-12-18,80.050003
2014-12-19,79.879997
2014-12-22,79.019997
2014-12-23,78.639999
2014-12-24,79.0
2014-12-26,79.019997
2014-12-29,79.949997
2014-12-30,79.389999
2014-12-31,78.709999
2015-01-02,78.099998
2015-01-05,77.510002
2015-01-06,76.66999799999999
2015-01-07,77.199997
2015-01-08,78.220001
2015-01-09,78.349998
2015-01-12,75.440002
2015-01-13,74.5
2015-01-14,75.889999
2015-01-15,74.16999799999999
2015-01-16,75.75
2015-01-20,73.25
2015-01-21,72.650002
2015-01-22,73.860001
2015-01-23,74.529999
2015-01-26,74.220001
2015-01-27,73.400002
