Date,IPXL
2016-05-13,29.18
2016-05-16,30.120001000000002
2016-05-17,30.33
2016-05-18,31.18
2016-05-19,30.889999
2016-05-20,32.0
2016-05-23,32.119999
2016-05-24,32.619999
2016-05-25,33.040001000000004
2016-05-26,32.98
2016-05-27,33.529999
2016-05-31,34.150002
2016-06-01,34.740002000000004
2016-06-02,35.009997999999996
2016-06-03,34.369999
2016-06-06,34.145
2016-06-07,33.880001
2016-06-08,33.66
2016-06-09,33.560001
2016-06-10,32.450001
2016-06-13,32.43
2016-06-14,32.82
2016-06-15,32.439999
2016-06-16,32.169998
2016-06-17,31.34
2016-06-20,31.969998999999998
2016-06-21,28.309998999999998
2016-06-22,29.52
2016-06-23,30.33
2016-06-24,29.26
2016-06-27,28.01
2016-06-28,28.84
2016-06-29,29.129998999999998
2016-06-30,28.82
2016-07-01,29.299999
2016-07-05,28.639999
2016-07-06,28.940001000000002
2016-07-07,29.120001000000002
2016-07-08,29.35
2016-07-11,30.620001000000002
2016-07-12,31.32
2016-07-13,30.809998999999998
2016-07-14,30.9
2016-07-15,31.07
2016-07-18,30.92
2016-07-19,30.190001000000002
2016-07-20,31.0
2016-07-21,30.530001000000002
2016-07-22,30.440001000000002
2016-07-25,30.65
2016-07-26,30.790001
2016-07-27,31.440001000000002
2016-07-28,31.469998999999998
2016-07-29,31.42
2016-08-01,31.15
2016-08-02,30.969998999999998
2016-08-03,31.620001000000002
2016-08-04,31.23
2016-08-05,30.780001000000002
2016-08-08,30.59
2016-08-09,23.43
2016-08-10,21.98
2016-08-11,22.059998999999998
2016-08-12,21.719998999999998
2016-08-15,22.969998999999998
2016-08-16,22.870001000000002
2016-08-17,23.190001000000002
2016-08-18,23.549999
2016-08-19,23.35
2016-08-22,24.01
2016-08-23,23.870001000000002
2016-08-24,23.790001
2016-08-25,23.83
2016-08-26,23.940001000000002
2016-08-29,23.940001000000002
2016-08-30,24.42
2016-08-31,24.190001000000002
2016-09-01,23.940001000000002
2016-09-02,24.030001000000002
2016-09-06,24.24
2016-09-07,24.469998999999998
2016-09-08,24.24
2016-09-09,24.280001000000002
2016-09-12,25.33
2016-09-13,25.01
2016-09-14,25.389999
2016-09-15,25.879998999999998
2016-09-16,26.15
2016-09-19,26.18
2016-09-20,26.139999
2016-09-21,26.450001
2016-09-22,26.440001000000002
2016-09-23,26.49
2016-09-26,25.4
2016-09-27,25.665001
2016-09-28,24.73
2016-09-29,23.59
2016-09-30,23.700001
2016-10-03,23.809998999999998
2016-10-04,24.0
2016-10-05,24.23
2016-10-06,23.83
2016-10-07,23.559998999999998
2016-10-10,24.01
2016-10-11,23.09
2016-10-12,22.379998999999998
2016-10-13,22.48
2016-10-14,21.700001
2016-10-17,21.75
2016-10-18,22.1
2016-10-19,21.9
2016-10-20,21.9
2016-10-21,21.85
2016-10-24,21.700001
2016-10-25,21.799999
2016-10-26,21.35
2016-10-27,21.450001
2016-10-28,20.700001
2016-10-31,20.1
2016-11-01,20.950001
