Date,SNI
2015-01-28,71.760002
2015-01-29,72.400002
2015-01-30,71.089996
2015-02-02,71.75
2015-02-03,73.599998
2015-02-04,74.08000200000001
2015-02-05,71.690002
2015-02-06,72.989998
2015-02-09,73.370003
2015-02-10,73.870003
2015-02-11,73.660004
2015-02-12,72.610001
2015-02-13,73.0
2015-02-17,73.16999799999999
2015-02-18,72.66999799999999
2015-02-19,72.910004
2015-02-20,73.57
2015-02-23,74.290001
2015-02-24,74.400002
2015-02-25,74.33000200000001
2015-02-26,72.860001
2015-02-27,72.300003
2015-03-02,72.440002
2015-03-03,74.07
2015-03-04,73.629997
2015-03-05,73.529999
2015-03-06,73.25
2015-03-09,73.470001
2015-03-10,72.290001
2015-03-11,72.220001
2015-03-12,72.470001
2015-03-13,71.910004
2015-03-16,72.690002
2015-03-17,71.739998
2015-03-18,70.82
2015-03-19,70.309998
2015-03-20,71.5
2015-03-23,71.120003
2015-03-24,71.230003
2015-03-25,70.25
2015-03-26,69.379997
2015-03-27,68.900002
2015-03-30,69.620003
2015-03-31,68.559998
2015-04-01,68.720001
2015-04-02,69.41999799999999
2015-04-06,69.239998
2015-04-07,69.110001
2015-04-08,70.18
2015-04-09,69.300003
2015-04-10,69.010002
2015-04-13,69.559998
2015-04-14,69.57
2015-04-15,69.440002
2015-04-16,69.900002
2015-04-17,68.559998
2015-04-20,69.720001
2015-04-21,68.75
2015-04-22,69.879997
2015-04-23,70.199997
2015-04-24,69.910004
2015-04-27,69.089996
2015-04-28,68.900002
2015-04-29,69.470001
2015-04-30,69.860001
2015-05-01,70.230003
2015-05-04,71.889999
2015-05-05,70.730003
2015-05-06,69.989998
2015-05-07,68.040001
2015-05-08,68.0
2015-05-11,66.989998
2015-05-12,66.709999
2015-05-13,66.510002
2015-05-14,66.139999
2015-05-15,67.129997
2015-05-18,68.349998
2015-05-19,67.879997
2015-05-20,68.32
2015-05-21,68.610001
2015-05-22,68.400002
2015-05-26,66.900002
2015-05-27,67.5
2015-05-28,67.5
2015-05-29,67.010002
2015-06-01,66.75
2015-06-02,67.470001
2015-06-03,67.0
2015-06-04,67.68
2015-06-05,68.730003
2015-06-08,67.760002
2015-06-09,67.279999
2015-06-10,66.739998
2015-06-11,66.889999
2015-06-12,66.68
2015-06-15,67.360001
2015-06-16,67.089996
2015-06-17,67.519997
2015-06-18,67.68
2015-06-19,67.25
2015-06-22,67.160004
2015-06-23,67.25
2015-06-24,66.660004
2015-06-25,66.650002
2015-06-26,67.010002
2015-06-29,64.760002
2015-06-30,65.370003
2015-07-01,67.050003
2015-07-02,67.089996
2015-07-06,66.779999
2015-07-07,67.199997
2015-07-08,65.32
2015-07-09,65.41999799999999
2015-07-10,65.839996
2015-07-13,66.309998
2015-07-14,66.220001
2015-07-15,66.309998
2015-07-16,66.769997
2015-07-17,64.860001
2015-07-20,64.290001
2015-07-21,63.330002
2015-07-22,62.75
2015-07-23,61.82
2015-07-24,61.200001
2015-07-27,61.880001
2015-07-28,62.049999
2015-07-29,61.93
2015-07-30,62.209998999999996
2015-07-31,62.580002
2015-08-03,62.59
2015-08-04,61.169998
2015-08-05,57.540001000000004
2015-08-06,58.59
2015-08-07,58.759997999999996
2015-08-10,59.169998
2015-08-11,58.799999
2015-08-12,58.919998
2015-08-13,57.959998999999996
2015-08-14,57.52
2015-08-17,58.669998
2015-08-18,57.009997999999996
2015-08-19,57.07
2015-08-20,54.23
2015-08-21,54.0
2015-08-24,51.720001
2015-08-25,51.380001
2015-08-26,52.0
2015-08-27,52.669998
2015-08-28,53.18
2015-08-31,53.09
2015-09-01,51.779999
2015-09-02,52.830002
2015-09-03,53.779999
2015-09-04,52.869999
2015-09-08,53.860001000000004
2015-09-09,53.59
2015-09-10,53.349998
2015-09-11,53.16
2015-09-14,52.619999
2015-09-15,53.080002
2015-09-16,53.23
2015-09-17,52.93
2015-09-18,52.919998
2015-09-21,52.5
2015-09-22,51.029999
2015-09-23,49.389998999999996
2015-09-24,49.84
2015-09-25,49.580002
2015-09-28,48.27
2015-09-29,48.139998999999996
2015-09-30,49.189999
2015-10-01,48.419998
2015-10-02,49.799999
2015-10-05,51.299999
2015-10-06,51.66
2015-10-07,54.619999
2015-10-08,55.75
2015-10-09,56.060001
2015-10-12,55.139998999999996
2015-10-13,55.240002000000004
2015-10-14,55.220001
2015-10-15,56.439999
2015-10-16,56.080002
2015-10-19,55.959998999999996
2015-10-20,56.560001
2015-10-21,56.02
2015-10-22,56.669998
2015-10-23,56.990002000000004
2015-10-26,57.139998999999996
2015-10-27,56.779999
2015-10-28,58.110001000000004
2015-10-29,59.279999
2015-10-30,60.080002
2015-11-02,59.790001000000004
2015-11-03,61.240002000000004
2015-11-04,59.57
2015-11-05,58.259997999999996
2015-11-06,59.040001000000004
2015-11-09,58.380001
2015-11-10,58.619999
2015-11-11,57.889998999999996
2015-11-12,57.439999
2015-11-13,56.830002
2015-11-16,56.720001
2015-11-17,55.740002000000004
2015-11-18,56.639998999999996
2015-11-19,56.720001
2015-11-20,57.68
2015-11-23,58.470001
2015-11-24,57.869999
2015-11-25,57.970001
2015-11-27,57.740002000000004
2015-11-30,56.799999
2015-12-01,56.889998999999996
2015-12-02,57.25
2015-12-03,56.43
2015-12-04,59.02
2015-12-07,58.75
2015-12-08,56.939999
2015-12-09,56.290001000000004
2015-12-10,57.07
2015-12-11,54.619999
2015-12-14,53.32
2015-12-15,53.59
2015-12-16,55.029999
2015-12-17,54.279999
2015-12-18,53.889998999999996
2015-12-21,53.799999
2015-12-22,54.709998999999996
2015-12-23,55.279999
2015-12-24,55.349998
2015-12-28,55.139998999999996
2015-12-29,55.490002000000004
2015-12-30,54.650002
2015-12-31,55.209998999999996
2016-01-04,53.84
2016-01-05,53.400002
2016-01-06,51.900002
2016-01-07,52.150002
2016-01-08,53.560001
2016-01-11,53.779999
2016-01-12,54.48
2016-01-13,54.599998
2016-01-14,57.099998
2016-01-15,56.0
2016-01-19,55.619999
2016-01-20,56.16
2016-01-21,57.369999
2016-01-22,59.040001000000004
2016-01-25,58.610001000000004
2016-01-26,60.599998
2016-01-27,60.049999
2016-01-28,59.310001
2016-01-29,60.970001
2016-02-01,62.099998
2016-02-02,60.119999
2016-02-03,61.369999
2016-02-04,61.689999
2016-02-05,61.529999
2016-02-08,59.52
2016-02-09,55.0
2016-02-10,53.919998
2016-02-11,53.130001
2016-02-12,53.720001
2016-02-16,53.810001
2016-02-17,55.91
2016-02-18,55.32
2016-02-19,55.130001
2016-02-22,55.830002
2016-02-23,58.040001000000004
2016-02-24,57.950001
2016-02-25,57.799999
2016-02-26,59.41
2016-02-29,59.240002000000004
2016-03-01,61.259997999999996
2016-03-02,60.970001
2016-03-03,62.939999
2016-03-04,62.919998
2016-03-07,64.400002
2016-03-08,63.139998999999996
2016-03-09,64.120003
2016-03-10,63.34
2016-03-11,64.660004
2016-03-14,65.190002
2016-03-15,65.089996
2016-03-16,65.540001
2016-03-17,65.300003
2016-03-18,64.989998
2016-03-21,64.91999799999999
2016-03-22,64.110001
2016-03-23,63.48
2016-03-24,64.010002
2016-03-28,64.639999
2016-03-29,64.790001
2016-03-30,64.83000200000001
2016-03-31,65.5
2016-04-01,67.410004
2016-04-04,67.260002
2016-04-05,66.68
2016-04-06,67.160004
2016-04-07,65.129997
2016-04-08,65.18
2016-04-11,64.82
2016-04-12,64.510002
2016-04-13,65.019997
2016-04-14,64.160004
2016-04-15,63.900002
2016-04-18,64.040001
2016-04-19,63.75
2016-04-20,63.419998
2016-04-21,63.790001000000004
2016-04-22,65.040001
2016-04-25,63.849998
2016-04-26,64.139999
2016-04-27,64.489998
2016-04-28,63.610001000000004
2016-04-29,62.349998
2016-05-02,62.470001
2016-05-03,60.860001000000004
2016-05-04,61.080002
2016-05-05,63.060001
2016-05-06,65.730003
