Date,ALLE
2017-03-10,74.470001
2017-03-13,74.760002
2017-03-14,74.370003
2017-03-15,74.91999799999999
2017-03-16,75.150002
2017-03-17,75.480003
2017-03-20,75.230003
2017-03-21,74.269997
2017-03-22,74.769997
2017-03-23,74.860001
2017-03-24,75.050003
2017-03-27,74.889999
2017-03-28,75.120003
2017-03-29,75.410004
2017-03-30,75.860001
2017-03-31,75.699997
2017-04-03,75.720001
2017-04-04,74.900002
2017-04-05,74.129997
2017-04-06,74.699997
2017-04-07,74.690002
2017-04-10,74.620003
2017-04-11,75.290001
2017-04-12,75.239998
2017-04-13,75.110001
2017-04-17,76.230003
2017-04-18,75.940002
2017-04-19,76.83000200000001
2017-04-20,77.720001
2017-04-21,77.910004
2017-04-24,78.239998
2017-04-25,78.75
2017-04-26,79.720001
2017-04-27,80.620003
2017-04-28,78.639999
2017-05-01,77.699997
2017-05-02,77.620003
2017-05-03,77.279999
2017-05-04,77.349998
2017-05-05,77.5
2017-05-08,76.800003
2017-05-09,76.980003
2017-05-10,76.83000200000001
2017-05-11,77.290001
2017-05-12,76.730003
2017-05-15,77.239998
2017-05-16,78.480003
2017-05-17,77.010002
2017-05-18,77.32
2017-05-19,79.059998
2017-05-22,79.459999
2017-05-23,78.900002
2017-05-24,79.050003
2017-05-25,79.459999
2017-05-26,79.379997
2017-05-30,78.459999
2017-05-31,78.629997
2017-06-01,79.139999
2017-06-02,80.059998
2017-06-05,80.0
2017-06-06,78.540001
2017-06-07,78.33000200000001
2017-06-08,77.650002
2017-06-09,77.230003
2017-06-12,78.449997
2017-06-13,79.279999
2017-06-14,79.75
2017-06-15,80.75
2017-06-16,81.58000200000001
2017-06-19,82.16999799999999
2017-06-20,81.910004
2017-06-21,81.510002
2017-06-22,81.190002
2017-06-23,81.449997
2017-06-26,81.410004
2017-06-27,80.589996
2017-06-28,81.239998
2017-06-29,79.82
2017-06-30,81.120003
2017-07-03,81.370003
2017-07-05,82.139999
2017-07-06,80.660004
2017-07-07,81.220001
2017-07-10,81.529999
2017-07-11,81.470001
2017-07-12,81.989998
2017-07-13,80.790001
2017-07-14,80.769997
2017-07-17,80.83000200000001
