Date,IMIAF
2015-10-29,14.98
2015-10-30,14.98
2015-11-02,14.98
2015-11-03,14.95
2015-11-04,14.95
2015-11-05,14.95
2015-11-06,14.95
2015-11-09,14.95
2015-11-10,14.95
2015-11-11,14.95
2015-11-12,13.74
2015-11-13,13.74
2015-11-16,13.74
2015-11-17,13.74
2015-11-18,13.78
2015-11-19,13.95
2015-11-20,13.95
2015-11-23,13.95
2015-11-24,13.95
2015-11-25,13.95
2015-11-27,13.95
2015-11-30,14.65
2015-12-01,14.24
2015-12-02,14.24
2015-12-03,14.24
2015-12-04,14.24
2015-12-07,13.87
2015-12-08,13.31
2015-12-09,13.35
2015-12-10,13.35
2015-12-11,13.35
2015-12-14,13.35
2015-12-15,13.13
2015-12-16,13.13
2015-12-17,13.13
2015-12-18,13.13
2015-12-21,13.13
2015-12-22,13.13
2015-12-23,13.13
2015-12-24,13.13
2015-12-28,13.13
2015-12-29,13.13
2015-12-30,13.13
2015-12-31,13.13
2016-01-04,13.13
2016-01-05,13.13
2016-01-06,13.13
2016-01-07,13.13
2016-01-08,11.47
2016-01-11,11.47
2016-01-12,11.47
2016-01-13,11.47
2016-01-14,11.47
2016-01-15,11.47
2016-01-19,11.47
2016-01-20,11.47
2016-01-21,11.47
2016-01-22,11.47
2016-01-25,11.47
2016-01-26,11.47
2016-01-27,11.47
2016-01-28,11.47
2016-01-29,11.47
2016-02-01,11.47
2016-02-02,11.47
2016-02-03,11.47
2016-02-04,11.47
2016-02-05,11.47
2016-02-08,11.47
2016-02-09,10.71
2016-02-10,10.8
2016-02-11,10.68
2016-02-12,10.68
2016-02-16,10.68
2016-02-17,11.8
2016-02-18,11.8
2016-02-19,11.8
2016-02-22,11.8
2016-02-23,11.8
2016-02-24,11.8
2016-02-25,11.8
2016-02-26,11.8
2016-02-29,11.8
2016-03-01,11.8
2016-03-02,11.8
2016-03-03,11.8
2016-03-04,11.8
2016-03-07,12.86
2016-03-08,12.86
2016-03-09,12.92
2016-03-10,12.92
2016-03-11,12.92
2016-03-14,12.92
2016-03-15,12.92
2016-03-16,13.31
2016-03-17,13.31
2016-03-18,14.02
2016-03-21,14.02
2016-03-22,14.02
2016-03-23,14.02
2016-03-24,14.02
2016-03-28,13.29
2016-03-29,13.29
2016-03-30,13.29
2016-03-31,13.29
2016-04-01,13.29
2016-04-04,13.29
2016-04-05,13.29
2016-04-06,13.29
2016-04-07,13.29
2016-04-08,13.29
2016-04-11,13.29
2016-04-12,13.29
2016-04-13,13.73
2016-04-14,13.21
2016-04-15,13.37
2016-04-18,13.37
2016-04-19,13.37
2016-04-20,13.95
2016-04-21,13.95
2016-04-22,13.95
2016-04-25,13.95
2016-04-26,13.95
2016-04-27,13.5
2016-04-28,13.72
2016-04-29,13.72
2016-05-02,13.57
2016-05-03,13.57
2016-05-04,13.57
2016-05-05,13.5
2016-05-06,13.5
2016-05-09,13.9
2016-05-10,13.9
2016-05-11,13.9
2016-05-12,14.1
2016-05-13,14.21
2016-05-16,14.21
2016-05-17,14.26
2016-05-18,14.52
2016-05-19,14.21
2016-05-20,14.33
2016-05-23,14.33
2016-05-24,14.61
2016-05-25,14.61
2016-05-26,14.95
2016-05-27,14.95
2016-05-31,14.54
2016-06-01,14.54
2016-06-02,14.54
2016-06-03,14.54
2016-06-06,14.54
2016-06-07,14.76
2016-06-08,14.76
2016-06-09,14.44
2016-06-10,14.44
2016-06-13,14.44
2016-06-14,13.29
2016-06-15,13.29
2016-06-16,13.23
2016-06-17,13.77
2016-06-20,13.77
2016-06-21,13.77
2016-06-22,14.24
2016-06-23,14.52
2016-06-24,14.52
2016-06-27,14.52
2016-06-28,14.52
2016-06-29,12.85
2016-06-30,12.65
2016-07-01,12.65
2016-07-05,12.65
2016-07-06,12.65
2016-07-07,12.65
2016-07-08,12.65
2016-07-11,12.68
2016-07-12,12.68
2016-07-13,12.68
2016-07-14,13.43
2016-07-15,13.1
2016-07-18,13.1
2016-07-19,13.1
2016-07-20,13.1
2016-07-21,13.34
2016-07-22,13.34
