Date,XOM
1964-08-06,2.628906
1964-08-07,2.664063
1964-08-10,2.648438
1964-08-11,2.652344
1964-08-12,2.667969
1964-08-13,2.699219
1964-08-14,2.691406
1964-08-17,2.6875
1964-08-18,2.675781
1964-08-19,2.710938
1964-08-20,2.699219
1964-08-21,2.710938
1964-08-24,2.683594
1964-08-25,2.640625
1964-08-26,2.644531
1964-08-27,2.660156
1964-08-28,2.65625
1964-08-31,2.65625
1964-09-01,2.644531
1964-09-02,2.640625
1964-09-03,2.640625
1964-09-04,2.640625
1964-09-08,2.648438
1964-09-09,2.664063
1964-09-10,2.667969
1964-09-11,2.699219
1964-09-14,2.691406
1964-09-15,2.6875
1964-09-16,2.703125
1964-09-17,2.707031
1964-09-18,2.6875
1964-09-21,2.703125
1964-09-22,2.707031
1964-09-23,2.710938
1964-09-24,2.738281
1964-09-25,2.761719
1964-09-28,2.761719
1964-09-29,2.71875
1964-09-30,2.695313
1964-10-01,2.691406
1964-10-02,2.722656
1964-10-05,2.742188
1964-10-06,2.734375
1964-10-07,2.738281
1964-10-08,2.757813
1964-10-09,2.769531
1964-10-12,2.777344
1964-10-13,2.765625
1964-10-14,2.742188
1964-10-15,2.746094
1964-10-16,2.746094
1964-10-19,2.738281
1964-10-20,2.734375
1964-10-21,2.738281
1964-10-22,2.757813
1964-10-23,2.761719
1964-10-26,2.773438
1964-10-27,2.785156
1964-10-28,2.777344
1964-10-29,2.773438
1964-10-30,2.787109
1964-11-02,2.796875
1964-11-04,2.753906
1964-11-05,2.765625
1964-11-06,2.796875
1964-11-09,2.804688
1964-11-10,2.796875
1964-11-11,2.796875
1964-11-12,2.796875
1964-11-13,2.792969
1964-11-16,2.804688
1964-11-17,2.8125
1964-11-18,2.84375
1964-11-19,2.839844
1964-11-20,2.886719
1964-11-23,2.859375
1964-11-24,2.871094
1964-11-25,2.855469
1964-11-27,2.816406
1964-11-30,2.796875
1964-12-01,2.75
1964-12-02,2.726563
1964-12-03,2.746094
1964-12-04,2.773438
1964-12-07,2.78125
1964-12-08,2.773438
1964-12-09,2.746094
1964-12-10,2.757813
1964-12-11,2.769531
1964-12-14,2.753906
1964-12-15,2.738281
1964-12-16,2.746094
1964-12-17,2.757813
1964-12-18,2.78125
1964-12-21,2.789063
1964-12-22,2.796875
1964-12-23,2.8125
1964-12-24,2.8125
1964-12-28,2.816406
1964-12-29,2.796875
1964-12-30,2.804688
1964-12-31,2.816406
1965-01-04,2.765625
1965-01-05,2.777344
1965-01-06,2.789063
1965-01-07,2.800781
1965-01-08,2.804688
1965-01-11,2.792969
1965-01-12,2.804688
1965-01-13,2.800781
1965-01-14,2.804688
1965-01-15,2.808594
1965-01-18,2.816406
1965-01-19,2.8125
1965-01-20,2.8125
1965-01-21,2.8125
1965-01-22,2.8125
1965-01-25,2.792969
1965-01-26,2.796875
1965-01-27,2.800781
1965-01-28,2.769531
1965-01-29,2.730469
1965-02-01,2.722656
1965-02-02,2.738281
1965-02-03,2.710938
1965-02-04,2.679688
1965-02-05,2.660156
1965-02-08,2.664063
1965-02-09,2.660156
1965-02-10,2.640625
1965-02-11,2.53125
1965-02-12,2.546875
1965-02-15,2.550781
1965-02-16,2.558594
1965-02-17,2.527344
1965-02-18,2.539063
1965-02-19,2.527344
1965-02-23,2.53125
1965-02-24,2.554688
1965-02-25,2.5625
1965-02-26,2.558594
1965-03-01,2.535156
1965-03-02,2.546875
1965-03-03,2.523438
1965-03-04,2.496094
1965-03-05,2.464844
1965-03-08,2.453125
1965-03-09,2.4375
1965-03-10,2.429688
1965-03-11,2.429688
1965-03-12,2.460938
1965-03-15,2.480469
1965-03-16,2.492188
1965-03-17,2.492188
1965-03-18,2.464844
1965-03-19,2.464844
1965-03-22,2.46875
1965-03-23,2.46875
1965-03-24,2.476563
1965-03-25,2.472656
1965-03-26,2.46875
1965-03-29,2.464844
1965-03-30,2.457031
1965-03-31,2.453125
1965-04-01,2.457031
1965-04-02,2.460938
1965-04-05,2.457031
1965-04-06,2.464844
1965-04-07,2.457031
1965-04-08,2.4375
1965-04-09,2.441406
1965-04-12,2.417969
1965-04-13,2.421875
1965-04-14,2.433594
1965-04-15,2.414063
1965-04-19,2.40625
1965-04-20,2.410156
1965-04-21,2.457031
1965-04-22,2.5
1965-04-23,2.523438
1965-04-26,2.507813
1965-04-27,2.496094
1965-04-28,2.492188
1965-04-29,2.449219
1965-04-30,2.464844
1965-05-03,2.5
1965-05-04,2.5
1965-05-05,2.484375
1965-05-06,2.488281
1965-05-07,2.480469
1965-05-10,2.46875
1965-05-11,2.453125
1965-05-12,2.441406
1965-05-13,2.457031
1965-05-14,2.449219
