Date,COOP
2016-05-19,28.68
2016-05-20,28.08
2016-05-23,27.6
2016-05-24,27.719998999999998
2016-05-25,28.32
2016-05-26,28.200001
2016-05-27,28.08
2016-05-31,28.440001000000002
2016-06-01,28.200001
2016-06-02,28.08
2016-06-03,27.6
2016-06-06,27.959999
2016-06-07,28.440001000000002
2016-06-08,28.08
2016-06-09,27.959999
2016-06-10,28.08
2016-06-13,26.639999
2016-06-14,25.559998999999998
2016-06-15,25.32
2016-06-16,25.68
2016-06-17,25.559998999999998
2016-06-20,25.92
2016-06-21,26.879998999999998
2016-06-22,27.24
2016-06-23,28.559998999999998
2016-06-24,27.6
2016-06-27,25.92
2016-06-28,25.559998999999998
2016-06-29,25.92
2016-06-30,26.639999
2016-07-01,26.879998999999998
2016-07-05,26.639999
2016-07-06,27.0
2016-07-07,26.639999
2016-07-08,26.76
2016-07-11,26.76
2016-07-12,27.360001
2016-07-13,27.24
2016-07-14,27.0
2016-07-15,27.0
2016-07-18,27.6
2016-07-19,27.48
2016-07-20,27.6
2016-07-21,27.719998999999998
2016-07-22,27.48
2016-07-25,27.120001000000002
2016-07-26,27.719998999999998
2016-07-27,28.559998999999998
2016-07-28,29.16
2016-07-29,29.040001
2016-08-01,29.4
2016-08-02,28.799999
2016-08-03,29.040001
2016-08-04,28.559998999999998
2016-08-05,27.959999
2016-08-08,27.959999
2016-08-09,27.719998999999998
2016-08-10,27.6
2016-08-11,27.84
2016-08-12,27.959999
2016-08-15,28.440001000000002
2016-08-16,28.200001
2016-08-17,27.48
2016-08-18,27.84
2016-08-19,27.6
2016-08-22,27.719998999999998
2016-08-23,28.08
2016-08-24,27.719998999999998
2016-08-25,28.08
2016-08-26,28.200001
2016-08-29,28.440001000000002
2016-08-30,28.68
2016-08-31,29.879998999999998
2016-09-01,29.76
2016-09-02,29.4
2016-09-06,29.879998999999998
2016-09-07,29.280001000000002
2016-09-08,29.879998999999998
2016-09-09,29.639999
2016-09-12,29.76
2016-09-13,29.4
2016-09-14,29.52
2016-09-15,29.4
2016-09-16,28.559998999999998
2016-09-19,28.559998999999998
2016-09-20,28.08
2016-09-21,28.08
2016-09-22,27.6
2016-09-23,27.360001
2016-09-26,27.360001
2016-09-27,27.24
2016-09-28,26.879998999999998
2016-09-29,27.0
2016-09-30,28.08
2016-10-03,27.360001
2016-10-04,26.879998999999998
2016-10-05,26.280001000000002
2016-10-06,26.16
2016-10-07,26.16
2016-10-10,26.879998999999998
2016-10-11,26.16
2016-10-12,26.16
2016-10-13,26.16
2016-10-14,25.68
2016-10-17,25.200001
2016-10-18,25.799999
2016-10-19,25.799999
2016-10-20,25.200001
2016-10-21,24.6
2016-10-24,24.6
2016-10-25,25.200001
2016-10-26,25.200001
2016-10-27,24.6
2016-10-28,25.200001
2016-10-31,25.200001
2016-11-01,24.6
2016-11-02,24.0
2016-11-03,24.0
2016-11-04,24.0
2016-11-07,24.6
2016-11-08,22.799999
2016-11-09,20.4
2016-11-10,19.799999
2016-11-11,18.0
2016-11-14,18.0
2016-11-15,18.0
2016-11-16,19.799999
2016-11-17,19.799999
2016-11-18,19.200001
2016-11-21,19.200001
2016-11-22,20.4
2016-11-23,20.4
2016-11-25,21.0
2016-11-28,20.4
2016-11-29,19.799999
2016-11-30,20.4
2016-12-01,20.4
2016-12-02,18.6
2016-12-05,18.959999
2016-12-06,19.799999
2016-12-07,18.6
2016-12-08,18.6
2016-12-09,18.6
2016-12-12,18.6
2016-12-13,18.0
2016-12-14,18.0
2016-12-15,17.4
2016-12-16,18.0
