Date,DLR
2013-01-09,69.0
2013-01-10,69.220001
2013-01-11,69.839996
2013-01-14,70.529999
2013-01-15,71.160004
2013-01-16,70.779999
2013-01-17,70.57
2013-01-18,71.489998
2013-01-22,71.139999
2013-01-23,70.58000200000001
2013-01-24,70.16999799999999
2013-01-25,72.339996
2013-01-28,72.730003
2013-01-29,70.75
2013-01-30,70.099998
2013-01-31,67.910004
2013-02-01,68.209999
2013-02-04,68.290001
2013-02-05,67.379997
2013-02-06,66.309998
2013-02-07,65.150002
2013-02-08,65.400002
2013-02-11,65.209999
2013-02-12,65.690002
2013-02-13,65.5
2013-02-14,65.370003
2013-02-15,63.650002
2013-02-19,64.620003
2013-02-20,65.970001
2013-02-21,66.16999799999999
2013-02-22,67.110001
2013-02-25,66.510002
2013-02-26,65.91999799999999
2013-02-27,66.129997
2013-02-28,66.980003
2013-03-01,67.660004
2013-03-04,67.800003
2013-03-05,68.010002
2013-03-06,68.25
2013-03-07,68.029999
2013-03-08,68.519997
2013-03-11,68.660004
2013-03-12,68.370003
2013-03-13,68.0
2013-03-14,68.300003
2013-03-15,67.449997
2013-03-18,67.029999
2013-03-19,66.209999
2013-03-20,65.900002
2013-03-21,66.150002
2013-03-22,65.900002
2013-03-25,66.589996
2013-03-26,67.08000200000001
2013-03-27,67.010002
2013-03-28,66.910004
2013-04-01,66.5
2013-04-02,66.379997
2013-04-03,65.980003
2013-04-04,67.559998
2013-04-05,68.349998
2013-04-08,69.849998
2013-04-09,70.440002
2013-04-10,70.949997
2013-04-11,71.16999799999999
2013-04-12,71.309998
2013-04-15,70.18
2013-04-16,71.540001
2013-04-17,71.809998
2013-04-18,71.970001
2013-04-19,73.769997
2013-04-22,73.25
2013-04-23,73.650002
2013-04-24,72.599998
2013-04-25,71.839996
2013-04-26,69.860001
2013-04-29,69.91999799999999
2013-04-30,70.519997
2013-05-01,69.860001
2013-05-02,69.16999799999999
2013-05-03,68.400002
2013-05-06,68.5
2013-05-07,68.870003
2013-05-08,69.019997
2013-05-09,66.07
2013-05-10,65.510002
2013-05-13,66.720001
2013-05-14,65.449997
2013-05-15,63.759997999999996
2013-05-16,63.52
2013-05-17,63.029999
2013-05-20,63.299999
2013-05-21,64.07
2013-05-22,62.59
2013-05-23,62.990002000000004
2013-05-24,63.029999
2013-05-28,62.040001000000004
2013-05-29,60.93
2013-05-30,61.23
2013-05-31,60.91
2013-06-03,59.18
2013-06-04,58.799999
2013-06-05,61.790001000000004
2013-06-06,62.389998999999996
2013-06-07,60.400002
2013-06-10,61.529999
2013-06-11,61.09
2013-06-12,58.599998
2013-06-13,59.619999
2013-06-14,61.209998999999996
2013-06-17,61.549999
2013-06-18,61.529999
2013-06-19,58.990002000000004
2013-06-20,56.279999
2013-06-21,58.34
2013-06-24,57.73
2013-06-25,58.220001
2013-06-26,59.349998
2013-06-27,60.27
2013-06-28,61.0
2013-07-01,60.0
2013-07-02,60.209998999999996
2013-07-03,60.169998
2013-07-05,59.419998
2013-07-08,59.299999
2013-07-09,60.380001
2013-07-10,61.25
2013-07-11,64.58000200000001
2013-07-12,63.529999
2013-07-15,63.650002
2013-07-16,63.869999
2013-07-17,63.98
2013-07-18,64.360001
2013-07-19,64.400002
2013-07-22,64.5
2013-07-23,64.25
2013-07-24,63.139998999999996
2013-07-25,62.990002000000004
2013-07-26,58.279999
2013-07-29,57.32
2013-07-30,56.73
2013-07-31,55.290001000000004
2013-08-01,54.700001
2013-08-02,54.330002
2013-08-05,55.009997999999996
2013-08-06,55.459998999999996
2013-08-07,55.639998999999996
2013-08-08,55.419998
2013-08-09,56.27
2013-08-12,55.200001
2013-08-13,54.580002
2013-08-14,54.25
2013-08-15,53.380001
2013-08-16,52.299999
2013-08-19,51.060001
2013-08-20,52.689999
2013-08-21,52.580002
2013-08-22,53.299999
2013-08-23,54.73
2013-08-26,54.630001
2013-08-27,55.41
2013-08-28,55.27
2013-08-29,55.68
2013-08-30,55.599998
2013-09-03,54.099998
2013-09-04,52.779999
2013-09-05,51.580002
2013-09-06,51.880001
2013-09-09,52.669998
2013-09-10,53.369999
2013-09-11,54.560001
2013-09-12,54.259997999999996
2013-09-13,54.509997999999996
2013-09-16,54.619999
2013-09-17,55.049999
2013-09-18,57.639998999999996
2013-09-19,56.939999
2013-09-20,55.130001
2013-09-23,55.740002000000004
2013-09-24,55.77
2013-09-25,55.52
2013-09-26,56.029999
2013-09-27,54.650002
2013-09-30,53.099998
2013-10-01,54.419998
2013-10-02,54.560001
2013-10-03,52.82
2013-10-04,52.5
2013-10-07,53.939999
2013-10-08,52.5
2013-10-09,52.810001
2013-10-10,53.889998999999996
2013-10-11,55.25
2013-10-14,54.619999
2013-10-15,54.389998999999996
2013-10-16,54.990002000000004
2013-10-17,57.279999
2013-10-18,56.240002000000004
