Date,BPOP
1982-10-18,3.083333
1982-10-19,3.083333
1982-10-20,3.083333
1982-10-21,3.083333
1982-10-22,3.083333
1982-10-25,3.083333
1982-10-26,3.083333
1982-10-27,3.083333
1982-10-28,3.083333
1982-10-29,3.083333
1982-11-01,3.083333
1982-11-02,3.083333
1982-11-03,3.083333
1982-11-04,3.125
1982-11-05,3.125
1982-11-08,3.125
1982-11-09,3.166667
1982-11-10,3.166667
1982-11-11,3.166667
1982-11-12,3.25
1982-11-15,3.25
1982-11-16,3.25
1982-11-17,3.25
1982-11-18,3.25
1982-11-19,3.25
1982-11-22,3.25
1982-11-23,3.25
1982-11-24,3.25
1982-11-26,3.25
1982-11-29,3.25
1982-11-30,3.25
1982-12-01,3.25
1982-12-02,3.25
1982-12-03,3.25
1982-12-06,3.25
1982-12-07,3.25
1982-12-08,3.333333
1982-12-09,3.333333
1982-12-10,3.333333
1982-12-13,3.416667
1982-12-14,3.666667
1982-12-15,3.916667
1982-12-16,4.0
1982-12-17,4.0833330000000005
1982-12-20,4.0833330000000005
1982-12-21,4.0833330000000005
1982-12-22,4.0833330000000005
1982-12-23,4.1666669999999995
1982-12-27,4.0833330000000005
1982-12-28,4.0
1982-12-29,4.0
1982-12-30,4.0
1982-12-31,4.0
1983-01-03,4.0
1983-01-04,4.0
1983-01-05,3.833333
1983-01-06,3.833333
1983-01-07,3.833333
1983-01-10,3.833333
1983-01-11,3.833333
1983-01-12,3.833333
1983-01-13,3.666667
1983-01-14,3.583333
1983-01-17,3.666667
1983-01-18,3.75
1983-01-19,3.833333
1983-01-20,3.833333
1983-01-21,3.833333
1983-01-24,3.666667
1983-01-25,3.583333
1983-01-26,3.583333
1983-01-27,3.583333
1983-01-28,3.583333
1983-01-31,3.583333
1983-02-01,3.583333
1983-02-02,3.583333
1983-02-03,3.583333
1983-02-04,3.583333
1983-02-07,3.416667
1983-02-08,3.416667
1983-02-09,3.416667
1983-02-10,3.5
1983-02-11,3.5
1983-02-14,3.5
1983-02-15,3.5
1983-02-16,3.5
1983-02-17,3.5
1983-02-18,3.5
1983-02-22,3.5
1983-02-23,3.416667
1983-02-24,3.416667
1983-02-25,3.416667
1983-02-28,3.416667
1983-03-01,3.5
1983-03-02,3.5
1983-03-03,3.5
1983-03-04,3.5
1983-03-07,3.583333
1983-03-08,3.583333
1983-03-09,3.833333
1983-03-10,4.0
1983-03-11,4.0
1983-03-14,4.0
1983-03-15,4.1666669999999995
1983-03-16,4.125
1983-03-17,4.0833330000000005
1983-03-18,4.0833330000000005
1983-03-21,4.0833330000000005
1983-03-22,4.0833330000000005
1983-03-23,4.0833330000000005
1983-03-24,4.0833330000000005
1983-03-25,4.0833330000000005
1983-03-28,4.0833330000000005
1983-03-29,4.0833330000000005
1983-03-30,4.0833330000000005
1983-03-31,3.958333
1983-04-04,4.0
1983-04-05,3.916667
1983-04-06,3.916667
1983-04-07,3.916667
1983-04-08,3.916667
1983-04-11,4.0
1983-04-12,4.3333330000000005
1983-04-13,4.3333330000000005
1983-04-14,4.5
1983-04-15,4.5
1983-04-18,4.375
1983-04-19,4.3333330000000005
1983-04-20,4.3333330000000005
1983-04-21,4.3333330000000005
1983-04-22,4.3333330000000005
1983-04-25,4.3333330000000005
1983-04-26,4.3333330000000005
1983-04-27,4.2916669999999995
1983-04-28,4.2916669999999995
1983-04-29,4.1666669999999995
1983-05-02,4.25
1983-05-03,4.25
1983-05-04,4.2083330000000005
1983-05-05,4.2083330000000005
1983-05-06,4.2083330000000005
1983-05-09,4.2083330000000005
1983-05-10,4.1666669999999995
1983-05-11,4.1666669999999995
1983-05-12,4.25
1983-05-13,4.3333330000000005
1983-05-16,4.3333330000000005
1983-05-17,4.3333330000000005
1983-05-18,4.375
1983-05-19,4.375
1983-05-20,4.375
1983-05-23,4.3333330000000005
1983-05-24,4.3333330000000005
1983-05-25,4.3333330000000005
1983-05-26,4.3333330000000005
1983-05-27,4.4166669999999995
1983-05-31,4.4166669999999995
1983-06-01,4.4166669999999995
1983-06-02,4.4166669999999995
1983-06-03,4.4583330000000005
1983-06-06,4.7083330000000005
1983-06-07,4.625
1983-06-08,4.625
1983-06-09,4.625
1983-06-10,4.625
1983-06-13,4.625
1983-06-14,4.5833330000000005
1983-06-15,4.5833330000000005
1983-06-16,4.75
1983-06-17,4.75
1983-06-20,4.75
1983-06-21,4.625
1983-06-22,4.5
1983-06-23,4.5
1983-06-24,4.6666669999999995
1983-06-27,4.6666669999999995
1983-06-28,4.5833330000000005
1983-06-29,4.5833330000000005
1983-06-30,4.5833330000000005
1983-07-01,4.5833330000000005
1983-07-05,4.6666669999999995
1983-07-06,4.625
1983-07-07,4.625
1983-07-08,4.625
1983-07-11,4.625
1983-07-12,4.6666669999999995
1983-07-13,4.7083330000000005
1983-07-14,4.7083330000000005
1983-07-15,4.7083330000000005
1983-07-18,4.7083330000000005
1983-07-19,4.7083330000000005
1983-07-20,4.7083330000000005
1983-07-21,4.7083330000000005
1983-07-22,4.7083330000000005
1983-07-25,4.7083330000000005
1983-07-26,4.7083330000000005
1983-07-27,4.7083330000000005
1983-07-28,4.7083330000000005
1983-07-29,4.7083330000000005
1983-08-01,4.7083330000000005
1983-08-02,4.7083330000000005
1983-08-03,4.7083330000000005
1983-08-04,4.7083330000000005
1983-08-05,4.75
1983-08-08,4.75
1983-08-09,4.75
1983-08-10,4.75
1983-08-11,4.75
1983-08-12,4.75
1983-08-15,4.75
1983-08-16,4.75
1983-08-17,4.6666669999999995
1983-08-18,4.75
1983-08-19,4.75
1983-08-22,4.5
1983-08-23,4.5833330000000005
1983-08-24,4.5833330000000005
1983-08-25,4.5833330000000005
1983-08-26,4.5833330000000005
1983-08-29,4.5833330000000005
1983-08-30,4.5833330000000005
1983-08-31,4.625
1983-09-01,4.625
1983-09-02,4.625
1983-09-06,4.5833330000000005
1983-09-07,4.5833330000000005
1983-09-08,4.5
1983-09-09,4.5416669999999995
1983-09-12,4.5416669999999995
1983-09-13,4.5416669999999995
1983-09-14,4.5833330000000005
1983-09-15,4.5833330000000005
1983-09-16,4.5833330000000005
1983-09-19,4.5833330000000005
1983-09-20,4.5833330000000005
1983-09-21,4.5833330000000005
1983-09-22,4.5
1983-09-23,4.75
1983-09-26,4.75
1983-09-27,4.75
1983-09-28,4.75
1983-09-29,4.75
1983-09-30,4.75
1983-10-03,4.75
1983-10-04,4.75
1983-10-05,4.75
1983-10-06,4.8333330000000005
1983-10-07,4.8333330000000005
1983-10-10,4.8333330000000005
1983-10-11,4.8333330000000005
1983-10-12,4.8333330000000005
1983-10-13,5.0
1983-10-14,5.0833330000000005
1983-10-17,5.0833330000000005
1983-10-18,5.0833330000000005
1983-10-19,5.0833330000000005
1983-10-20,5.1666669999999995
1983-10-21,5.0833330000000005
1983-10-24,5.0833330000000005
1983-10-25,5.0833330000000005
1983-10-26,5.0833330000000005
1983-10-27,5.0833330000000005
1983-10-28,5.0833330000000005
1983-10-31,5.0833330000000005
1983-11-01,5.0
1983-11-02,5.0
1983-11-03,5.0
1983-11-04,5.0
1983-11-07,4.9166669999999995
1983-11-08,4.75
1983-11-09,4.75
1983-11-10,4.75
1983-11-11,4.75
1983-11-14,4.75
1983-11-15,4.75
1983-11-16,4.75
1983-11-17,4.9166669999999995
1983-11-18,4.9166669999999995
1983-11-21,4.8333330000000005
1983-11-22,4.9166669999999995
1983-11-23,4.9166669999999995
1983-11-25,4.9166669999999995
1983-11-28,4.9166669999999995
1983-11-29,4.9166669999999995
1983-11-30,4.9583330000000005
