Date,PANW
2015-02-26,143.050003
2015-02-27,142.220001
2015-03-02,145.979996
2015-03-03,148.899994
2015-03-04,143.509995
2015-03-05,143.139999
2015-03-06,140.729996
2015-03-09,138.729996
2015-03-10,138.550003
2015-03-11,140.559998
2015-03-12,141.33999599999999
2015-03-13,141.33999599999999
2015-03-16,144.130005
2015-03-17,144.919998
2015-03-18,145.16000400000001
2015-03-19,146.190002
2015-03-20,144.080002
2015-03-23,141.320007
2015-03-24,140.279999
2015-03-25,138.619995
2015-03-26,141.449997
2015-03-27,146.440002
2015-03-30,148.610001
2015-03-31,146.080002
2015-04-01,141.529999
2015-04-02,141.809998
2015-04-06,141.639999
2015-04-07,144.830002
2015-04-08,147.270004
2015-04-09,146.050003
2015-04-10,147.970001
2015-04-13,145.149994
2015-04-14,144.53999299999998
2015-04-15,144.71000700000002
2015-04-16,146.78999299999998
2015-04-17,142.5
2015-04-20,146.509995
2015-04-21,154.369995
2015-04-22,153.869995
2015-04-23,154.779999
2015-04-24,153.83999599999999
2015-04-27,153.830002
2015-04-28,153.279999
2015-04-29,152.020004
2015-04-30,147.720001
2015-05-01,150.820007
2015-05-04,152.770004
2015-05-05,147.029999
2015-05-06,145.800003
2015-05-07,149.41000400000001
2015-05-08,151.100006
2015-05-11,151.820007
2015-05-12,151.669998
2015-05-13,151.479996
2015-05-14,153.71000700000002
2015-05-15,154.720001
2015-05-18,157.729996
2015-05-19,158.330002
2015-05-20,158.520004
2015-05-21,160.139999
2015-05-22,162.869995
2015-05-26,163.83999599999999
2015-05-27,160.649994
2015-05-28,166.369995
2015-05-29,169.490005
2015-06-01,170.5
2015-06-02,168.5
2015-06-03,169.190002
2015-06-04,168.75
2015-06-05,173.58999599999999
2015-06-08,172.820007
2015-06-09,171.979996
2015-06-10,174.669998
2015-06-11,174.630005
2015-06-12,175.850006
2015-06-15,176.83999599999999
2015-06-16,176.699997
2015-06-17,180.639999
2015-06-18,182.880005
2015-06-19,184.080002
2015-06-22,184.03999299999998
2015-06-23,181.929993
2015-06-24,179.139999
2015-06-25,178.820007
2015-06-26,175.259995
2015-06-29,171.850006
2015-06-30,174.699997
2015-07-01,176.139999
2015-07-02,173.899994
2015-07-06,175.320007
2015-07-07,171.509995
2015-07-08,172.479996
2015-07-09,174.809998
2015-07-10,180.800003
2015-07-13,181.130005
2015-07-14,184.25
2015-07-15,185.139999
2015-07-16,190.059998
2015-07-17,191.25
2015-07-20,190.029999
2015-07-21,192.070007
2015-07-22,192.399994
2015-07-23,197.08999599999999
2015-07-24,196.880005
2015-07-27,186.28999299999998
2015-07-28,186.830002
2015-07-29,183.649994
2015-07-30,185.190002
2015-07-31,185.830002
2015-08-03,184.91000400000001
2015-08-04,185.5
2015-08-05,190.270004
2015-08-06,174.490005
2015-08-07,175.520004
2015-08-10,176.96000700000002
2015-08-11,173.929993
2015-08-12,171.0
2015-08-13,172.759995
2015-08-14,173.53999299999998
2015-08-17,175.770004
2015-08-18,173.649994
2015-08-19,174.119995
2015-08-20,160.619995
2015-08-21,158.990005
2015-08-24,155.009995
2015-08-25,158.399994
2015-08-26,167.949997
2015-08-27,167.779999
2015-08-28,168.0
2015-08-31,164.220001
2015-09-01,161.850006
2015-09-02,163.58999599999999
2015-09-03,162.03999299999998
2015-09-04,162.389999
2015-09-08,166.470001
2015-09-09,165.169998
2015-09-10,177.399994
2015-09-11,177.389999
2015-09-14,179.53999299999998
2015-09-15,183.190002
2015-09-16,182.550003
2015-09-17,184.279999
2015-09-18,184.979996
2015-09-21,185.399994
2015-09-22,180.08999599999999
2015-09-23,179.300003
2015-09-24,180.770004
2015-09-25,180.809998
2015-09-28,175.699997
2015-09-29,167.809998
2015-09-30,172.0
2015-10-01,171.66000400000001
2015-10-02,175.21000700000002
2015-10-05,177.240005
2015-10-06,174.119995
2015-10-07,174.979996
2015-10-08,169.58999599999999
2015-10-09,171.880005
2015-10-12,167.809998
2015-10-13,167.130005
2015-10-14,164.320007
2015-10-15,170.66000400000001
2015-10-16,171.779999
2015-10-19,167.96000700000002
2015-10-20,166.059998
2015-10-21,159.809998
2015-10-22,166.139999
2015-10-23,159.199997
2015-10-26,154.110001
2015-10-27,158.600006
2015-10-28,163.850006
2015-10-29,157.899994
2015-10-30,161.0
2015-11-02,164.130005
2015-11-03,167.279999
2015-11-04,166.41000400000001
2015-11-05,159.929993
2015-11-06,161.820007
2015-11-09,161.21000700000002
2015-11-10,157.28999299999998
2015-11-11,155.779999
2015-11-12,156.699997
2015-11-13,156.639999
2015-11-16,158.75
2015-11-17,163.169998
2015-11-18,163.669998
2015-11-19,167.389999
2015-11-20,170.970001
2015-11-23,172.020004
2015-11-24,182.850006
2015-11-25,182.21000700000002
2015-11-27,185.91000400000001
2015-11-30,187.33999599999999
2015-12-01,188.940002
2015-12-02,190.78999299999998
2015-12-03,187.619995
2015-12-04,191.669998
2015-12-07,192.050003
2015-12-08,193.53999299999998
2015-12-09,190.080002
2015-12-10,189.990005
2015-12-11,185.029999
2015-12-14,183.690002
2015-12-15,185.75
2015-12-16,187.279999
2015-12-17,186.570007
2015-12-18,182.889999
2015-12-21,182.110001
2015-12-22,181.649994
2015-12-23,181.300003
2015-12-24,178.729996
2015-12-28,176.639999
2015-12-29,177.770004
2015-12-30,176.78999299999998
