Date,SUN
2015-11-04,33.509997999999996
2015-11-05,36.150002
2015-11-06,36.0
2015-11-09,35.25
2015-11-10,35.18
2015-11-11,34.369999
2015-11-12,33.68
2015-11-13,33.130001
2015-11-16,34.970001
2015-11-17,35.990002000000004
2015-11-18,37.889998999999996
2015-11-19,39.25
2015-11-20,38.400002
2015-11-23,38.41
2015-11-24,38.16
2015-11-25,37.860001000000004
2015-11-27,37.77
2015-11-30,37.200001
2015-12-01,37.029999
2015-12-02,36.709998999999996
2015-12-03,36.759997999999996
2015-12-04,36.25
2015-12-07,35.669998
2015-12-08,35.029999
2015-12-09,36.07
2015-12-10,37.470001
2015-12-11,36.009997999999996
2015-12-14,35.470001
2015-12-15,36.040001000000004
2015-12-16,36.98
2015-12-17,36.0
2015-12-18,35.200001
2015-12-21,35.490002000000004
2015-12-22,36.950001
2015-12-23,39.060001
2015-12-24,38.880001
2015-12-28,37.700001
2015-12-29,38.450001
2015-12-30,39.23
2015-12-31,39.610001000000004
2016-01-04,39.59
2016-01-05,39.540001000000004
2016-01-06,38.330002
2016-01-07,37.290001000000004
2016-01-08,36.689999
2016-01-11,35.02
2016-01-12,34.580002
2016-01-13,33.189999
2016-01-14,34.48
2016-01-15,34.900002
2016-01-19,32.150002
2016-01-20,29.27
2016-01-21,28.190001000000002
2016-01-22,30.120001000000002
2016-01-25,30.379998999999998
2016-01-26,32.650002
2016-01-27,33.82
2016-01-28,34.139998999999996
2016-01-29,34.009997999999996
2016-02-01,33.470001
2016-02-02,32.700001
2016-02-03,30.34
2016-02-04,31.280001000000002
2016-02-05,29.129998999999998
2016-02-08,24.459999
2016-02-09,23.51
2016-02-10,23.809998999999998
2016-02-11,23.200001
2016-02-12,24.139999
2016-02-16,28.16
2016-02-17,29.790001
2016-02-18,29.780001000000002
2016-02-19,29.52
2016-02-22,30.959999
2016-02-23,30.24
2016-02-24,30.59
2016-02-25,29.18
2016-02-26,30.82
2016-02-29,30.049999
2016-03-01,30.74
2016-03-02,32.869999
2016-03-03,33.0
2016-03-04,32.759997999999996
2016-03-07,33.470001
2016-03-08,32.580002
2016-03-09,32.25
2016-03-10,32.189999
2016-03-11,33.259997999999996
2016-03-14,32.779999
2016-03-15,33.09
2016-03-16,33.529999
2016-03-17,33.830002
2016-03-18,33.509997999999996
2016-03-21,33.5
2016-03-22,33.419998
2016-03-23,32.23
2016-03-24,32.259997999999996
2016-03-28,32.41
2016-03-29,32.560001
2016-03-30,32.869999
2016-03-31,33.130001
2016-04-01,32.349998
2016-04-04,31.870001000000002
2016-04-05,31.799999
2016-04-06,32.48
2016-04-07,32.299999
2016-04-08,32.290001000000004
2016-04-11,32.080002
2016-04-12,33.779999
2016-04-13,33.669998
2016-04-14,33.580002
2016-04-15,32.740002000000004
2016-04-18,33.720001
2016-04-19,34.57
2016-04-20,35.349998
2016-04-21,34.650002
2016-04-22,36.060001
2016-04-25,35.240002000000004
2016-04-26,35.91
2016-04-27,36.330002
2016-04-28,36.290001000000004
2016-04-29,35.889998999999996
2016-05-02,35.43
2016-05-03,34.900002
2016-05-04,34.0
2016-05-05,33.610001000000004
2016-05-06,33.049999
2016-05-09,32.540001000000004
2016-05-10,33.029999
2016-05-11,33.860001000000004
2016-05-12,33.599998
2016-05-13,33.330002
2016-05-16,33.970001
2016-05-17,33.369999
2016-05-18,32.68
2016-05-19,32.439999
2016-05-20,33.48
2016-05-23,33.650002
2016-05-24,33.82
2016-05-25,33.77
2016-05-26,33.400002
2016-05-27,33.57
2016-05-31,33.169998
2016-06-01,33.75
2016-06-02,33.77
2016-06-03,33.27
2016-06-06,33.700001
2016-06-07,33.720001
2016-06-08,30.940001000000002
2016-06-09,29.82
2016-06-10,29.48
2016-06-13,29.299999
2016-06-14,29.280001000000002
2016-06-15,29.32
2016-06-16,28.959999
2016-06-17,30.059998999999998
2016-06-20,29.9
2016-06-21,30.9
2016-06-22,30.16
2016-06-23,30.82
2016-06-24,30.059998999999998
2016-06-27,29.18
2016-06-28,30.0
2016-06-29,30.540001
2016-06-30,29.950001
2016-07-01,29.290001
2016-07-05,28.969998999999998
2016-07-06,28.43
2016-07-07,27.540001
2016-07-08,28.719998999999998
2016-07-11,29.5
2016-07-12,30.02
2016-07-13,29.76
2016-07-14,30.059998999999998
2016-07-15,30.030001000000002
2016-07-18,30.02
2016-07-19,30.25
2016-07-20,30.379998999999998
2016-07-21,30.5
2016-07-22,30.629998999999998
2016-07-25,30.870001000000002
2016-07-26,30.76
2016-07-27,30.9
2016-07-28,30.870001000000002
2016-07-29,31.0
2016-08-01,31.0
2016-08-02,31.120001000000002
2016-08-03,30.9
2016-08-04,29.01
2016-08-05,30.25
2016-08-08,30.35
2016-08-09,30.059998999999998
2016-08-10,29.959999
2016-08-11,29.67
2016-08-12,30.59
2016-08-15,30.629998999999998
2016-08-16,30.66
2016-08-17,30.799999
2016-08-18,31.08
2016-08-19,30.83
2016-08-22,30.65
2016-08-23,30.74
2016-08-24,30.18
2016-08-25,30.040001
2016-08-26,30.049999
2016-08-29,30.540001
2016-08-30,30.24
2016-08-31,29.780001000000002
2016-09-01,29.809998999999998
2016-09-02,29.98
2016-09-06,30.530001000000002
2016-09-07,30.6
2016-09-08,30.719998999999998
2016-09-09,29.77
2016-09-12,30.139999
2016-09-13,29.879998999999998
2016-09-14,29.93
2016-09-15,29.83
2016-09-16,29.24
2016-09-19,29.34
2016-09-20,29.059998999999998
2016-09-21,29.799999
2016-09-22,29.93
2016-09-23,30.16
2016-09-26,29.75
2016-09-27,29.530001000000002
2016-09-28,29.690001000000002
2016-09-29,29.18
2016-09-30,29.01
2016-10-03,29.190001000000002
2016-10-04,28.77
2016-10-05,28.41
2016-10-06,28.51
2016-10-07,28.379998999999998
2016-10-10,28.84
2016-10-11,28.639999
2016-10-12,28.549999
2016-10-13,28.33
2016-10-14,28.309998999999998
2016-10-17,28.67
2016-10-18,28.77
2016-10-19,28.799999
2016-10-20,29.049999
2016-10-21,29.32
2016-10-24,29.34
2016-10-25,28.92
2016-10-26,28.41
2016-10-27,28.51
2016-10-28,28.43
2016-10-31,28.49
2016-11-01,28.459999
2016-11-02,27.92
2016-11-03,26.52
2016-11-04,26.26
2016-11-07,26.860001
2016-11-08,25.65
2016-11-09,27.120001000000002
2016-11-10,24.98
2016-11-11,24.530001000000002
2016-11-14,23.9
2016-11-15,24.940001000000002
2016-11-16,24.65
2016-11-17,24.27
2016-11-18,23.809998999999998
2016-11-21,22.91
2016-11-22,21.27
2016-11-23,21.440001000000002
2016-11-25,21.799999
2016-11-28,21.209999
2016-11-29,21.42
2016-11-30,24.1
2016-12-01,23.75
2016-12-02,24.51
2016-12-05,24.99
2016-12-06,24.440001000000002
2016-12-07,24.219998999999998
2016-12-08,24.309998999999998
2016-12-09,24.540001
2016-12-12,24.73
2016-12-13,24.799999
2016-12-14,24.24
2016-12-15,24.290001
2016-12-16,24.459999
2016-12-19,24.07
2016-12-20,22.139999
2016-12-21,23.540001
2016-12-22,26.52
2016-12-23,26.98
2016-12-27,27.23
2016-12-28,26.629998999999998
2016-12-29,26.700001
2016-12-30,26.889999
2017-01-03,27.0
2017-01-04,27.450001
2017-01-05,27.200001
2017-01-06,26.83
2017-01-09,27.370001000000002
2017-01-10,26.75
2017-01-11,27.040001
2017-01-12,26.879998999999998
2017-01-13,26.65
2017-01-17,26.76
2017-01-18,26.68
2017-01-19,26.66
2017-01-20,26.700001
2017-01-23,26.9
2017-01-24,27.48
2017-01-25,27.92
2017-01-26,28.370001000000002
2017-01-27,28.48
2017-01-30,28.5
2017-01-31,28.299999
2017-02-01,28.24
2017-02-02,29.0
2017-02-03,29.559998999999998
2017-02-06,29.940001000000002
2017-02-07,29.73
2017-02-08,29.58
2017-02-09,29.17
2017-02-10,28.719998999999998
2017-02-13,28.059998999999998
2017-02-14,28.57
2017-02-15,28.07
2017-02-16,28.51
2017-02-17,28.040001
2017-02-21,28.370001000000002
2017-02-22,27.780001000000002
2017-02-23,27.559998999999998
2017-02-24,27.51
2017-02-27,26.52
2017-02-28,25.610001
2017-03-01,25.01
2017-03-02,25.370001000000002
2017-03-03,25.27
2017-03-06,25.059998999999998
2017-03-07,24.43
2017-03-08,23.709999
2017-03-09,23.35
2017-03-10,23.91
