Date,THS
2009-01-14,26.139999
2009-01-15,26.120001000000002
2009-01-16,27.110001
2009-01-20,26.6
2009-01-21,27.18
2009-01-22,26.780001000000002
2009-01-23,26.959999
2009-01-26,27.309998999999998
2009-01-27,27.4
2009-01-28,27.51
2009-01-29,26.969998999999998
2009-01-30,26.389999
2009-02-02,26.440001000000002
2009-02-03,26.32
2009-02-04,26.49
2009-02-05,27.049999
2009-02-06,26.68
2009-02-09,27.389999
2009-02-10,26.73
2009-02-11,24.879998999999998
2009-02-12,25.25
2009-02-13,27.969998999999998
2009-02-17,28.139999
2009-02-18,27.889999
2009-02-19,28.030001000000002
2009-02-20,28.18
2009-02-23,27.25
2009-02-24,27.76
2009-02-25,27.02
2009-02-26,26.73
2009-02-27,26.690001000000002
2009-03-02,26.73
2009-03-03,26.35
2009-03-04,26.700001
2009-03-05,25.799999
2009-03-06,26.559998999999998
2009-03-09,26.74
2009-03-10,27.5
2009-03-11,26.66
2009-03-12,28.120001000000002
2009-03-13,28.459999
2009-03-16,28.620001000000002
2009-03-17,28.959999
2009-03-18,28.049999
2009-03-19,27.68
2009-03-20,27.66
2009-03-23,28.82
2009-03-24,28.209999
2009-03-25,28.49
2009-03-26,28.299999
2009-03-27,28.9
2009-03-30,29.02
2009-03-31,28.790001
2009-04-01,28.799999
2009-04-02,28.93
2009-04-03,28.559998999999998
2009-04-06,27.93
2009-04-07,27.83
2009-04-08,27.68
2009-04-09,27.15
2009-04-13,27.280001000000002
2009-04-14,26.99
2009-04-15,26.73
2009-04-16,27.120001000000002
2009-04-17,27.1
2009-04-20,27.01
2009-04-21,27.059998999999998
2009-04-22,26.700001
2009-04-23,26.620001000000002
2009-04-24,26.1
2009-04-27,25.360001
2009-04-28,26.700001
2009-04-29,26.950001
2009-04-30,26.59
2009-05-01,26.82
2009-05-04,27.32
2009-05-05,27.1
2009-05-06,26.85
2009-05-07,26.76
2009-05-08,28.0
2009-05-11,27.889999
2009-05-12,28.0
2009-05-13,27.969998999999998
2009-05-14,28.040001
2009-05-15,27.73
2009-05-18,28.030001000000002
2009-05-19,27.879998999999998
2009-05-20,27.190001000000002
2009-05-21,27.440001000000002
2009-05-22,26.82
2009-05-26,26.950001
2009-05-27,26.809998999999998
2009-05-28,26.200001
2009-05-29,26.73
2009-06-01,26.4
2009-06-02,27.370001000000002
2009-06-03,27.43
2009-06-04,27.5
2009-06-05,27.35
2009-06-08,27.27
2009-06-09,27.41
2009-06-10,27.379998999999998
2009-06-11,27.17
2009-06-12,27.450001
2009-06-15,27.299999
2009-06-16,26.85
2009-06-17,27.620001000000002
2009-06-18,28.129998999999998
2009-06-19,28.610001
2009-06-22,28.190001000000002
2009-06-23,28.51
2009-06-24,28.57
2009-06-25,28.98
2009-06-26,29.09
2009-06-29,28.469998999999998
2009-06-30,28.77
2009-07-01,29.77
2009-07-02,28.85
2009-07-06,29.15
2009-07-07,29.049999
2009-07-08,29.0
2009-07-09,28.299999
2009-07-10,28.440001000000002
2009-07-13,28.209999
2009-07-14,28.290001
2009-07-15,29.059998999999998
2009-07-16,29.18
2009-07-17,29.76
2009-07-20,29.77
2009-07-21,30.139999
2009-07-22,30.27
2009-07-23,31.24
2009-07-24,31.299999
2009-07-27,31.84
2009-07-28,32.040001000000004
2009-07-29,31.959999
2009-07-30,32.330002
2009-07-31,32.450001
2009-08-03,32.130001
2009-08-04,32.0
2009-08-05,31.620001000000002
2009-08-06,32.169998
2009-08-07,36.25
2009-08-10,37.889998999999996
2009-08-11,36.84
2009-08-12,37.02
2009-08-13,36.549999
2009-08-14,36.400002
2009-08-17,36.549999
2009-08-18,37.310001
2009-08-19,37.360001000000004
2009-08-20,37.59
2009-08-21,37.959998999999996
2009-08-24,37.400002
2009-08-25,37.450001
2009-08-26,37.450001
2009-08-27,37.799999
