,Date,Close,retrun
262,1949-10-01,16.040001,0.01506
263,1949-11-01,16.059998999999998,0.70476
264,1949-12-01,16.790001,0.20250
265,1950-01-01,17.049999,0.12643
266,1950-02-01,17.219998999999998,0.04989
267,1950-03-01,17.290001,0.69808
268,1950-04-01,18.07,0.58800
269,1950-05-01,18.780001000000002,-0.51204
270,1950-06-01,17.690001000000002,0.10663
271,1950-07-01,17.84,0.46804
272,1950-08-01,18.42,0.92114
273,1950-09-01,19.450001,0.05049
274,1950-10-01,19.530001000000002,-0.01222
275,1950-11-01,19.51,0.71802
276,1950-12-01,20.41,1.04073
277,1951-01-01,21.66,0.08038
278,1951-02-01,21.799999,-0.19927
279,1951-03-01,21.4,0.75787
280,1951-04-01,22.43,-0.39165
281,1951-05-01,21.52,-0.27123
282,1951-06-01,20.959999,1.21963
283,1951-07-01,22.4,0.58789
284,1951-08-01,23.280001000000002,-0.01026
285,1951-09-01,23.26,-0.15315
286,1951-10-01,22.940001000000002,-0.03094
287,1951-11-01,22.879998999999998,0.58080
288,1951-12-01,23.77,0.20364
289,1952-01-01,24.139999,-0.35957
290,1952-02-01,23.26,0.74965
291,1952-03-01,24.370001000000002,-0.41051
292,1952-04-01,23.32,0.31614
293,1952-05-01,23.860001,0.71747
294,1952-06-01,24.959999,0.23330
295,1952-07-01,25.4,-0.16146
296,1952-08-01,25.030001000000002,-0.21120
297,1952-09-01,24.540001,-0.00974
298,1952-10-01,24.52,0.72518
299,1952-11-01,25.66,0.51921
300,1952-12-01,26.57,-0.08252
301,1953-01-01,26.379998999999998,-0.19777
302,1953-02-01,25.9,-0.24874
303,1953-03-01,25.290001,-0.27545
304,1953-04-01,24.620001000000002,-0.03830
305,1953-05-01,24.540001,-0.17898
306,1953-06-01,24.139999,0.34914
307,1953-07-01,24.75,-0.51040
308,1953-08-01,23.32,0.01555
309,1953-09-01,23.35,0.81573
310,1953-10-01,24.540001,0.11305
311,1953-11-01,24.76,0.02450
312,1953-12-01,24.809998999999998,0.82041
313,1954-01-01,26.08,0.03269
314,1954-02-01,26.15,0.42926
315,1954-03-01,26.940001000000002,0.77539
316,1954-04-01,28.26,0.47483
317,1954-05-01,29.190001000000002,0.00825
318,1954-06-01,29.209999,0.94872
319,1954-07-01,30.879998999999998,-0.33974
320,1954-08-01,29.83,1.60738
321,1954-09-01,32.310001,-0.21045
322,1954-10-01,31.68,1.54088
323,1954-11-01,34.240002000000004,0.81271
324,1954-12-01,35.98,0.23968
325,1955-01-01,36.630001,0.04343
326,1955-02-01,36.759997999999996,-0.05720
327,1955-03-01,36.580002,0.55952
328,1955-04-01,37.959998999999996,-0.01569
329,1955-05-01,37.91,1.58329
330,1955-06-01,41.029999,1.02791
331,1955-07-01,43.52,-0.08982
332,1955-08-01,43.18,0.14500
333,1955-09-01,43.669998,-0.31006
334,1955-10-01,42.34,1.37833
335,1955-11-01,45.509997999999996,-0.00788
336,1955-12-01,45.48,-0.35994
337,1956-01-01,43.82,0.50560
338,1956-02-01,45.34,1.23343
339,1956-03-01,48.48,-0.02447
340,1956-04-01,48.380001,-0.55775
341,1956-05-01,45.200001,0.58557
342,1956-06-01,46.970001,0.82735
343,1956-07-01,49.389998999999996,-0.37230
344,1956-08-01,47.509997999999996,-0.42785
345,1956-09-01,45.349998,0.06259
346,1956-10-01,45.580002,-0.12398
347,1956-11-01,45.080002,0.51582
348,1956-12-01,46.669998,-0.40080
349,1957-01-01,44.720001,-0.32855
350,1957-02-01,43.259997999999996,0.26301
351,1957-03-01,44.110001000000004,0.54564
352,1957-04-01,45.740002000000004,0.54555
353,1957-05-01,47.43,-0.01508
354,1957-06-01,47.369999,0.14571
355,1957-07-01,47.91,-0.50013
356,1957-08-01,45.220001,-0.53561
357,1957-09-01,42.419998,-0.32364
358,1957-10-01,41.060001,0.21089
359,1957-11-01,41.720001,-0.39843
360,1957-12-01,39.990002000000004,0.65278
361,1958-01-01,41.700001,-0.22125
362,1958-02-01,40.84,0.43998
363,1958-03-01,42.099998,0.45644
364,1958-04-01,43.439999,0.19510
365,1958-05-01,44.09,0.36204
366,1958-06-01,45.240002000000004,0.65931
367,1958-07-01,47.189999,0.15208
368,1958-08-01,47.75,0.76283
369,1958-09-01,50.060001,0.35072
370,1958-10-01,51.330002,0.30458
371,1958-11-01,52.48,0.83775
372,1958-12-01,55.209998999999996,0.05343
373,1959-01-01,55.450001,-0.00862
374,1959-02-01,55.41,0.00652
375,1959-03-01,55.439999,0.57865
376,1959-04-01,57.59,0.25232
377,1959-05-01,58.68,-0.04211
378,1959-06-01,58.470001,0.50914
379,1959-07-01,60.509997999999996,-0.16626
380,1959-08-01,59.599998,-0.42910
381,1959-09-01,56.880001,0.14370
382,1959-10-01,57.52,0.17060
383,1959-11-01,58.279999,0.38681
384,1959-12-01,59.889998999999996,-0.58924
385,1960-01-01,55.610001000000004,0.11578
386,1960-02-01,56.119999,-0.15461
387,1960-03-01,55.34,-0.19120
388,1960-04-01,54.369999,0.37436
389,1960-05-01,55.830002,0.26115
390,1960-06-01,56.919998,-0.25992
391,1960-07-01,55.509997999999996,0.36265
392,1960-08-01,56.959998999999996,-0.52646
393,1960-09-01,53.52,-0.02876
394,1960-10-01,53.389998999999996,0.60602
395,1960-11-01,55.540001000000004,0.72084
396,1960-12-01,58.110001000000004,1.08528
397,1961-01-01,61.779999,0.37462
398,1961-02-01,63.439999,0.35335
399,1961-03-01,65.059998,0.04710
400,1961-04-01,65.309998,0.25546
401,1961-05-01,66.559998,-0.29619
402,1961-06-01,64.639999,0.47292
403,1961-07-01,66.760002,0.26262
404,1961-08-01,68.07,-0.21226
405,1961-09-01,66.730003,0.39815
406,1961-10-01,68.620003,0.58901
407,1961-11-01,71.32,0.03939
408,1961-12-01,71.550003,-0.37082
409,1962-01-01,68.839996,0.21369
410,1962-02-01,69.959999,-0.06810
411,1962-03-01,69.550003,-0.53591
412,1962-04-01,65.239998,-0.66005
413,1962-05-01,59.630001,-0.64105
414,1962-06-01,54.75,1.09485
415,1962-07-01,58.23,0.19964
416,1962-08-01,59.119999,-0.44727
417,1962-09-01,56.27,0.05464
418,1962-10-01,56.52,2.19215
419,1962-11-01,62.259997999999996,0.17447
420,1962-12-01,63.099998,0.77805
421,1963-01-01,66.199997,-0.29624
422,1963-02-01,64.290001,0.51922
423,1963-03-01,66.57,0.76572
424,1963-04-01,69.800003,0.18613
425,1963-05-01,70.800003,-0.21718
426,1963-06-01,69.370003,-0.04074
427,1963-07-01,69.129997,0.77034
428,1963-08-01,72.5,-0.12467
429,1963-09-01,71.699997,0.46304
430,1963-10-01,74.010002,-0.11939
431,1963-11-01,73.230003,0.33615
432,1963-12-01,75.019997,0.37553
433,1964-01-01,77.040001,0.12502
434,1964-02-01,77.800003,0.19798
435,1964-03-01,78.980003,0.07542
436,1964-04-01,79.459999,0.14642
437,1964-05-01,80.370003,0.21590
438,1964-06-01,81.690002,0.24222
