Date,MPC
2014-01-03,44.130001
2014-01-06,44.355
2014-01-07,44.5
2014-01-08,44.34
2014-01-09,45.52
2014-01-10,45.485001000000004
2014-01-13,44.080002
2014-01-14,44.549999
2014-01-15,43.325001
2014-01-16,42.849998
2014-01-17,42.639998999999996
2014-01-21,43.165001000000004
2014-01-22,42.790001000000004
2014-01-23,42.720001
2014-01-24,41.490002000000004
2014-01-27,41.75
2014-01-28,41.584998999999996
2014-01-29,43.259997999999996
2014-01-30,43.75
2014-01-31,43.525002
2014-02-03,42.169998
2014-02-04,41.625
2014-02-05,41.154999
2014-02-06,41.665001000000004
2014-02-07,42.235001000000004
2014-02-10,41.259997999999996
2014-02-11,42.23
2014-02-12,42.099998
2014-02-13,42.790001000000004
2014-02-14,43.855
2014-02-18,43.849998
2014-02-19,43.509997999999996
2014-02-20,43.974998
2014-02-21,43.654999
2014-02-24,44.060001
2014-02-25,44.945
2014-02-26,44.02
2014-02-27,42.075001
2014-02-28,42.0
2014-03-03,41.685001
2014-03-04,42.345001
2014-03-05,43.09
2014-03-06,44.740002000000004
2014-03-07,45.0
2014-03-10,45.540001000000004
2014-03-11,45.645
2014-03-12,47.25
2014-03-13,46.275002
2014-03-14,46.990002000000004
2014-03-17,46.785
2014-03-18,47.07
2014-03-19,45.825001
2014-03-20,45.955002
2014-03-21,45.345001
2014-03-24,44.805
2014-03-25,45.32
2014-03-26,44.549999
2014-03-27,43.645
2014-03-28,43.834998999999996
2014-03-31,43.52
2014-04-01,44.77
2014-04-02,43.580002
2014-04-03,43.584998999999996
2014-04-04,43.549999
2014-04-07,42.540001000000004
2014-04-08,41.950001
2014-04-09,42.560001
2014-04-10,42.264998999999996
2014-04-11,41.645
2014-04-14,42.285
2014-04-15,43.290001000000004
2014-04-16,44.389998999999996
2014-04-17,44.955002
2014-04-21,45.07
2014-04-22,45.195
2014-04-23,45.419998
2014-04-24,45.369999
2014-04-25,45.365002000000004
2014-04-28,46.459998999999996
2014-04-29,46.689999
2014-04-30,46.474998
2014-05-01,47.720001
2014-05-02,47.875
2014-05-05,47.904999
2014-05-06,48.345001
2014-05-07,47.599998
2014-05-08,46.395
2014-05-09,45.645
2014-05-12,46.009997999999996
2014-05-13,45.880001
2014-05-14,45.91
2014-05-15,44.950001
2014-05-16,44.525002
2014-05-19,44.439999
2014-05-20,44.314999
2014-05-21,43.845001
2014-05-22,43.455002
2014-05-23,43.57
2014-05-27,43.474998
2014-05-28,43.685001
2014-05-29,44.904999
2014-05-30,44.695
2014-06-02,44.860001000000004
2014-06-03,44.044998
2014-06-04,43.919998
2014-06-05,43.950001
2014-06-06,43.845001
2014-06-09,43.75
2014-06-10,42.845001
2014-06-11,42.845001
2014-06-12,43.325001
2014-06-13,43.209998999999996
2014-06-16,42.935001
2014-06-17,43.290001000000004
2014-06-18,44.32
2014-06-19,44.810001
2014-06-20,44.805
2014-06-23,44.490002000000004
2014-06-24,43.224998
2014-06-25,40.485001000000004
2014-06-26,40.465
2014-06-27,39.700001
2014-06-30,39.035
2014-07-01,39.305
2014-07-02,39.939999
2014-07-03,40.450001
2014-07-07,39.735001000000004
2014-07-08,38.915001000000004
2014-07-09,39.044998
2014-07-10,38.705002
2014-07-11,39.43
2014-07-14,39.040001000000004
2014-07-15,39.509997999999996
2014-07-16,39.215
2014-07-17,38.375
2014-07-18,38.455002
2014-07-21,37.965
2014-07-22,37.895
2014-07-23,38.305
2014-07-24,38.715
2014-07-25,39.290001000000004
2014-07-28,38.895
2014-07-29,39.814999
2014-07-30,39.490002000000004
2014-07-31,41.740002000000004
2014-08-01,41.785
2014-08-04,42.235001000000004
2014-08-05,42.514998999999996
2014-08-06,43.375
2014-08-07,43.25
2014-08-08,43.75
2014-08-11,43.544998
