Date,QCOM
1995-07-12,2.429688
1995-07-13,2.445313
1995-07-14,2.429688
1995-07-17,2.484375
1995-07-18,2.351563
1995-07-19,2.195313
1995-07-20,2.226563
1995-07-21,2.609375
1995-07-24,2.773438
1995-07-25,2.710938
1995-07-26,2.710938
1995-07-27,2.695313
1995-07-28,2.664063
1995-07-31,2.671875
1995-08-01,2.617188
1995-08-02,2.585938
1995-08-03,2.710938
1995-08-04,2.765625
1995-08-07,2.695313
1995-08-08,2.734375
1995-08-09,2.867188
1995-08-10,2.914063
1995-08-11,2.859375
1995-08-14,3.0
1995-08-15,3.132813
1995-08-16,3.390625
1995-08-17,3.210938
1995-08-18,3.25
1995-08-21,2.960938
1995-08-22,2.988281
1995-08-23,3.117188
1995-08-24,3.085938
1995-08-25,3.132813
1995-08-28,3.046875
1995-08-29,2.953125
1995-08-30,3.101563
1995-08-31,3.046875
1995-09-01,3.117188
1995-09-05,3.2890629999999996
1995-09-06,3.34375
1995-09-07,3.210938
1995-09-08,3.15625
1995-09-11,3.171875
1995-09-12,3.125
1995-09-13,3.101563
1995-09-14,3.09375
1995-09-15,2.976563
1995-09-18,3.085938
1995-09-19,3.132813
1995-09-20,3.046875
1995-09-21,2.960938
1995-09-22,2.9375
1995-09-25,2.875
1995-09-26,2.6875
1995-09-27,2.617188
1995-09-28,2.796875
1995-09-29,2.867188
1995-10-02,2.664063
1995-10-03,2.742188
1995-10-04,2.625
1995-10-05,2.5
1995-10-06,2.53125
1995-10-09,2.335938
1995-10-10,2.53125
1995-10-11,2.5
1995-10-12,2.53125
1995-10-13,2.53125
1995-10-16,2.414063
1995-10-17,2.546875
1995-10-18,2.515625
1995-10-19,2.398438
1995-10-20,2.328125
1995-10-23,2.492188
1995-10-24,2.4375
1995-10-25,2.421875
1995-10-26,2.398438
1995-10-27,2.53125
1995-10-30,2.515625
1995-10-31,2.40625
1995-11-01,2.539063
1995-11-02,2.554688
1995-11-03,2.6875
1995-11-06,2.882813
1995-11-07,2.8125
1995-11-08,2.890625
1995-11-09,2.929688
1995-11-10,2.960938
1995-11-13,2.882813
1995-11-14,2.714844
1995-11-15,2.890625
1995-11-16,2.859375
1995-11-17,2.84375
1995-11-20,2.671875
1995-11-21,2.710938
1995-11-22,2.601563
1995-11-24,2.632813
1995-11-27,2.710938
1995-11-28,2.875
1995-11-29,2.726563
1995-11-30,2.585938
1995-12-01,2.5625
1995-12-04,2.726563
1995-12-05,2.59375
1995-12-06,2.460938
1995-12-07,2.53125
1995-12-08,2.601563
1995-12-11,2.5625
1995-12-12,2.492188
1995-12-13,2.445313
1995-12-14,2.367188
1995-12-15,2.335938
1995-12-18,2.234375
1995-12-19,2.535156
1995-12-20,2.34375
1995-12-21,2.625
1995-12-22,2.78125
1995-12-26,2.710938
1995-12-27,2.710938
1995-12-28,2.617188
1995-12-29,2.6875
1996-01-02,2.734375
1996-01-03,2.601563
1996-01-04,2.492188
1996-01-05,2.59375
1996-01-08,2.550781
1996-01-09,2.375
1996-01-10,2.390625
1996-01-11,2.515625
1996-01-12,2.375
1996-01-15,2.242188
1996-01-16,2.375
1996-01-17,2.515625
1996-01-18,2.539063
1996-01-19,2.6875
1996-01-22,2.726563
1996-01-23,2.773438
1996-01-24,2.867188
1996-01-25,2.796875
1996-01-26,2.75
1996-01-29,2.859375
1996-01-30,2.898438
1996-01-31,2.796875
1996-02-01,2.882813
1996-02-02,2.984375
1996-02-05,3.023438
1996-02-06,3.054688
1996-02-07,2.984375
