Date,VRSN
2001-05-14,51.360001000000004
2001-05-15,51.540001000000004
2001-05-16,55.470001
2001-05-17,58.0
2001-05-18,60.740002000000004
2001-05-21,67.660004
2001-05-22,66.010002
2001-05-23,61.970001
2001-05-24,64.949997
2001-05-25,62.470001
2001-05-29,58.049999
2001-05-30,55.209998999999996
2001-05-31,56.5
2001-06-01,56.240002000000004
2001-06-04,54.299999
2001-06-05,56.599998
2001-06-06,54.09
2001-06-07,58.75
2001-06-08,55.66
2001-06-11,53.91
2001-06-12,57.950001
2001-06-13,54.009997999999996
2001-06-14,50.099998
2001-06-15,50.110001000000004
2001-06-18,50.459998999999996
2001-06-19,49.139998999999996
2001-06-20,56.360001000000004
2001-06-21,58.630001
2001-06-22,58.529999
2001-06-25,60.07
2001-06-26,56.689999
2001-06-27,57.290001000000004
2001-06-28,56.380001
2001-06-29,60.009997999999996
2001-07-02,60.5
2001-07-03,58.610001000000004
2001-07-05,54.110001000000004
2001-07-06,51.189999
2001-07-09,51.299999
2001-07-10,52.950001
2001-07-11,50.25
2001-07-12,56.299999
2001-07-13,54.48
2001-07-16,52.299999
2001-07-17,55.889998999999996
2001-07-18,49.869999
2001-07-19,45.540001000000004
2001-07-20,42.950001
2001-07-23,42.900002
2001-07-24,44.360001000000004
2001-07-25,47.240002000000004
2001-07-26,47.169998
2001-07-27,54.099998
2001-07-30,55.330002
2001-07-31,54.610001000000004
2001-08-01,55.939999
2001-08-02,55.950001
2001-08-03,54.200001
2001-08-06,53.240002000000004
2001-08-07,54.75
2001-08-08,51.880001
2001-08-09,50.650002
2001-08-10,49.349998
2001-08-13,49.610001000000004
2001-08-14,48.98
2001-08-15,46.07
2001-08-16,47.650002
2001-08-17,46.650002
2001-08-20,44.48
2001-08-21,43.200001
2001-08-22,44.07
2001-08-23,44.009997999999996
2001-08-24,47.009997999999996
2001-08-27,47.689999
2001-08-28,44.639998999999996
2001-08-29,38.689999
2001-08-30,39.740002000000004
2001-08-31,41.049999
2001-09-04,38.439999
2001-09-05,36.450001
2001-09-06,34.16
2001-09-07,38.549999
2001-09-10,40.080002
2001-09-17,39.900002
2001-09-18,40.32
2001-09-19,42.900002
2001-09-20,39.990002000000004
2001-09-21,38.299999
2001-09-24,39.860001000000004
2001-09-25,42.220001
2001-09-26,37.950001
2001-09-27,39.509997999999996
2001-09-28,41.900002
2001-10-01,42.25
2001-10-02,42.439999
2001-10-03,46.169998
2001-10-04,47.279999
2001-10-05,46.799999
2001-10-08,47.799999
2001-10-09,45.09
2001-10-10,46.639998999999996
2001-10-11,51.5
2001-10-12,49.080002
2001-10-15,49.939999
2001-10-16,49.759997999999996
2001-10-17,45.43
2001-10-18,47.43
2001-10-19,47.240002000000004
2001-10-22,47.27
2001-10-23,47.0
2001-10-24,49.450001
2001-10-25,53.34
2001-10-26,42.82
2001-10-29,39.66
2001-10-30,39.91
2001-10-31,38.709998999999996
2001-11-01,36.939999
2001-11-02,38.73
2001-11-05,40.209998999999996
2001-11-06,41.549999
2001-11-07,41.73
2001-11-08,41.200001
2001-11-09,42.830002
2001-11-12,43.830002
2001-11-13,46.029999
2001-11-14,46.75
2001-11-15,44.66
2001-11-16,45.23
2001-11-19,46.5
2001-11-20,41.23
2001-11-21,39.169998
2001-11-23,40.02
2001-11-26,40.02
2001-11-27,40.029999
2001-11-28,39.299999
2001-11-29,37.73
2001-11-30,37.360001000000004
2001-12-03,36.73
2001-12-04,37.580002
2001-12-05,40.330002
2001-12-06,42.93
2001-12-07,42.330002
2001-12-10,41.669998
2001-12-11,40.799999
2001-12-12,42.75
2001-12-13,41.919998
2001-12-14,40.990002000000004
2001-12-17,41.98
2001-12-18,42.889998999999996
2001-12-19,41.119999
2001-12-20,37.939999
2001-12-21,39.82
2001-12-24,38.419998
2001-12-26,38.619999
2001-12-27,38.91
2001-12-28,38.900002
2001-12-31,38.040001000000004
2002-01-02,38.060001
