Date,ZBRA
1995-02-16,9.388889
1995-02-17,9.111111
1995-02-21,8.361111
1995-02-22,8.777778
1995-02-23,8.444445
1995-02-24,8.388889
1995-02-27,8.055555
1995-02-28,8.083333
1995-03-01,8.277778
1995-03-02,8.222222
1995-03-03,8.5
1995-03-06,8.333333
1995-03-07,8.277778
1995-03-08,8.444445
1995-03-09,8.444445
1995-03-10,8.472222
1995-03-13,8.472222
1995-03-14,8.722222
1995-03-15,8.777778
1995-03-16,8.777778
1995-03-17,8.944445
1995-03-20,8.777778
1995-03-21,8.805555
1995-03-22,8.944445
1995-03-23,9.222222
1995-03-24,9.0
1995-03-27,9.0
1995-03-28,9.0
1995-03-29,9.0
1995-03-30,9.055555
1995-03-31,9.111111
1995-04-03,9.138889
1995-04-04,8.833333
1995-04-05,8.666667
1995-04-06,8.972222
1995-04-07,9.555555
1995-04-10,9.527778
1995-04-11,10.111111
1995-04-12,10.055555
1995-04-13,9.986111
1995-04-17,10.055555
1995-04-18,10.0
1995-04-19,10.111111
1995-04-20,10.166667
1995-04-21,10.333333
1995-04-24,10.277778
1995-04-25,10.277778
1995-04-26,10.055555
1995-04-27,10.111111
1995-04-28,10.194445
1995-05-01,10.111111
1995-05-02,10.166667
1995-05-03,10.194445
1995-05-04,10.0
1995-05-05,10.0
1995-05-08,10.0
1995-05-09,9.777778
1995-05-10,9.833333
1995-05-11,9.722222
1995-05-12,9.888889
1995-05-15,9.944445
1995-05-16,9.916667
1995-05-17,10.055555
1995-05-18,10.0
1995-05-19,9.888889
1995-05-22,10.222222
1995-05-23,10.083333
1995-05-24,10.055555
1995-05-25,10.055555
1995-05-26,10.111111
1995-05-30,10.166667
1995-05-31,10.0
1995-06-01,10.166667
1995-06-02,10.111111
1995-06-05,10.777778
1995-06-06,11.0
1995-06-07,10.833333
1995-06-08,11.0
1995-06-09,10.722222
1995-06-12,10.777778
1995-06-13,10.944445
1995-06-14,11.305555
1995-06-15,11.305555
1995-06-16,11.333333
1995-06-19,11.527778
1995-06-20,12.0
1995-06-21,11.888889
1995-06-22,12.055555
1995-06-23,11.888889
1995-06-26,11.777778
1995-06-27,11.666667
1995-06-28,11.611111
1995-06-29,11.722222
1995-06-30,11.833333
1995-07-03,12.166667
1995-07-05,12.194445
1995-07-06,12.555555
1995-07-07,13.166667000000002
1995-07-10,12.805555
1995-07-11,12.833333
1995-07-12,12.972222
1995-07-13,12.805555
1995-07-14,13.388889
1995-07-17,13.222222
1995-07-18,13.055555
1995-07-19,12.583333
1995-07-20,12.111111
1995-07-21,12.166667
1995-07-24,12.555555
1995-07-25,13.222222
1995-07-26,13.333332999999998
1995-07-27,13.555554999999998
1995-07-28,13.611111
1995-07-31,13.944445000000002
1995-08-01,13.944445000000002
1995-08-02,14.222222
1995-08-03,13.916667000000002
1995-08-04,13.888889
1995-08-07,13.888889
1995-08-08,13.888889
1995-08-09,13.777778
1995-08-10,13.333332999999998
1995-08-11,13.111111
1995-08-14,13.111111
1995-08-15,13.111111
1995-08-16,12.833333
1995-08-17,12.819445
1995-08-18,12.722222
1995-08-21,12.736111
1995-08-22,12.777778
1995-08-23,13.333332999999998
1995-08-24,13.444445000000002
1995-08-25,13.5
1995-08-28,13.222222
1995-08-29,12.972222
1995-08-30,13.166667000000002
1995-08-31,12.944445
1995-09-01,13.0
1995-09-05,13.194445000000002
1995-09-06,13.25
1995-09-07,13.111111
1995-09-08,13.111111
1995-09-11,13.277778
1995-09-12,13.222222
1995-09-13,13.611111
1995-09-14,13.777778
1995-09-15,13.388889
1995-09-18,13.5
1995-09-19,13.777778
1995-09-20,13.722222
1995-09-21,13.666667000000002
1995-09-22,13.444445000000002
1995-09-25,13.111111
1995-09-26,12.333333
1995-09-27,12.111111
1995-09-28,11.833333
1995-09-29,11.833333
1995-10-02,11.444445
1995-10-03,11.444445
1995-10-04,11.111111
1995-10-05,11.0
1995-10-06,11.111111
1995-10-09,10.388889
1995-10-10,10.388889
1995-10-11,10.722222
1995-10-12,11.0
1995-10-13,11.972222
1995-10-16,12.611111
1995-10-17,12.777778
1995-10-18,12.888889
1995-10-19,12.666667
1995-10-20,12.888889
1995-10-23,12.555555
1995-10-24,12.722222
1995-10-25,12.555555
1995-10-26,12.388889
1995-10-27,12.277778
1995-10-30,12.666667
1995-10-31,13.222222
1995-11-01,13.111111
1995-11-02,12.944445
1995-11-03,13.0
1995-11-06,12.888889
1995-11-07,12.444445
1995-11-08,12.444445
1995-11-09,12.583333
1995-11-10,13.0
1995-11-13,13.805554999999998
1995-11-14,14.111111
1995-11-15,14.166667000000002
1995-11-16,14.222222
1995-11-17,14.222222
1995-11-20,14.055554999999998
1995-11-21,13.722222
1995-11-22,14.0
1995-11-24,14.055554999999998
1995-11-27,14.138889
1995-11-28,14.444445000000002
1995-11-29,14.611111
1995-11-30,14.833332999999998
1995-12-01,14.444445000000002
1995-12-04,14.861111
1995-12-05,14.777778
1995-12-06,14.666667000000002
1995-12-07,14.666667000000002
1995-12-08,14.555554999999998
1995-12-11,14.666667000000002
1995-12-12,14.444445000000002
1995-12-13,14.444445000000002
1995-12-14,14.388889
1995-12-15,14.444445000000002
1995-12-18,14.055554999999998
1995-12-19,14.166667000000002
1995-12-20,14.222222
1995-12-21,14.388889
1995-12-22,14.944445000000002
1995-12-26,15.333332999999998
1995-12-27,15.444445000000002
1995-12-28,15.388889
1995-12-29,15.111111
1996-01-02,15.388889
1996-01-03,15.666667000000002
1996-01-04,14.0
1996-01-05,13.444445000000002
1996-01-08,13.444445000000002
1996-01-09,13.444445000000002
1996-01-10,12.111111
1996-01-11,13.333332999999998
1996-01-12,13.111111
1996-01-15,13.388889
1996-01-16,14.0
