Date,EA
1992-11-09,3.65625
1992-11-10,4.03125
1992-11-11,4.15625
1992-11-12,3.9375
1992-11-13,4.0
1992-11-16,3.96875
1992-11-17,3.875
1992-11-18,4.0625
1992-11-19,4.1875
1992-11-20,4.125
1992-11-23,4.09375
1992-11-24,4.0625
1992-11-25,4.03125
1992-11-27,4.015625
1992-11-30,4.15625
1992-12-01,4.1875
1992-12-02,4.125
1992-12-03,4.09375
1992-12-04,4.21875
1992-12-07,4.46875
1992-12-08,4.8125
1992-12-09,4.671875
1992-12-10,4.640625
1992-12-11,4.53125
1992-12-14,4.46875
1992-12-15,4.46875
1992-12-16,4.6875
1992-12-17,4.8125
1992-12-18,4.859375
1992-12-21,5.0
1992-12-22,5.03125
1992-12-23,4.984375
1992-12-24,5.015625
1992-12-28,5.25
1992-12-29,5.25
1992-12-30,5.296875
1992-12-31,5.15625
1993-01-04,4.984375
1993-01-05,5.015625
1993-01-06,5.296875
1993-01-07,5.40625
1993-01-08,5.5
1993-01-11,5.546875
1993-01-12,5.5625
1993-01-13,5.65625
1993-01-14,5.84375
1993-01-15,5.875
1993-01-18,5.84375
1993-01-19,5.765625
1993-01-20,5.703125
1993-01-21,5.46875
1993-01-22,5.53125
1993-01-25,5.875
1993-01-26,6.09375
1993-01-27,6.296875
1993-01-28,6.1875
1993-01-29,6.34375
1993-02-01,6.3125
1993-02-02,6.25
1993-02-03,6.5
1993-02-04,6.59375
1993-02-05,6.3125
1993-02-08,6.28125
1993-02-09,6.015625
1993-02-10,5.75
1993-02-11,5.71875
1993-02-12,5.484375
1993-02-16,4.984375
1993-02-17,5.09375
1993-02-18,5.625
1993-02-19,5.640625
1993-02-22,5.8125
1993-02-23,5.375
1993-02-24,5.875
1993-02-25,6.1875
1993-02-26,6.1875
1993-03-01,6.125
1993-03-02,6.0625
1993-03-03,6.3125
1993-03-04,6.25
1993-03-05,6.46875
1993-03-08,6.75
1993-03-09,7.0625
1993-03-10,7.125
1993-03-11,7.21875
1993-03-12,7.0
1993-03-15,7.3125
1993-03-16,7.40625
1993-03-17,7.1875
1993-03-18,7.125
1993-03-19,6.8125
1993-03-22,6.6875
1993-03-23,6.8125
1993-03-24,7.1875
1993-03-25,7.5
1993-03-26,7.3125
1993-03-29,7.25
1993-03-30,7.125
1993-03-31,7.3125
1993-04-01,7.5
1993-04-02,6.90625
1993-04-05,6.8125
1993-04-06,6.9375
1993-04-07,7.28125
1993-04-08,7.5625
1993-04-12,7.5625
1993-04-13,7.5625
1993-04-14,7.3125
1993-04-15,7.125
1993-04-16,7.09375
1993-04-19,7.0625
1993-04-20,7.4375
1993-04-21,7.6875
1993-04-22,7.625
1993-04-23,7.375
1993-04-26,7.1875
1993-04-27,7.1875
1993-04-28,7.375
1993-04-29,7.21875
1993-04-30,7.25
1993-05-03,7.4375
1993-05-04,7.375
1993-05-05,7.8125
1993-05-06,7.8125
1993-05-07,8.0625
1993-05-10,8.0
1993-05-11,8.1875
1993-05-12,8.34375
1993-05-13,8.34375
1993-05-14,8.46875
1993-05-17,8.5
1993-05-18,8.375
1993-05-19,8.5625
1993-05-20,8.875
1993-05-21,8.75
1993-05-24,8.875
1993-05-25,9.125
1993-05-26,9.5
1993-05-27,8.90625
1993-05-28,8.625
1993-06-01,8.6875
1993-06-02,9.0625
1993-06-03,8.9375
1993-06-04,8.25
1993-06-07,7.125
1993-06-08,7.25
1993-06-09,7.28125
1993-06-10,7.34375
1993-06-11,7.8125
1993-06-14,7.5
1993-06-15,6.875
1993-06-16,7.0
1993-06-17,6.71875
1993-06-18,6.6875
1993-06-21,6.4375
1993-06-22,6.65625
1993-06-23,7.0
1993-06-24,7.375
1993-06-25,7.5625
1993-06-28,7.625
1993-06-29,7.4375
1993-06-30,7.5625
1993-07-01,7.4375
1993-07-02,7.3125
1993-07-06,7.1875
1993-07-07,7.125
1993-07-08,7.125
1993-07-09,6.84375
1993-07-12,6.65625
1993-07-13,6.9375
1993-07-14,7.5
1993-07-15,7.3125
1993-07-16,7.0
1993-07-19,6.65625
1993-07-20,6.75
1993-07-21,6.875
1993-07-22,7.03125
1993-07-23,7.03125
1993-07-26,7.125
1993-07-27,6.875
1993-07-28,6.9375
1993-07-29,7.0625
1993-07-30,7.25
1993-08-02,7.5
1993-08-03,7.4375
1993-08-04,7.5
1993-08-05,7.53125
1993-08-06,7.9375
1993-08-09,7.9375
1993-08-10,8.125
1993-08-11,8.5625
1993-08-12,8.65625
1993-08-13,8.78125
1993-08-16,8.78125
1993-08-17,8.9375
1993-08-18,8.3125
1993-08-19,8.4375
1993-08-20,8.25
1993-08-23,8.28125
1993-08-24,8.6875
1993-08-25,8.375
1993-08-26,8.375
1993-08-27,8.5
1993-08-30,8.4375
1993-08-31,8.65625
1993-09-01,8.6875
1993-09-02,8.6875
1993-09-03,8.625
1993-09-07,8.375
1993-09-08,8.25
1993-09-09,7.8125
1993-09-10,8.125
1993-09-13,8.0625
1993-09-14,7.75
1993-09-15,7.4375
1993-09-16,7.40625
1993-09-17,7.3125
1993-09-20,7.1875
1993-09-21,7.5625
1993-09-22,8.0625
1993-09-23,8.4375
1993-09-24,8.0625
1993-09-27,8.71875
1993-09-28,8.84375
1993-09-29,8.6875
1993-09-30,8.5625
1993-10-01,8.5
1993-10-04,8.5
1993-10-05,8.4375
1993-10-06,8.5
1993-10-07,8.5625
1993-10-08,8.8125
1993-10-11,9.15625
1993-10-12,9.65625
1993-10-13,9.8125
1993-10-14,10.375
1993-10-15,9.9375
1993-10-18,10.25
1993-10-19,9.78125
1993-10-20,10.0
1993-10-21,9.375
1993-10-22,9.59375
1993-10-25,9.28125
1993-10-26,9.125
1993-10-27,9.5
1993-10-28,9.6875
1993-10-29,9.75
1993-11-01,9.75
1993-11-02,9.8125
1993-11-03,9.5
1993-11-04,9.0
1993-11-05,8.9375
1993-11-08,9.40625
1993-11-09,9.3125
1993-11-10,9.75
1993-11-11,9.375
1993-11-12,9.25
1993-11-15,9.0
1993-11-16,8.96875
1993-11-17,8.65625
1993-11-18,8.3125
1993-11-19,8.6875
1993-11-22,8.34375
1993-11-23,8.8125
1993-11-24,9.03125
1993-11-26,9.125
1993-11-29,9.125
1993-11-30,8.71875
1993-12-01,8.5625
1993-12-02,8.625
1993-12-03,8.4375
1993-12-06,8.4375
1993-12-07,8.3125
1993-12-08,8.3125
1993-12-09,8.0
1993-12-10,8.3125
1993-12-13,8.375
1993-12-14,8.1875
1993-12-15,8.1875
1993-12-16,8.5
1993-12-17,8.625
1993-12-20,8.8125
1993-12-21,8.5625
1993-12-22,8.375
1993-12-23,7.875
1993-12-27,7.5
1993-12-28,7.4375
1993-12-29,7.375
1993-12-30,7.5
1993-12-31,7.5
1994-01-03,7.4375
1994-01-04,7.125
1994-01-05,7.3125
1994-01-06,7.34375
1994-01-07,7.3125
1994-01-10,7.4375
1994-01-11,7.75
1994-01-12,8.1875
1994-01-13,8.15625
1994-01-14,8.25
1994-01-17,8.09375
1994-01-18,7.9375
1994-01-19,7.3125
1994-01-20,7.25
1994-01-21,6.90625
1994-01-24,6.8125
1994-01-25,7.125
1994-01-26,6.96875
1994-01-27,6.875
1994-01-28,7.125
1994-01-31,7.15625
1994-02-01,6.71875
1994-02-02,6.75
1994-02-03,6.625
1994-02-04,6.375
1994-02-07,6.5
1994-02-08,6.5625
1994-02-09,6.375
1994-02-10,7.25
1994-02-11,7.15625
1994-02-14,7.21875
1994-02-15,7.25
1994-02-16,6.9375
1994-02-17,6.5625
1994-02-18,6.625
1994-02-22,6.5
1994-02-23,6.40625
1994-02-24,6.1875
1994-02-25,6.3125
1994-02-28,6.5
1994-03-01,6.46875
1994-03-02,6.25
1994-03-03,6.09375
1994-03-04,5.96875
1994-03-07,6.25
1994-03-08,6.1875
1994-03-09,6.34375
1994-03-10,6.4375
1994-03-11,6.34375
1994-03-14,6.5
1994-03-15,6.75
1994-03-16,7.1875
1994-03-17,7.1875
1994-03-18,6.96875
1994-03-21,6.8125
1994-03-22,7.125
1994-03-23,7.09375
1994-03-24,7.1875
1994-03-25,7.25
1994-03-28,6.9375
1994-03-29,6.4375
1994-03-30,6.375
1994-03-31,6.5625
1994-04-04,6.4375
1994-04-05,6.46875
1994-04-06,6.1875
1994-04-07,6.09375
1994-04-08,6.125
1994-04-11,5.5625
1994-04-12,5.5625
1994-04-13,5.1875
1994-04-14,5.25
