Date,BRK-B
1999-07-12,45.68
1999-07-13,45.419998
1999-07-14,45.720001
1999-07-15,45.599998
1999-07-16,45.580002
1999-07-19,45.360001000000004
1999-07-20,45.040001000000004
1999-07-21,44.860001000000004
1999-07-22,44.66
1999-07-23,44.299999
1999-07-26,43.959998999999996
1999-07-27,43.779999
1999-07-28,43.259997999999996
1999-07-29,43.419998
1999-07-30,42.540001000000004
1999-08-02,41.560001
1999-08-03,41.700001
1999-08-04,41.48
1999-08-05,41.84
1999-08-06,40.799999
1999-08-09,40.299999
1999-08-10,40.720001
1999-08-11,42.48
1999-08-12,42.66
1999-08-13,42.080002
1999-08-16,41.459998999999996
1999-08-17,41.0
1999-08-18,40.459998999999996
1999-08-19,40.200001
1999-08-20,40.419998
1999-08-23,41.139998999999996
1999-08-24,40.880001
1999-08-25,40.380001
1999-08-26,40.16
1999-08-27,40.419998
1999-08-30,40.080002
1999-08-31,40.060001
1999-09-01,40.459998999999996
1999-09-02,40.540001000000004
1999-09-03,40.540001000000004
1999-09-07,40.200001
1999-09-08,40.099998
1999-09-09,40.02
1999-09-10,39.799999
1999-09-13,39.560001
1999-09-14,38.860001000000004
1999-09-15,39.360001000000004
1999-09-16,39.900002
1999-09-17,40.16
1999-09-20,40.299999
1999-09-21,40.040001000000004
1999-09-22,39.119999
1999-09-23,38.900002
1999-09-24,38.68
1999-09-27,38.099998
1999-09-28,37.400002
1999-09-29,37.32
1999-09-30,37.119999
1999-10-01,36.720001
1999-10-04,37.900002
1999-10-05,38.34
1999-10-06,38.740002000000004
1999-10-07,38.200001
1999-10-08,38.360001000000004
1999-10-11,38.900002
1999-10-12,38.080002
1999-10-13,38.34
1999-10-14,38.18
1999-10-15,37.639998999999996
1999-10-18,37.18
1999-10-19,37.52
1999-10-20,37.16
1999-10-21,36.0
1999-10-22,36.18
1999-10-25,36.68
1999-10-26,37.119999
1999-10-27,37.380001
1999-10-28,39.060001
1999-10-29,41.799999
1999-11-01,41.740002000000004
1999-11-02,42.82
1999-11-03,43.060001
1999-11-04,43.259997999999996
1999-11-05,42.619999
1999-11-08,41.759997999999996
1999-11-09,40.279999
1999-11-10,39.700001
1999-11-11,39.16
1999-11-12,39.360001000000004
1999-11-15,38.799999
1999-11-16,38.02
1999-11-17,37.880001
1999-11-18,38.34
1999-11-19,37.099998
1999-11-22,38.18
1999-11-23,37.779999
1999-11-24,37.900002
1999-11-26,37.66
1999-11-29,37.48
1999-11-30,37.299999
1999-12-01,37.200001
1999-12-02,37.0
1999-12-03,36.799999
1999-12-06,36.720001
1999-12-07,36.220001
1999-12-08,36.0
1999-12-09,35.700001
1999-12-10,35.740002000000004
1999-12-13,35.700001
1999-12-14,34.939999
1999-12-15,35.119999
1999-12-16,34.639998999999996
1999-12-17,35.099998
1999-12-20,35.119999
1999-12-21,34.52
1999-12-22,34.419998
1999-12-23,34.34
1999-12-27,34.32
1999-12-28,34.240002000000004
1999-12-29,34.34
1999-12-30,34.200001
1999-12-31,36.599998
2000-01-03,35.299999
2000-01-04,34.080002
2000-01-05,34.639998999999996
2000-01-06,36.080002
2000-01-07,36.400002
2000-01-10,36.259997999999996
2000-01-11,35.580002
2000-01-12,34.900002
2000-01-13,35.200001
2000-01-14,34.02
2000-01-18,34.0
2000-01-19,34.18
2000-01-20,34.0
2000-01-21,34.220001
2000-01-24,34.0
2000-01-25,34.060001
2000-01-26,34.139998999999996
2000-01-27,33.919998
2000-01-28,33.200001
2000-01-31,32.919998
2000-02-01,33.5
2000-02-02,32.799999
2000-02-03,33.400002
2000-02-04,33.099998
2000-02-07,33.279999
2000-02-08,32.700001
2000-02-09,31.76
2000-02-10,30.959999
2000-02-11,30.139999
2000-02-14,28.48
2000-02-15,30.639999
2000-02-16,33.279999
2000-02-17,33.259997999999996
2000-02-18,33.720001
2000-02-22,32.400002
2000-02-23,32.32
2000-02-24,30.780001000000002
2000-02-25,29.799999
2000-02-28,29.200001
2000-02-29,28.799999
2000-03-01,29.34
2000-03-02,29.360001
2000-03-03,29.379998999999998
2000-03-06,28.9
2000-03-07,29.0
2000-03-08,28.780001000000002
2000-03-09,28.0
2000-03-10,27.4
2000-03-13,29.76
2000-03-14,29.1
2000-03-15,32.52
2000-03-16,34.040001000000004
2000-03-17,34.0
2000-03-20,33.560001
2000-03-21,35.860001000000004
2000-03-22,36.060001
2000-03-23,35.48
2000-03-24,35.98
2000-03-27,34.200001
2000-03-28,33.34
2000-03-29,33.34
2000-03-30,34.779999
2000-03-31,36.400002
2000-04-03,35.099998
2000-04-04,36.18
2000-04-05,36.759997999999996
2000-04-06,37.259997999999996
2000-04-07,36.82
2000-04-10,36.419998
2000-04-11,36.080002
2000-04-12,37.419998
2000-04-13,37.799999
2000-04-14,36.919998
2000-04-17,37.18
2000-04-18,37.700001
2000-04-19,37.599998
2000-04-20,38.279999
2000-04-24,38.799999
2000-04-25,39.040001000000004
2000-04-26,38.5
2000-04-27,38.400002
2000-04-28,38.32
2000-05-01,37.139998999999996
2000-05-02,34.98
2000-05-03,34.900002
2000-05-04,35.52
2000-05-05,35.880001
2000-05-08,36.060001
2000-05-09,35.400002
2000-05-10,35.040001000000004
2000-05-11,35.439999
2000-05-12,35.459998999999996
2000-05-15,37.799999
2000-05-16,38.5
2000-05-17,38.02
2000-05-18,37.959998999999996
2000-05-19,37.360001000000004
2000-05-22,36.52
2000-05-23,35.900002
2000-05-24,36.119999
2000-05-25,36.959998999999996
2000-05-26,36.580002
2000-05-30,37.939999
2000-05-31,37.720001
2000-06-01,38.759997999999996
2000-06-02,38.52
2000-06-05,38.84
2000-06-06,38.759997999999996
2000-06-07,39.279999
2000-06-08,39.119999
2000-06-09,39.0
2000-06-12,38.400002
2000-06-13,38.66
2000-06-14,37.48
2000-06-15,37.0
2000-06-16,36.580002
2000-06-19,36.959998999999996
2000-06-20,37.060001
2000-06-21,36.779999
2000-06-22,35.68
2000-06-23,35.279999
2000-06-26,35.799999
2000-06-27,35.200001
2000-06-28,34.639998999999996
2000-06-29,34.959998999999996
2000-06-30,35.200001
2000-07-03,35.080002
2000-07-05,35.080002
2000-07-06,34.860001000000004
2000-07-07,35.200001
2000-07-10,35.400002
2000-07-11,35.639998999999996
2000-07-12,35.799999
2000-07-13,36.139998999999996
2000-07-14,36.259997999999996
2000-07-17,36.380001
2000-07-18,36.360001000000004
2000-07-19,35.98
2000-07-20,35.299999
2000-07-21,35.200001
2000-07-24,34.540001000000004
2000-07-25,35.68
2000-07-26,37.599998
2000-07-27,38.060001
2000-07-28,37.419998
2000-07-31,36.5
2000-08-01,37.259997999999996
2000-08-02,37.900002
2000-08-03,39.200001
2000-08-04,41.400002
2000-08-07,41.060001
2000-08-08,40.66
2000-08-09,40.939999
2000-08-10,40.98
2000-08-11,40.779999
2000-08-14,41.060001
2000-08-15,40.5
2000-08-16,40.939999
2000-08-17,40.880001
2000-08-18,40.32
2000-08-21,40.279999
2000-08-22,39.939999
2000-08-23,39.080002
2000-08-24,38.439999
2000-08-25,37.779999
2000-08-28,38.0
2000-08-29,37.939999
2000-08-30,38.200001
2000-08-31,38.259997999999996
2000-09-01,39.0
2000-09-05,38.900002
2000-09-06,38.200001
2000-09-07,37.700001
2000-09-08,38.080002
2000-09-11,37.860001000000004
2000-09-12,38.220001
2000-09-13,38.080002
2000-09-14,38.48
2000-09-15,38.099998
2000-09-18,39.080002
2000-09-19,37.119999
2000-09-20,37.060001
2000-09-21,36.599998
2000-09-22,36.799999
2000-09-25,37.279999
2000-09-26,38.080002
2000-09-27,38.200001
2000-09-28,39.360001000000004
2000-09-29,41.400002
2000-10-02,41.279999
2000-10-03,40.16
2000-10-04,39.380001
2000-10-05,39.5
2000-10-06,38.880001
2000-10-09,39.139998999999996
2000-10-10,38.599998
2000-10-11,37.400002
2000-10-12,35.68
2000-10-13,37.860001000000004
2000-10-16,37.799999
2000-10-17,37.959998999999996
2000-10-18,37.700001
2000-10-19,39.16
2000-10-20,39.119999
2000-10-23,38.560001
2000-10-24,38.68
2000-10-25,39.580002
2000-10-26,39.900002
2000-10-27,39.82
2000-10-30,41.700001
2000-10-31,42.060001
2000-11-01,42.040001000000004
2000-11-02,42.279999
2000-11-03,41.900002
2000-11-06,42.939999
2000-11-07,42.639998999999996
2000-11-08,42.419998
2000-11-09,40.639998999999996
